"NAME_SET","nci60","ctrp","gdscDec15","ccle","nciSclc","almanac","sarcoma","lantern","lantnci","ncats","uniSarcoma","tncats","ukhyun","ancats","acc","nob","prism","gdsc1","gdsc2","accorg","pdxEwing"
"154447-36-6|LY 294002|LY-294002|LY294002|697286|755769","697286|755769","NA","NA","NA","755769","NA","NA","NA","697286","NA","NA","ly-294002","NA","ly-294002","NA","NA","NA","NA","NA","NA","NA"
"1258861-20-9|LY-2940680|LY2940680|TALADEGIB|UNII-QY8BWX1LJ5","NA","NA","NA","NA","767896","NA","NA","NA","NA","NA","NA","taladegib","NA","taladegib","NA","NA","NA","NA","NA","NA","NA"
"170364-57-5|ENZASTAURIN|LY-317615|LY317615|UNII-UC96G28EQF|767124","767124","NA","LY317615","NA","767124","NA","767124","NA","767124","NA","767124","enzastaurin","NA","enzastaurin","NA","NA","NA","Enzastaurin","NA","NA","NA"
"425386-60-3|LY-450139|LY450139|SEMAGACESTAT|UNII-3YN0602W4W","NA","semagacestat","NA","NA","755982","NA","NA","NA","NA","NA","NA","semagacestat","NA","semagacestat","NA","NA","NA","NA","NA","NA","NA"
"ARQUEL|MECLOFENAMATE|MECLOFENAMIC ACID|MECLOPHENAMIC ACID","NA","NA","NA","NA","755402","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"LARIAM|MEFLOQUIN|MEFLOQUINA|MEFLOQUINE|MEFLOQUINUM|MEFLOQUINE HYDROCHLORIDE|M2319|MEFLOQUINE HYDROCHLORIDE (USAN)|RO 21-5998/001|WR 142,490|157387","157387","NA","NA","NA","157387","NA","NA","NA","NA","NA","NA","mefloquine","NA","mefloquine","NA","NA","NA","NA","NA","NA","NA"
"MEGESTROL ACETATE|71423","71423","NA","NA","NA","71423","NA","NA","NA","71423","NA","NA","megestrol acetate","NA","megestrol acetate","NA","NA","NA","NA","NA","NA","NA"
"ALKERAN|L-PAM|MELFALAN|MELPHALAN|PHENYLALANINE MUSTARD|8806|757098","8806|757098","NA","NA","NA","8806","NA","8806","NA","8806|757098","NA","8806","melphalan","NA","melphalan","NA","NA","melphalan","NA","NA","NA","NA"
"59-05-2|ABITREXATE|AMETHOPTERIN|METHOTREXATE|RHEUMATREX|740|DL-AMETHOPTERIN|METHOTREXATE(+/-)|757113","740|757113","methotrexate","Methotrexate","NA","740","NA","740","NA","740","NA","740","methotrexate","NA","methotrexate","NA","NA","methotrexate","Methotrexate","Methotrexate","NA","NA"
"298-81-7|8-METHOXYPSORALEN|MELADININE|METHOXSALEN|XANTHOTOXIN","NA","NA","NA","NA","45923","NA","NA","NA","NA","NA","NA","methoxsalen","NA","methoxsalen","NA","NA","NA","NA","NA","NA","NA"
"51384-51-1|BEATROLOL|LOPRESSOR|METOPROLOL|SPESICOR","NA","NA","NA","NA","757105","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","metoprolol","NA","NA","NA","NA"
"944537-89-7|MG-0103|MOCETINOSTAT DIHYDROBROMIDE|UNII-4V9P667Y2G|MOCETINOSTAT|MGCD 0103|CT-MGCD|MGCD-0103|760143","760143","NA","NA","NA","760143","NA","760143","NA","NA","NA","760143","mocetinostat","NA","mocetinostat","NA","NA","mocetinostat","NA","NA","NA","NA"
"133407-82-6|MG-132|MG132|Z-LEU-LEU-LEU-AL|ZLLLAL|MG 132|A-9012|782153","782153","NA","MG-132","NA","NA","NA","NA","NA","NA","NA","NA","mg-132","NA","mg-132","NA","NA","MG-132","MG-132","MG-132","NA","NA"
"MGCD-265|CT-MG265|GLESATINIB|MGCD265|791059","791059","MGCD-265","NA","NA","NA","NA","NA","NA","NA","NA","NA","mgcd-265","NA","mgcd-265","NA","NA","MGCD-265","NA","NA","NA","NA"
"4'-N-BENZOYLSTAUROSPORINE|BENZOYLSTAUROSPORINE|CGP-41251|MIDOSTAURIN|PKC412|656576","656576","NA","Midostaurin","NA","NA","NA","NA","NA","656576","NA","NA","midostaurin","NA","midostaurin","NA","NA","midostaurin","Midostaurin","NA","NA","NA"
"MITHRACIN|MITHRAMYCIN|MITHRAMYCINUM|MITRAMYCIN|PLICAMYCIN|24559|143020|526598|105024","24559|143020|526598|105024","NA","NA","NA","24559","NA","24559","NA","24559|143020|526598|105024","NA","24559","mithramycin","NA","mithramycin","NA","NA","NA","NA","NA","NA","NA"
"50-07-7|AMETYCINE|MITOMYCIN|MITOMYCIN C|MUTAMYCIN|26980|134727|755880|MITOMYCIN-C","26980|134727|755880","mitomycin","Mitomycin C","NA","26980","NA","26980","NA","26980|134727|755880","NA","26980","mitomycin","NA","mitomycin","NA","NA","mitomycin-C","Mitomycin-C","NA","NA","NA"
"CHLODITHANE|LYSODREN|MITOTAN|MITOTANE|O,P'-DDD|38721|755849","38721","NA","NA","NA","38721","NA","NA","NA","38721","NA","NA","mitotane","NA","mitotane","755849","NA","NA","NA","NA","755849","NA"
"65271-80-9|DIHYDROXYANTHRAQUINONE|MITOXANTHRONE|MITOXANTRONE|MITOZANTRONE|279836|301739","279836|301739","NA","Mitoxantrone","NA","279836","NA","279836","NA","279836|301739","NA","279836","mitoxantrone","NA","mitoxantrone","NA","NA","mitoxantrone","NA","Mitoxantrone","NA","NA"
"MK-0752|;3-[CIS-4-[(4-CHLOROPHENYL)SULFONYL]-4-(2,5-DIFLUOROPHEN...|SRI-013072|3-[CIS-4-[(4-CHLOROPHENYL)SULFONYL]-4-(2,5-DIFLUOROPHENY...|L-000891675|CS-0253|762831","762831","MK-0752","NA","NA","762829","NA","NA","NA","NA","NA","NA","mk-0752","NA","mk-0752","NA","NA","NA","NA","NA","NA","NA"
"603139-19-1|MK 0822|MK-0822|ODANACATIB|UNII-N673F6W2VH","NA","NA","NA","NA","766811","NA","NA","NA","NA","NA","NA","odanacatib","NA","odanacatib","NA","NA","odanacatib","NA","NA","NA","NA"
"955365-80-7|MK 1775|MK-1775|MK1775|UNII-K2T6HJX3I3|CT-MK1775|AZD-1775|MK-1775 (WEE-1)|A-1117|3H-PYRAZOLO[3,4-D]PYRIMIDIN-3-ONE, 1,2-DIHYDRO-1-[6-(1-H...|754352","754352","MK-1775","NA","NA","754352","NA","754352","NA","NA","NA","754352","mk-1775","NA","mk-1775","NA","NA","MK-1775","NA","MK-1775","NA","NA"
"1032349-93-1|MK-2206|MK-2206 DIHYDROCHLORIDE|MK2206|UNII-51HZG6MP1K|756656","756656","MK-2206","MK-2206","NA","756656","NA","756656","NA","756656","NA","756656","mk-2206","NA","mk-2206","756656","NA","MK-2206","MK-2206","MK-2206","756656","NA"
"917879-39-1|MK 2461|MK-2461|UNII-4200RD53XF|WA030-00|N-[(2R)-1,4-DIOXAN-2-YL-METHYL]-N-METHYL-N'-[3-(1-METHYL...|764580","764580","NA","NA","NA","764580","NA","764580","NA","NA","NA","764580","mk-2461","NA","mk-2461","NA","NA","MK-2461","NA","NA","NA","NA"
"1038915-60-4|MK-4827|NIRAPARIB|UNII-HMC2H89N35","NA","NA","NA","NA","754355","NA","754355","NA","NA","NA","754355","niraparib","NA","niraparib","NA","NA","niraparib","NA","Niraparib","NA","NA"
"1010085-13-8|MK 5108|MK-5108|MK5108|VX-689|A-1923|VX-68|773262","773262","NA","NA","NA","773262","NA","NA","NA","NA","NA","NA","mk-5108","NA","mk-5108","NA","NA","MK-5108","NA","NA","NA","NA"
"MK-8033|1-[3-(1-METHYL-1H-PYRAZO-4-YL)-5-OXO-5H-BENZO[4,5]CYCLOH...|761692","761692","NA","NA","NA","761692","NA","761692","NA","NA","NA","761692","mk-8033","NA","mk-8033","NA","NA","NA","NA","NA","NA","NA"
"572924-54-0|AP-23573|DEFOROLIMUS|MK-8669|RIDAFOROLIMUS|DEFOROLIMIUS|AP23573|CS-0122|S1022|RAPAMYCIN, 42-(DIMETHYL-PHOSPHINATE)|757440","757440","NA","NA","NA","757440","NA","757440","NA","NA","NA","757440","ridaforolimus","NA","ridaforolimus","NA","NA","deforolimus","NA","NA","NA","NA"
"1228960-69-7|MLN-0905|MLN0905","NA","NA","NA","NA","767470","NA","767470","NA","NA","NA","767470","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1072833-77-2|IXAZOMIB|MLN 2238|MLN-2238|MLN2238|A-1226|;MLN-2238;A-1226|766907","766907","MLN2238","NA","NA","766907","NA","766907","NA","NA","NA","766907","ixazomib","NA","ixazomib","NA","NA","ixazomib","NA","NA","NA","NA"
"1096708-71-2|BIIB-024|MLN 2480|MLN-2480|MLN2480|UNII-ZN90E4027M|A-1192|766906","766906","MLN2480","NA","NA","766906","NA","NA","NA","NA","NA","NA","mln-2480","NA","mln-2480","NA","NA","NA","NA","NA","NA","NA"
"905579-51-3|MLN 4924|MLN-4924|MLN4924|PEVONEDISTAT|UNII-S3AZD8D215|761192|793435","761192","pevonedistat","MLN4924","NA","761192","NA","761192","NA","761192","NA","761192","pevonedistat","NA","pevonedistat","NA","NA","pevonedistat","Pevonedistat","Pevonedistat","793435","NA"
"387867-13-2|CT53518|MLN 518|MLN-518|TANDUTINIB|4-[6-METHOXY-7-[3-(1-PIPERIDINYL)PROPOXY]-4-QUINAZOLINYL...|MLN518|D06005|T-7802|CT-53518 (FORMER CODE NAME)|MLN-0518|CT-53518|760841","760841","tandutinib","NA","NA","760841","NA","760841","NA","NA","NA","760841","tandutinib","NA","tandutinib","NA","NA","tandutinib","NA","NA","NA","NA"
"MLN-576","NA","NA","NA","NA","754365","NA","754365","NA","NA","NA","754365","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1201902-80-8|MLN 9708|MLN-9708|MLN9708|IXAZOMIB CITRATE|S2181|NINLARO|758254|IXAZOMIB-CITRATE","758254","NA","NA","NA","758254","NA","758254","NA","NA","NA","758254","mln-9708","NA","mln-9708","NA","NA","ixazomib-citrate","NA","NA","NA","NA"
"850879-09-3|AMUVATINIB|MP 470|MP-470|MP470|754349","754349","NA","MP470","NA","754349","NA","754349","NA","754349","NA","754349","amuvatinib","NA","amuvatinib","NA","NA","NA","Amuvatinib","NA","NA","NA"
"958025-66-6|MPC-3100|MPC3100|UNII-9UMA2EEO9Q","NA","NA","NA","NA","765395","NA","765395","NA","NA","NA","765395","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MPS-1-IN-1|MPS1-IN-1","NA","NA","MPS-1-IN-1","NA","NA","NA","NA","NA","NA","NA","NA","mps1-in-1","NA","mps1-in-1","NA","NA","NA","MPS-1-IN-1","NA","NA","NA"
"NANDROLONE PHENPROPIONATE|23162","23162","NA","NA","NA","NA","NA","NA","NA","23162","NA","NA","nandrolone phenpropionate","NA","nandrolone phenpropionate","NA","NA","NA","NA","NA","NA","NA"
"121032-29-9|ARRANON|ATRIANCE|NELARABINE|NELZARABINE|755985","755985","nelarabine","Nelarabine","NA","NA","NA","NA","NA","755985","NA","NA","nelarabine","NA","nelarabine","NA","NA","nelarabine","NA","Nelarabine","NA","NA"
"159989-64-7|NELFINAVIR|NELFINAVIR [INN:BAN]|UNII-HO3OGH5D7I|VIRACEPT|747167|NELFINAVIR MESYLATE","747167","NA","NA","NA","NA","NA","NA","NA","747167","NA","NA","nelfinavir mesylate","NA","nelfinavir mesylate","NA","NA","NA","NA","NA","NA","NA"
"698387-09-6|HKI 272|HKI-272|NERATINIB|UNII-JJH94R3PWB|PF-0528767|NERLYNX|N-6404|WAY-179272|WAY-179272-B (MALEATE)|757439","757439","neratinib","NA","NA","757439","NA","757439","NA","NA","NA","757439","neratinib","NA","neratinib","NA","NA","neratinib","NA","NA","NA","NA"
"1315355-93-1|NG-25|NG25","NA","NA","NG-25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NG-25_260|NG-25_1167","NA","NA","NA"
"641571-10-0|AMN 107|AMN107|NILOTINIB|TASIGNA|747599","747599","nilotinib","Nilotinib","Nilotinib","747599","NA","747599","NA","747599","NA","747599","nilotinib","NA","nilotinib","NA","NA","nilotinib","Nilotinib","Nilotinib","NA","NA"
"104206-65-7|NITISINONE|NITISONE|NTBC|ORFADIN","NA","NA","NA","NA","773149","NA","NA","NA","NA","NA","NA","nitisinone","NA","nitisinone","NA","NA","nitisinone","NA","NA","NA","NA"
"NITROGEN MUSTARD|762|757087|NITROGEN MUSTARD HCL|MECHLORETHAMINE","762|757087","NA","NA","NA","762","NA","762","NA","762|757087","NA","762","mechlorethamine","NA","mechlorethamine","NA","NA","NA","NA","NA","NA","NA"
"NPK76-II-72-1","NA","NA","NPK76-II-72-1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NPK76-II-72-1","NA","NA","NA"
"56990-57-9|CHEMBL472004|NSC 87877|NSC-87877|NULL|87877","87877","NA","NSC-87877","NA","NA","NA","NA","NA","NA","NA","NA","nsc-87877","NA","nsc-87877","NA","NA","NA","NSC-87877","NA","NA","NA"
"220036-08-8|NU 6027|NU-6027|NU6027","NA","NA","NA","NA","756874","NA","756874","NA","NA","NA","756874","nu-6027","NA","nu-6027","NA","NA","NU-6027","NA","NA","NA","NA"
"503468-95-9|KU-57788|KU57788|NU 7441|NU-7441|NU7441","NA","NA","NU-7441","NA","NA","NA","NA","NA","NA","NA","NA","nu-7441","NA","nu-7441","NA","NA","NA","NU7441","NU7441","NA","NA"
"548472-68-0|890090-75-2|CHEMBL211045|NUTLIN 3|NUTLIN-3|675576-98-4|NUTLIN (3A)|NUTLIN 3A|NUTLIN-3A|UNII-L7C92IOE65|(-)-NUTLIN-3|;(-)-NUTLIN-3;NUTLIN 3A;18585|18585|NUTLIN-3A HOMOCHIRAL|756876|NUTLIN-3A (-)","756876","nutlin-3","Nutlin-3a","Nutlin-3","NA","NA","NA","NA","NA","NA","NA","nutlin-3","NA","nutlin-3","NA","NA","nutlin-3","Nutlin-3a (-)","Nutlin-3a (-)","NA","NA"
"NVP-BHG712|BHG712|BHG-712|CT-BHG712|820919","820919","NA","NVP-BHG712","NA","NA","NA","NA","NA","NA","NA","NA","nvp-bhg712","NA","nvp-bhg712","NA","NA","NVP-BHG712","NVP-BHG712","NA","NA","NA"
"761439-42-3|NVP-TAE 684|NVP-TAE684|TAE-684|TAE684|764041","764041","NA","NVP-TAE684","TAE684","764041","NA","764041","NA","764041","NA","764041","tae-684","NA","tae-684","NA","NA","NVP-TAE684","NVP-TAE684","NA","NA","NA"
"19916-73-5|6-O-BENZYLGUANINE|O-6-BENZYLGUANINE|O(6)-BENZYLGUANINE|O6-BENZYLGUANINE|O6-BG|637037","637037","O-6-benzylguanine","NA","NA","637037","NA","NA","NA","637037","NA","NA","6-o-benzylguanine","NA","6-o-benzylguanine","NA","NA","NA","NA","NA","NA","NA"
"OKADAIC ACID|677083","677083","NA","NA","NA","NA","NA","NA","NA","677083","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"763113-22-0|AZD 2281|AZD-2281|AZD2281|OLAPARIB|753686|747856","753686|747856","olaparib","Olaparib","NA","753686","NA","753686","NA","753686|747856","NA","753686","olaparib","NA","olaparib","NA","NA","olaparib","Olaparib_1017|Olaparib_1495","Olaparib","NA","NA"
"1225497-78-8|ESTYBON|NOVONEX|ON-01910NA|RIGOSERTIB (SODIUM)|RIGOSERTIB SODIUM|592542-59-1|ON-01910|RIGOSERTIB|RIGOSERTIB [USAN]|UNII-67DOW7F9GL|ON-01910 (CDK)|GLYCINE, N-[2-METHOXY-5-[[[(1E)-2-(2,4,6-TRIMETHOXYPHENY...|SODIUM (E)-2-((2-METHOXY-5-(((2,4,6)-TRIMETHOXYSTYRYL)SU...|ON-1910NA|ONC-01910|754344","754344","rigosertib","NA","NA","754344","NA","754344","NA","NA","NA","754344","rigosertib","NA","rigosertib","NA","NA","rigosertib","NA","NA","NA","NA"
"ONX-0801","NA","NA","NA","NA","764764","NA","764764","NA","NA","NA","764764","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PACRITINIB|NA|800814|SB1518","800814","NA","NA","NA","759674","NA","759674","NA","NA","NA","759674","pacritinib|sb1518","NA","pacritinib|sb1518","NA","NA","pacritinib","NA","NA","NA","NA"
"935888-69-0|ONX 0912|ONX-0912|OPROZOMIB|PR-047","NA","NA","NA","NA","766254","NA","NA","NA","NA","NA","NA","oprozomib","NA","oprozomib","NA","NA","oprozomib","NA","NA","NA","NA"
"960374-59-8|CHEMBL3237875|ONX 0914|ONX-0914|PR-957","NA","NA","NA","NA","762152","NA","762152","NA","NA","NA","762152","NA","NA","NA","NA","NA","ONX-0914","NA","NA","NA","NA"
"936890-98-1|OSI 027|OSI-027|OSI027|UNII-25MKH1SZ0M|759660","759660","OSI-027","OSI-027","NA","759660","NA","759660","NA","759660","NA","759660","osi-027","NA","osi-027","NA","NA","OSI-027","OSI-027","OSI-027","NA","NA"
"728033-96-3|OSI 930|OSI-930|OSI930|S1220_SELLECK","NA","OSI-930","OSI-930","NA","766887","NA","766887","NA","NA","NA","766887","osi-930","NA","osi-930","NA","NA","OSI-930","OSI-930","NA","NA","NA"
"742112-33-0|AR-12|OSU 03012|OSU-03012|OSU03012|756657","756657","NA","OSU-03012","NA","756657","NA","756657","NA","756657","NA","756657","osu-03012","NA","osu-03012","NA","NA","AR-12","OSU-03012","NA","NA","NA"
"OSU-03013","NA","NA","NA","NA","756658","NA","756658","NA","NA","NA","756658","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"OT-674","NA","NA","NA","NA","142784","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"OXALIPLATIN|266046","266046","NA","Oxaliplatin","NA","266046","NA","266046","NA","266046","NA","266046","oxaliplatin","NA","oxaliplatin","NA","NA","oxaliplatin","NA","Oxaliplatin_1089|Oxaliplatin_1806","NA","NA"
"OXAZOLE STAT3 INHIBITOR","NA","NA","NA","NA","765673","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"OXONIC ACID","NA","NA","NA","NA","28841","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"315183-21-2|MFCD03302441|PAC-1|PROCASPASE-3 ACTIVATOR|PROCASPASE-3 ACTIVATOR, PAC-1","NA","NA","PAC-1","NA","NA","NA","NA","NA","NA","NA","NA","pac-1","NA","pac-1","NA","NA","PAC-1","PAC-1","NA","NA","NA"
"ABRAXANE|ONXOL|PACLITAXEL|PAXENE|TAXOL|125973|758645","125973|758645","paclitaxel","Paclitaxel","Paclitaxel","125973","NA","125973","NA","125973|758645","NA","125973","paclitaxel","NA","paclitaxel","NA","NA","paclitaxel","Paclitaxel","Paclitaxel","NA","NA"
"571190-30-2|IBRANCE|PALBOCICLIB|PD-0332991|PD0332991|758247","758247","NA","PD-0332991","PD-0332991","758247","NA","758247","NA","758247","NA","758247","palbociclib","NA","palbociclib","758247","NA","palbociclib","Palbociclib","Palbociclib","758247","NA"
"404950-80-7|FARIDAK|LBH-589|LBH589|PANOBINOSTAT|761190","761190","panobinostat","NA","Panobinostat","761190","NA","761190","NA","761190","NA","761190","panobinostat","NA","panobinostat","NA","NA","panobinostat","Panobinostat","NA","NA","NA"
"61869-08-7|AROPAX|PAROXETINE|PAXIL|PAXIL CR","NA","NA","NA","NA","758654","NA","NA","NA","NA","NA","NA","paroxetine","NA","paroxetine","NA","NA","NA","NA","NA","NA","NA"
"(-)-PARTHENOLIDE|20554-84-1|CHEBI:7939|PARTHENOLIDE|157035|PARTHENOLIDE-(-)","157035","NA","Parthenolide","NA","NA","NA","NA","NA","157035","NA","NA","parthenolide","NA","parthenolide","NA","NA","parthenolide|parthenolide-(-)","Parthenolide","NA","NA","NA"
"444731-52-6|GW 78603|GW786034|PAZOPANIB|UNII-7RN5DR86CK|737754|752782","737754|752782","pazopanib","Pazopanib","NA","737754","NA","737754","NA","737754|752782","NA","737754","pazopanib","NA","pazopanib","NA","NA","pazopanib","Pazopanib","NA","NA","NA"
"GADOLINIUM TEXAPHYRIN|GD-TEX|MOTEXAFIN GADOLINIUM|PCI-0120|XCYTRIN","NA","NA","NA","NA","761266","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"783355-60-2|ABEXINOSTAT|CRA-024781|PCI 24781|PCI-24781|ABEXINOSTAT HYDROCHLORIDE|S1090|;PCI-24781;S1090|CG-781|CG-781; CRA-024781; S-78454|S-78454|764136","764136","NA","NA","NA","764136","NA","764136","NA","NA","NA","764136","abexinostat","NA","abexinostat","NA","NA","PCI-24781","NA","NA","NA","NA"
"391210-10-9|PD 0325901|PD-0325901|PD0325901|755770","755770","NA","PD-0325901","PD-0325901","755770","NA","755770","NA","755770","NA","755770","pd-0325901","NA","pd-0325901","NA","NA","PD-0325901","PD0325901","PD0325901","NA","NA"
"219580-11-7|PD 173074|PD-173074|PD173074|766908","766908","NA","PD-173074","NA","766908","NA","766908","NA","766908","NA","766908","pd-173074","NA","pd-173074","NA","NA","NA","PD173074","PD173074","NA","NA"
"167869-21-8|PD 98,059|PD 98059|PD-98059|PD98059|679828|PD-098059","679828","NA","NA","NA","679828","NA","NA","NA","679828","NA","NA","pd-098059","NA","pd-098059","NA","NA","PD-98059","NA","NA","NA","NA"
"PELITREXOL ISOMER A","NA","NA","NA","NA","772290","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PELITREXOL ISOMER B","NA","NA","NA","NA","772291","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"137281-23-3|ALIMTA|PEMETREXED|PEMETREXED DISODIUM|UNII-04Q9AIZ7NO|698037|PEMETREXED (DISODIUM HEMIPENTA HYDRATE) (1:2:2.5)|A-9007|PEMETREXED, DISODIUM SALT, HEPTAHYDRATE|N-[4-[2-(2-AMINO-4,7-DIHYDRO-4-OXO-1H-PYRROLO[2,3-D]PYRI...|ROLAZAR|TIFOLAR|LY-231514|755384","698037|755384","NA","NA","NA","698037","NA","698037","NA","698037","NA","698037","pemetrexed disodium","NA","pemetrexed disodium","NA","NA","NA","Pemetrexed","NA","NA","NA"
"2'-DEOXYCOFORMYCIN|53910-25-1|DEOXYCOFORMYCIN|NIPENT|PENTOSTATIN|218321","218321","NA","NA","NA","218321","NA","NA","NA","218321","NA","NA","pentostatin","NA","pentostatin","NA","NA","pentostatin","NA","NA","NA","NA"
"PEPTIDE [CRGDKGPDC - CYS & CYS BRIDGE","NA","NA","NA","NA","754347","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PEPTIDE R18 (14-3-3 ANTAGONIST)","NA","NA","NA","NA","756651","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PF-03084014 DIASTEREOMER 1|PF-03084014 DIASTEREOMER 2|NIROGACESTAT","NA","NA","NA","NA","754348|755926","NA","NA","NA","NA","NA","NA","nirogacestat","NA","nirogacestat","NA","NA","NA","NA","NA","NA","NA"
"PF-04217903|202221|;PF-04217903;202221|PF-4217903|763931","763931","NA","NA","NA","763931","NA","NA","NA","NA","NA","NA","pf-04217903","NA","pf-04217903","NA","NA","PF-04217903","NA","NA","NA","NA"
"PF-04691502|2-AMINO-8-((1R,4R)-4-(2-HYDROXYETHOXY)CYCLOHEXYL)-6-(6-M...|KIN0000829|PF-4691502, NA|760536|800846","760536|800846","NA","NA","NA","760536","NA","760536","NA","NA","NA","760536","pf-04691502","NA","pf-04691502","NA","NA","PF-04691502","NA","NA","NA","NA"
"908115-27-5|PF-04929113|SNX 5422|SNX-5422|UNII-BF52J69Q8T|S1717|PF-4929113|768509","768509","NA","NA","NA","768509","NA","NA","NA","NA","NA","NA","snx-5422","NA","snx-5422","NA","NA","SNX-5422","NA","NA","NA","NA"
"1197160-78-3|GEDATOLISIB|PF-05212384|PKI 587|PKI-587|UREA, N-[4-[[4-(DIMETHYLAMINO)-1-PIPERIDINYL]CARBONYL]PH...|758256","758256","NA","NA","NA","758256","NA","758256","NA","NA","NA","758256","gedatolisib","NA","gedatolisib","NA","NA","PF-05212384","NA","NA","NA","NA"
"PF-299804|DACOMITINIB|S2727|PF-00299804|PF299804|PF-299|765888","765888","NA","NA","NA","765888","NA","765888","NA","NA","NA","765888","dacomitinib","NA","dacomitinib","765888","NA","dacomitinib","PF-00299804","NA","765888","NA"
"PF-4176340","NA","NA","NA","NA","768070","NA","768070","NA","NA","NA","768070","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1255517-76-0|PF 4708671|PF-4708671|PF4708671","NA","NA","PF-4708671","NA","NA","NA","NA","NA","NA","NA","NA","pf-4708671","NA","pf-4708671","NA","NA","NA","PF-4708671","PF-4708671","NA","NA"
"PF-477736|NA, PF-477736|(2R)-2-AMINO-2-CYCLOHEXYL-N-(5-(1-METHYL-1H-PYRAZOL-4-YL...|PF-00477736|800848|763444","800848|763444","NA","NA","NA","763444","NA","763444","NA","NA","NA","763444","pf-477736","NA","pf-477736","NA","NA","PF-477736","NA","NA","NA","NA"
"1207961-33-8|CHEMBL1774933|PF-4942847","NA","NA","NA","NA","772885","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"717907-75-0|CHEMBL1084546|PF 562271|PF-00562271|PF-562271|754356","754356","NA","PF-562271","NA","754356","NA","754356","NA","754356","NA","754356","pf-562271","NA","pf-562271","NA","NA","PF-562271","PF-562271","NA","NA","NA"
"1403764-72-6|CHEMBL2179387|PFI-1|QCR-192|777448","777448","NA","PFI-1","NA","NA","NA","NA","NA","777448","NA","NA","NA","NA","NA","NA","NA","PFI-1","PFI-1","PFI-1","NA","NA"
"477575-56-7|PHA 665752|PHA-665752|PHA665752|TCMDC-125885|766271","766271","NA","PHA-665752","PHA-665752","766271","NA","766271","NA","766271","NA","766271","pha-665752","NA","pha-665752","NA","NA","PHA-665752","PHA-665752","NA","NA","NA"
"PHA-793887|NA|800851","800851","PHA-793887","PHA-793887","NA","NA","NA","NA","NA","NA","NA","NA","pha-793887","NA","pha-793887","NA","NA","PHA-793887","PHA-793887","NA","NA","NA"
"CRONOFORMIN|FENFORMIN|FENFORMINA|PHENFORMIN|PHENFORMINE","NA","NA","Phenformin","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Phenformin","NA","NA","NA"
"371935-74-9|PI-103|PI103|UNII-YQX02F616F|759676|776996","759676|776996","NA","PI-103","NA","759676","NA","759676","NA","759676|776996","NA","759676","pi-103","NA","pi-103","NA","NA","PI-103","PI-103","NA","NA","NA"
"593960-11-3|PIK 93|PIK-93|PIK93","NA","NA","PIK-93","NA","NA","NA","NA","NA","NA","NA","NA","pik-93","NA","pik-93","NA","NA","NA","PIK-93","NA","NA","NA"
"2062-78-4|OPIRAN|ORAP|PIMOZIDE|PIMOZIDUM|170984","170984","NA","NA","NA","170984","NA","NA","NA","170984","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"DIPIPERAL|DIPIPERON|DIPIPERONE|FLOROPIPAMIDE|PIPAMPERONE|759178","759178","NA","NA","NA","759178","NA","NA","NA","759178","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"20069-09-4|CHEBI:8241|PIPERLONGUMINE|PIPLARTIN|PIPLARTINE","NA","NA","piperlongumine","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Piperlongumine","Piperlongumine","NA","NA"
"54-91-1|AMEDEL|PIPOBROMAN|PIPOBROMANUM|VERCYTE|25154","25154","NA","NA","NA","25154","NA","25154","NA","25154","NA","25154","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
