,NSC,NAME,FDA_STATUS,MOA,PUBCHEM_ID,SMILES,TOTAL_EXPS,TOTAL_EXPS_AFTER_QC
3348,294712,Lobolide,,,5359032.0,CC(=O)OCC12CC\C=C(/C)\CC\C=C(/C)\CC3OC(=O)C(=C)C3CC1O2,1,1
3349,294734,Terreic acid,,,91437.0,CC1=C(O)C(=O)[C@@H]2O[C@@H]2C1=O,6,6
3350,294814,"3-Azabicyclo[3.2.2]nonane-3-carbothioic acid, [1-(2-pyri...",,,5361900.0,C\C(=N/NC(=S)N1CC2CCC(CC2)C1)\c3ccccn3,2,2
3351,294846,"Cinnoline, 4-nitro-, 1-oxide",,,100397.0,[O-][N+](=O)c1cn[n+]([O-])c2ccccc12,1,1
3352,294858,,,,,CN1P(F)(F)[Fe]23(C#O)(C#O)C(=O)[Fe]2(C#O)(C#O)(P(F)(F)N(C)P3(F)F)P1(F)F,2,2
3353,294921,LUPENE TRIOL,,,,CC(=C)C1CCC2(CO)C(O)CC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C12,1,1
3354,294961,3-phenacyliden-5-brom-2-indolinon,,,,Brc1ccc2NC(=O)\C(=C/C(=O)c3ccccc3)\c2c1,2,1
3355,294979,bleomycin bapp,,,,CCCCNCCCNCCCNC(=O)c1csc(n1)c2csc(CCNC(=O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c3nc(nc(N)c3C)C(CC(=O)N)NCC(N)C(=O)N)C(OC4OC(CO)C(O)C(O)C4OC5OC(CO)C(O)C(OC(=O)N)C5O)c6c[nH]cn6)C(C)O)n2,3,3
3356,294980,"p-N,N-Di(2-chloroethyl)toluidine",,,100400.0,Cc1ccc(cc1)N(CCCl)CCCl,1,1
3357,295084,"5H-Benzocyclohepten-5-one, 6-bromo-6,7,8,9-tetrahydro-2-...",,,325766.0,COc1ccc2C(=O)C(Br)CCCc2c1,2,2
3358,295085,"5H-Benzocyclohepten-5-one, 6,6-dibromo-6,7,8,9-tetrahydr...",,,325767.0,COc1cc2CCCC(Br)(Br)C(=O)c2cc1[N+](=O)[O-],2,2
3359,295272,"2-(Hydroxymethyl)-5-[6-[(E)-2-hydroxy-2-phenylethenyl]purin-9-yl]oxolane-3,4-diol",,,135476744.0,OCC1OC(C(O)C1O)n2cnc3c(\C=C(\O)/c4ccccc4)ncnc23,2,2
3360,295391,,,,,NC(=O)c1cn(C2CC(O)C(CO)O2)c3ncnc(N)c13,2,2
3361,295425,GROSHEIMIN,,,,CC1C2C3OC(=O)C(=C)C3C(O)CC(=C)C2CC1=O,1,1
3362,295426,Alatolid,,,,CC(C)C(=O)OC1C\C(=C\CC\C(=C\C2OC(=O)C(=C)C12)\CO)\CO,2,2
3363,295427,EUPATORIOPICRINE,,,,C\C\1=C/C2OC(=O)C(=C)C2C(C\C(=C/CC1)\C)OC(=O)\C(=C\CO)\CO,1,1
3364,295466,ALBB-031223,,,5702506.0,[O-][N+](=O)\C=C\c1cccc(F)c1,1,1
3365,295473,alpha-methoxyhydantoic acid,,,325890.0,COC(NC(=O)N)C(=O)O,1,1
3366,295499,Camptothecin Derivative,,TOP1,325910.0,COc1c2CN3C(=O)C4=C(C=C3c2nc5ccccc15)C(O)(CC(=O)N6CCOCC6)C(=O)OC4,7,7
3367,295500,Camptothecin Derivative,,TOP1,325911.0,COC(=O)CC1(O)C(=O)OCC2=C1C=C3N(Cc4c(OC)c5ccccc5nc34)C2=O,2,2
3368,295501,Camptothecin Derivative,,TOP1,325912.0,CCC1(O)C(=O)OCC2=C1C=C3N(Cc4c(OC)c5ccccc5nc34)C2=O,2,2
3369,295505,C 829,,,21120490.0,CC(CN(C)C)Nc1c2ccccc2nc3cccc(c13)[N+](=O)[O-],2,1
3370,295563,"2-Butenoic acid, 2,3-dibromo-4-[[(4-methylphenyl)sulfony...",,,54607416.0,Cc1ccc(cc1)S(=O)(=O)N\N=C\C(=C(\Br)/C(=O)O)\Br,2,1
3371,295565,Kidamycin,,,,C\C=C(/C)\C1=CC(=O)c2c(C)cc3C(=O)c4c(cc(C5CC(C)(C(O)C(C)O5)N(C)C)c(O)c4C(=O)c3c2O1)C6CC(C(O)C(C)O6)N(C)C,2,2
3372,295566,neopluramycin,,,5359061.0,C\C=C(/C)\C1=CC(=O)c2c(C)cc3C(=O)c4c(cc(C5CC(C)(C(OC(=O)C)C(C)O5)N(C)C)c(O)c4C(=O)c3c2O1)C6CC(C(O)C(C)O6)N(C)C,2,2
3373,295633,,,,,CCN(CC)CCCC(CCl)Nc1ccnc2cc(Cl)ccc12,1,1
3374,295641,"Hydrazinecarbodithioic acid, [1-(2-pyridinyl)ethylidene]...",,,5955229.0,C\C(=N/NC(=S)SCc1ccccc1)\c2ccccn2,2,2
3375,295642,,,,,CC1=[N+]2[N-]C(=S[Cu+]2([ClH-])[n+]3ccccc13)SCc4ccccc4,2,2
3376,295661,Pyrodelphinine,,,431677.0,COCC12CCC(OC)C34C5CC6(O)C(OC)C=C(C(C(OC)C13)C4N(C)C2)C5C6OC(=O)c7ccccc7,1,1
3377,296300,"Hydrazinecarbothioamide, N-[4-(diethylamino)-1-methylbut...",,,54598640.0,CCN(CC)CCCC(C)NC(=S)N\N=C(/C)\c1ccccn1,1,1
3378,296301,,,,,C\C(=N/NC(=S)NC1CCCCC1)\c2ccccn2,2,2
3379,296934,Teroxirone,,A7,17142.0,O=C1N(CC2CO2)C(=O)N(CC3CO3)C(=O)N1CC4CO4,9,8
3380,296964,triglycidylisocyanurate,,,,O=C1N(CC2CO2)C(=O)N(CC3CO3)C(=O)N1CC4CO4,1,1
3381,297093,"1,3-Dioxane-4,6-dione, 2,2-dimethyl-5-[(5-nitro-2-thieny...",,,326210.0,CC1(C)OC(=O)C(=Cc2ccc(s2)[N+](=O)[O-])C(=O)O1,1,1
3382,297353,"6-Chloro-3-(2-chlorobenzyl)-3,4-dihydro-2H-(1,3)oxazino(5,6-h)quinoline",,,326313.0,Clc1ccccc1CN2COc3c(C2)cc(Cl)c4cccnc34,1,1
3383,297360,Bionet2_000691,,,326320.0,Clc1ccc(CN2COc3c(C2)cc(Cl)c4cccnc34)cc1,2,2
3384,297361,"3-[(2-Chlorophenyl)methyl]-2,4-dihydropyrido[3,2-h][1,3]benzoxazine",,,326321.0,Clc1ccccc1CN2COc3c(C2)ccc4cccnc34,1,1
3385,297366,"6-Chloro-3-[(2-fluorophenyl)methyl]-2,4-dihydropyrido[3,2-h][1,3]benzoxazine",,,326326.0,Fc1ccccc1CN2COc3c(C2)cc(Cl)c4cccnc34,1,1
3386,298197,VZ27697,,,75253.0,Oc1ccc(N=Nc2nccs2)c(O)c1,1,1
3387,298223,cc-1065,,,,COc1c(O)c2N(CCc2c3cc([nH]c13)C(=O)N4CCc5c4c(O)c(OC)c6[nH]c(cc56)C(=O)N7CC8CC89C7=CC(=O)c%10[nH]cc(C)c9%10)C(=O)N,5,4
3388,298276,"Ethanediamide, N,N'-bis[[1-(1,1-dimethylethyl)-2-aziridi...",,,326600.0,CC(C)(C)N1CC1CNC(=O)C(=O)NCC2CN2C(C)(C)C,5,3
3389,298509,"3-(2,3-dihydrobenzo[d]oxazol-2-yl)benzo thioamide",,,3374653.0,NC(=S)c1cccc(c1)C2Nc3ccccc3O2,1,1
3390,298823,"Hydrazinecarboximidamide, 2-[1-(9H-fluoren-2-yl)ethylide...",,,54607521.0,CNC(=N)N\N=C(/C)\c1ccc2c(Cc3ccccc23)c1,1,1
3391,299117,Sendanin,,,5464491.0,CC(=O)OC1CC(O)C23COC(O[Ac])C1(C)C2CC(O)C4(C)C3C(=O)C(O[Ac])C5(C)C(CC6OC456)c7cocc7,2,2
3392,299130,"Ferrate(1-), [2-(pyridinylmethylene)hydrazinecarbothioam...",,,3337459.0,NC1=S[Fe+2]2([O-]S(=O)(=O)O)[N+](=Cc3cccc[n+]23)[N-]1,1,1
3393,299209,4-((3-Quinolinylmethyl)amino)benzenesulfonamide,,,182334.0,NS(=O)(=O)c1ccc(NCc2cnc3ccccc3c2)cc1,1,1
3394,299514,9J2BCV8VXC,,,326899.0,CCOC(=O)Nc1ccc2[nH]c(nc2c1)c3cscn3,2,2
3395,299545,eurecurvin,,,,CCC(C)C(=O)OC1\C=C(/C)\C(O)CC(OC(=O)C)\C(=C\C2OC(=O)C(=C)C12)\CO,1,1
3396,299587,Formoterol Fumarate,,,,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,1,1
3397,299863,"Benzenemethanol, 4-(1,1-dimethylethyl)-.alpha.,.alpha.-b...",,,326946.0,COc1cc(cc(OC)c1C(O)(c2c(OC)cc(cc2OC)C(C)(C)C)c3c(OC)cc(cc3OC)C(C)(C)C)C(C)(C)C,2,1
3398,299878,4-(2-Bromoethylsulfanylmethyl)-7-methoxychromen-2-one,,,326958.0,COc1ccc2C(=CC(=O)Oc2c1)CSCCBr,1,1
3399,299879,NCIMech_000462,,,326959.0,COc1cc2OC(=O)C=C(C)c2cc1[N+](=O)[O-],2,1
3400,299922,Isovelleral,,,,CC1(C)CC2C=C(C=O)C3(CC3(C)C2C1)C=O,2,2
3401,299933,thapsigargin,,,,CCCCCCCC(=O)OC1C(OC(=C)\C(=C\C)\C)C(=C2C3OC(=O)C(C)(O)C3(O)C(CC(C)(OC(=O)C)C12)OC(=O)CCC)C,7,3
3402,299934,THAPSIA VILLOSA COMPD,,,,CCCCC(=O)OC1C(OC(=O)\C(=C\C)\C)C(=C2C3OC(=O)C(C)(O)C3(O)C(CC(C)(OC(=O)C)C12)OC(=O)CCCC)C,2,2
3403,299936,Totarol,,,326995.0,CC(C)c1c(O)ccc2c1CCC3C(C)(C)CCCC23C,1,1
3404,300288,"1H-Benz[de]isoquinoline-1,3(2H)-dione, 2-[2-(dimethylami...",,,327044.0,CN(C)CCN1C(=O)c2cccc3cc(cc(C1=O)c23)[N+](=O)[O-],3,2
3405,300289,Pinafide,,,327045.0,[O-][N+](=O)c1cc2C(=O)N(CCN3CCCC3)C(=O)c4cccc(c1)c24,2,2
3406,301189,"Piperidinium, 1-[4-(4-nitrophenyl)-1,3-dithiol-2-ylidene...",,,,[O-][N+](=O)c1ccc(cc1)C2=CSC(=[N+]3CCCCC3)S2,2,2
3407,301457,Cycloalkannin,,,,CC1(C)CC[C@@H](O1)c2cc(O)c3C(=O)C=CC(=O)c3c2O,4,4
3408,301460,Trichopolyn,,,,CCCCCCCCC(C)C(=O)N1CCCC1C(=O)N2C(CC(=O)CC)CC(C)CC2C(=O)NC(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)CN(C)CCO,2,2
3409,301477,antineoplastic-301477,,,,COC1C(N)CC(O[C@H]2C[C@@](O)(Cc3c(O)c4C(=O)c5cccc(OC)c5C(=O)c4c(O)c23)C(=O)CO)OC1C,3,3
3410,301480,"1H-Pyrrole-3,4-dimethanol, 2-[1,1'-biphenyl]-4-yl-1,5-di...",,,327239.0,CNC(=O)OCc1c(C)n(C)c(c1COC(=O)NC)c2ccc(cc2)c3ccccc3,2,2
3411,301739,Mitoxantrone,FDA approved,TOP2,,OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,13,11
3412,302035,Melampodin B acetate,,,5359212.0,CC(=O)OC\C\1=C/C2OC(=O)C(=C)C2C3OC(=O)C(=C3)C(CC1)OC(=O)C,3,3
3413,302042,"Propanoic acid, 2-methyl-2-[4-(1-naphthalenyl)phenoxy]-",,,327338.0,CC(C)(Oc1ccc(cc1)c2cccc3ccccc23)C(=O)O,1,1
3414,302286,BOHLMANN K2604,,,327375.0,CC1CC(O)CC2C(OC(=O)C=C(C)C)C(O)C(CC12C)C(=C)C,1,1
3415,302288,BOHLMANN K2630,,,327377.0,COc1cc(ccc1OC(=O)C(C)C)C(COC(=O)C(C)(C)OC(=O)C)C=C,2,2
3416,302289,BOHLMANN K2631,,,,CC1CCCC2(C)CC3OC(=O)C(=C)C3C=C12,1,1
3417,302325,"2,4-Pyrimidinediamine, 5-(4-chloro-3-nitrophenyl)-6-ethyl-",,,327404.0,CCc1nc(N)nc(N)c1c2ccc(Cl)c(c2)[N+](=O)[O-],4,4
3418,302358,"Piperidinium, 1-[4-(4-methoxyphenyl)-1,3-dithiol-2-ylide...",,,,COc1ccc(cc1)C2=CSC(=[N+]3CCCCC3)S2.OS(=O)(=O)O,1,1
3419,302584,"Pyrimidine, 2-((2,4-dinitrophenyl)thio)-",,,163121.0,[O-][N+](=O)c1ccc(Sc2ncccn2)c(c1)[N+](=O)[O-],1,1
3420,302600,diethyldichlorotin,,,91491.0,CC[Sn](Cl)(Cl)CC,2,2
3421,302867,"3H-Pyrrole-4-carboxylic acid, 2,5-diamino-3-[(4-methoxyp...",,,135452461.0,CCOC(=O)C1=C(N)NC(=N)/C/1=N\c2ccc(OC)cc2,1,1
3422,302979,shikoccin,,,327536.0,CC(=O)OC1CCC2(C)C(CC(O)C3=CC(CCC2=O)C(=C)C3=O)C1(C)C,2,2
3423,302991,Camptothecin Derivative,,TOP1,2538.0,CCC1(O)C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O,2,2
3424,303289,"Cyclopentanecarbodithioic acid, 2-imino-, 2-cyanoethyl e...",,,327580.0,N=C1CCCC1C(=S)SCCC#N,1,1
3425,303530,"1,2-Bis(7-methyl-[1,2,4]triazolo[4,3-a]pyridin-3-yl)ethane",,,327606.0,Cc1ccn2c(CCc3nnc4cc(C)ccn34)nnc2c1,1,1
3426,303534,"oxazolidine, 3-[(cyclohexyloxy)methyl]-4,4-dimethyl-",,,327610.0,CC1(C)COCN1COC2CCCCC2,1,1
3427,303607,"(E)-4-(4-Chlorophenyl)-2,2,3-trimethylbut-3-enoic acid",,,5384034.0,C\C(=C/c1ccc(Cl)cc1)\C(C)(C)C(=O)O,1,1
3428,303751,"2-(3-Benzyl-4-oxo-2-sulfanylidene-1,3-thiazolidin-5-yl)-2H-1,4-benzothiazin-3(4H)-one",,,327685.0,O=C1Nc2ccccc2SC1C3SC(=S)N(Cc4ccccc4)C3=O,2,2
3429,303769,"2-Isonicotinoyl-5-methyl-4-(2-naphthyldiazenyl)-2,4-dihydro-3H-pyrazol-3-one",,,327703.0,CC1=NN(C(=O)c2ccncc2)C(=O)C1N=Nc3ccc4ccccc4c3,2,2
3430,303812,Aphidicoline glycinate,,Ds,,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H]1CC[C@H]3C[C@@H]4C[C@]23CC[C@@]4(O)COC(=O)CN,15,12
3431,303861,L-Cysteine analog,,,,CCOC(=O)C(N)CSC(=O)NC,8,3
3432,303870,"5-Benzyl-3-(furan-2-ylmethyl)-1,3,5-thiadiazinane-2-thione",,,327741.0,S=C1SCN(Cc2ccccc2)CN1Cc3occc3,1,1
3433,303872,toness,,,8589.0,CCC(c1ccccc1)c2noc(CCN(CC)CC)n2,2,2
3434,304393,"Hydrazinecarboximidamide, 2,2'-(9H-fluorene-2,7-diyldiet...",,,54610854.0,CNC(=N)N\N=C(/C)\c1ccc2c(Cc3cc(ccc23)\C(=N\NC(=N)NC)\C)c1,2,2
3435,304421,Leurosine N-oxide,,,,CCC12C[N+]3([O-])CCc4c([nH]c5ccccc45)C(CC(C3)C1O2)(C(=O)OC)c6cc7c(cc6OC)N(C)C8C(O)(C(OC(=O)C)C9(CC)C=CCN%10CCC78C9%10)C(=O)OC,1,1
3436,304425,tallysomycin s2b,,,,CC(O)C(\N=C(\O)/CC(O)C(C)\N=C(\O)/C(\N=C(/O)\c1nc(nc(N)c1C)C(CC(=N)O)NCC(N)C(=N)O)C(OC2OC(CO)C(O)C(O)C2OC3OC(CO)C(O)C(OC(=N)O)C3O)c4c[nH]cn4)\C(=N\C(OC5OC(C)C(N)C(O)C5O)C(O)c6nc(cs6)c7nc(cs7)\C(=N\CCCS(C)C)\O)\O,2,2
3437,304426,tallysomycin s10b,,,,CC(O)C(NC(=O)CC(O)C(C)NC(=O)C(NC(=O)c1nc(nc(N)c1C)C(CC(=O)N)NCC(N)C(=O)N)C(OC2OC(CO)C(O)C(O)C2OC3OC(CO)C(O)C(OC(=O)N)C3O)c4c[nH]cn4)C(=O)NC(OC5OC(C)C(N)C(O)C5O)C(O)c6nc(cs6)c7nc(cs7)C(=O)NCCCCN,2,2
3438,304610,"3-(4-Methoxyphenyl)-5,5,5-triphenyl-4,5-dihydro-1,2,5lambda(5)-oxazaphosphole",,,9571209.0,COc1ccc(cc1)C2=NOP(C2)(c3ccccc3)(c4ccccc4)c5ccccc5,2,2
3439,304636,ISUPSL100300,,,327861.0,COc1cc2cnc(cc2cc1OC)c3ccccc3,1,1
3440,304940,LINICHLORINA A,,,182337.0,CC(=C)C(=O)O[C@H]1CC(=C)[C@@H]2C[C@H](O)[C@](O)(CCl)[C@@H]2[C@H]3OC(=O)C(=C)[C@H]13,1,1
3441,305222,Cytochalasin H,,,,CC1C\C=C\C2C(O)C(=C)C(C)C3C(Cc4ccccc4)NC(=O)C23C(OC(=O)C)\C=C\C(C)(O)C1,12,10
3442,305329,3-(1H-Benzimidazol-2-ylamino)isoindol-1-one,,,135452472.0,O=C1N\C(=N/c2nc3ccccc3[nH]2)\c4ccccc14,1,1
3443,305352,zimelidine hydrochloride,,,,CN(C)C\C=C(\c1ccc(Br)cc1)/c2cccnc2,1,1
3444,305458,"2-Propenamide, N-[2-(decylthio)-1-(hydroxymethyl)ethyl]-...",,,,CCCCCCCCCCSCC(CO)NC(=O)\C=C\C1=C(C)NC(=O)NC1=O,6,5
3445,305489,Pseudolycorine hydrochloride,,,,COc1cc2CN3CCC4=CC(O)C(O)C(C34)c2cc1O,1,1
3446,305530,1-[[5-(p-fluorophenyl)-2-furanyl]methyleneamino]hydantoin,,,9568687.0,Fc1ccc(cc1)c2oc(\C=N\N3CC(=O)NC3=O)cc2,1,1
3447,305761,"1-(3,4-dichlorophenyl)-3-(4-(1-ethylpiperidin-3-ylamino)...",,,54610863.0,CCN1CCCC(C1)Nc2cc(C)nc(NC(=N)Nc3ccc(Cl)c(Cl)c3)n2,1,1
3448,305762,"2-[(Z)-[(E)-1,3-Bis(4-chlorophenyl)but-2-enylidene]amino]guanidine;hydrochloride",,,54602148.0,C\C(=C\C(=N\NC(=N)N)\c1ccc(Cl)cc1)\c2ccc(Cl)cc2,2,1
3449,305767,"2,4-Quinazolinediamine, 6-[(4-chlorophenyl)thio]-",,,328131.0,Nc1nc(N)c2cc(Sc3ccc(Cl)cc3)ccc2n1,1,1
3450,305768,"Acetic acid;6-[(3,4-dichloroanilino)methyl]quinazoline-2,4-diamine",,,328132.0,Nc1nc(N)c2cc(CNc3ccc(Cl)c(Cl)c3)ccc2n1,2,2
3451,305780,"Ethanol, compd. with 6-(2-naphthalenylthio)-2,4-quinazol...",,,16682542.0,Nc1nc(N)c2cc(Sc3ccc4ccccc4c3)ccc2n1,3,3
3452,305782,"2,4-Quinazolinediamine, 6-[[3-(trifluoromethyl)phenyl]th...",,,100475.0,Nc1nc(N)c2cc(Sc3cccc(c3)C(F)(F)F)ccc2n1,2,2
3453,305783,"2,4-Quinazolinediamine, 6-(phenylsulfonyl)-",,,328137.0,Nc1nc(N)c2cc(ccc2n1)S(=O)(=O)c3ccccc3,1,1
3454,305784,"2,4-Quinazolinediamine, 6-[[3-(trifluoromethyl)phenyl]su...",,,328138.0,Nc1nc(N)c2cc(ccc2n1)S(=O)(=O)c3cccc(c3)C(F)(F)F,1,1
3455,305787,"(6,8-dichloro-2-adamantylquinolin-4-yl)-(piperidin-2-yl)...",,,470998.0,OC(C1CCCCN1)c2cc(nc3c(Cl)cc(Cl)cc23)C45CC6CC(CC(C6)C4)C5,3,1
3456,305799,"2,4-Quinazolinediamine, 6-[[4-(dimethylamino)phenyl]thio]-",,,328145.0,CN(C)c1ccc(Sc2ccc3nc(N)nc(N)c3c2)cc1,2,2
3457,305802,"2,4-Quinazolinediamine, 5,6,7,8-tetrahydro-6-(2-naphthal...",,,173733.0,Nc1nc(N)c2CC(CCc2n1)S(=O)(=O)c3ccc4ccccc4c3,2,2
3458,305805,,,,,COc1cc(NC(C)CCCN)c2nccc(C)c2c1,1,1
3459,305819,"1-(2,8 -is(trifluoromethyl)quinolin-4-yl)-3-(tert-butyla...",,,328154.0,CC(C)(C)NCCC(O)c1cc(nc2c(cccc12)C(F)(F)F)C(F)(F)F,3,2
3460,305884,acodazole,,,,CN(C(=O)C)c1ccc(Nc2cc(C)nc3ccc4nc[nH]c4c23)cc1,15,11
3461,305978,Herbimycin,,,,COC1CC(C)C(OC)C2=CC(=O)C=C(NC(=O)\C(=C\C=C/C(OC)C(OC(=O)N)\C(=C/C(C)C1OC)\C)\C)C2=O,2,2
3462,306107,"2-Naphthalenecarboxylic acid, 4,4'-methylenebis(3-hydrox...",,,16129848.0,Nc1ccc(cc1)C(OC(=O)c2cc3ccccc3c(Cc4c(O)c(cc5ccccc45)C(=O)OC(c6ccc(N)cc6)(c7ccc(N)cc7)c8ccc(N)cc8)c2O)(c9ccc(N)cc9)c%10ccc(N)cc%10,1,1
3463,306203,"2-Butenamide, 4-(2,6-dichlorophenyl)-4-oxo-",,,5951628.0,NC(=O)\C=C\C(=O)c1c(Cl)cccc1Cl,2,2
3464,306365,"Quino[8,7-h]quinoline-1,7-diamine, N,N'-bis[3-(dimethyla...",,,24198873.0,CN(C)CCCNc1cc(C)nc2c1ccc3c2ccc4c(NCCCN(C)C)cc(C)nc34,2,2
3465,306388,"Gold, chloro(triphenylphosphine)-",,,,[Cl-][Au+]P(c1ccccc1)(c2ccccc2)c3ccccc3,2,2
3466,306393,"[4-[[3-[(4-Azanidylsulfonylphenyl)diazenyl]-8-[(2,2-dichloroacetyl)amino]-4-(2,2-dichloroacetyl)oxynaphthalen-1-yl]diazenyl]phenyl]sulfonylazanide;3,4-dimethyl-5H-1,2-oxazol-5-ide;silver",,,328256.0,Cc1noc(c1C)[Ag]NS(=O)(=O)c2ccc(cc2)N=Nc3cc(N=Nc4ccc(cc4)S(=O)(=O)N[Ag]c5onc(C)c5C)c6c(NC(=O)C(Cl)Cl)cccc6c3OC(=O)C(Cl)Cl,1,1
3467,306455,"2,2'-(4,4'-(ethene-1,2-diyl)bis(3-sulfo-4,1-phenylene))b...",,,,OS(=O)(=O)c1ccc2cc3nn(nc3cc2c1)c4ccc(\C=C\c5ccc(cc5S(=O)(=O)O)n6nc7cc8ccc(cc8cc7n6)S(=O)(=O)O)c(c4)S(=O)(=O)O,1,1
3468,306711,"Cuprate(3-), [.mu.-[4-amino-6-[[4'-[[4,5-dihydro-3-methy...",,,,[Na+].Cc1nn(c2[O-][Cu+2][O-]c3cc(ccc3[N+](=Nc12)C)c4ccc5N=[N+]6[Cu+2]([O-]c5c4)[O-]c7c6ccc8c(cc(c(N)c78)S(=O)(=O)[O-])S(=O)(=O)[O-])c9ccc(cc9)S(=O)(=O)[O-],1,1
3469,306736,"2,3,7-Trichloro-10H-phenothiazine-1,4-dione",,,328364.0,ClC1=C(Cl)C(=O)C2=C(Nc3ccc(Cl)cc3S2)C1=O,1,1
3470,306752,STK061493,,,328377.0,Clc1cccc(NC(=O)Nn2cnnc2)c1,2,1
3471,306822,,,,328406.0,Cc1ccc(cc1)[Se](=C(C(=O)c2ccccc2)C(=O)c3ccccc3)c4ccc(C)cc4,1,1
3472,306864,DIOSGENIN TETRAGLYCOSIDE,,,,CC1CCC2(OC1)OC3CC4C5CC=C6CC(CCC6(C)C5CCC4(C)C3C2C)OC7OC(CO)C(OC8OC(C)C(OC9OC(C)C(O)C(O)C9O)C(O)C8O)C(O)C7OC%10OC(C)C(O)C(O)C%10O,1,1
3473,306911,".beta.-D-Glucopyranose, 2,3-O-(diethylstannylene)-",,,16683462.0,CC[Sn]1(CC)OC2C(O)OC(CO)C(O)C2O1,1,1
3474,306951,Avarol,,,,CC1CCC2(C)C(CCC=C2C)C1(C)Cc3cc(O)ccc3O,10,3
3475,306960,CH-382,,,328505.0,OC(=O)c1cnc2cc(OCc3ccccc3)ccc2c1O,1,1
3476,307241,"Adriamycin deriv., mixt. with hydroxyethyl starch (cross...",,,,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO,1,1
3477,307500,9LC3489KIW,,,72802.0,NC(=O)C1=NNc2ccccc2C(=O)N1c3ccccc3,1,1
3478,307981,Lonchocarpic acid,,,54683839.0,COc1c2C=CC(C)(C)Oc2c(CC=C(C)C)c3OC(=O)C(=C(O)c13)c4ccc(O)cc4,1,1
3479,307990,"5,12-Naphthacenedione, 10-[(3,4-di-O-acetyl-2,6-dideoxy-...",,,,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5CC(OC(=O)C)C(OC(=O)C)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO,2,2
3480,308606,elatericin a,,,,CC(C)(O)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,8,5
3481,308787,10-[(2-Ethoxyphenyl)methylidene]anthracen-9-one,,,328716.0,CCOc1ccccc1C=C2c3ccccc3C(=O)c4ccccc24,1,1
3482,308819,"1-(furan-2-yl)-5-phenylpenta-2,4-dien-1-one",,,6310903.0,O=C(\C=C\C=C\c1ccccc1)c2occc2,1,1
3483,308846,AG542XU5YV,,,328772.0,COc1cc2C(=O)N(CCN3CCCC3)C(=O)c4cccc(c1)c24,1,1
3484,308847,AMONAFIDE,Clinical trial,TOP2,50515.0,CN(C)CCN1C(=O)c2cccc3cc(N)cc(C1=O)c23,14,2
3485,308849,"1H-Benz[de]isoquinoline-1,3(2H)-dione, 5-amino-2-[2-(1-p...",,,328774.0,Nc1cc2C(=O)N(CCN3CCCC3)C(=O)c4cccc(c1)c24,2,1
3486,308879,Panaxadiol,,,,CC1(C)CCCC(C)(O1)C2CCC3(C)C2C(O)CC4C5(C)CCC(O)C(C)(C)C5CCC34C,1,1
3487,308881,"7H-Pyrrolo[3,2-e][1,2,4]triazolo[1,5-c]pyrimidine, 7-.be...",,,328780.0,OCC1OC(C(O)C1O)n2ccc3c2ncn4ncnc34,2,2
3488,309401,"2H-Pyrrolo[3,2-f]quinazoline-2,4(3H)-diamine, 3-[(3-amin...",,,,Nc1ccc(Cn2ccc3c2ccc4nc(N)nc(N)c34)cc1,2,2
3489,309451,Tetracenomycin C,,,73632.0,[R]O.[R]OC.[R]=O.COC1C=C2C=C3C(C(=C2C(=C1C(=O)OC)C)O)C(=O)C4(O)CC=CCC4(O)C3=O,1,1
3490,309455,"Benzenamine, N,N-bis(2-chloroethyl)-4-ethoxy-, hydrochlo...",,,21144784.0,CCOc1ccc(cc1)N(CCCl)CCCl,1,1
3491,309697,"Acetamide, N-[5,6,7,9-tetrahydro-1,2,3-trimethoxy-9-oxo-...",,,84072.0,COc1cc2CC[C@H](NC(=O)C)C3=CC(=O)C(=CC=C3c2c(OC)c1OC)NCc4ccccc4,2,2
3492,309883,"4-(3-Pyridinyl)-5-((3-(trifluoromethyl)phenyl)sulfonyl)-4,5-dihydropyrrolo[1,2-a]quinoxaline",,,328919.0,FC(F)(F)c1cccc(c1)S(=O)(=O)N2C(c3cccnc3)c4cccn4c5ccccc25,2,1
3493,309895,4-Amino-5-(5-chloro-1-benzofuran-2-carbonyl)-2-(4-chloro-2-methylanilino)thiophene-3-carbonitrile,,,328931.0,Cc1cc(Cl)ccc1Nc2sc(C(=O)c3oc4ccc(Cl)cc4c3)c(N)c2C#N,2,2
