,Drug Name,DrugBank ID,PubChem CID,PubChem SID,SMILES,Targets Name,Targets
1954,2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid,DB02364,17754161,46508316,[H][C@](N)(COP(=O)(OCC)OCC)C(O)=O,['Acyl-CoA thioesterase I'],['P0ADA1']
1955,"1,10-Phenanthroline",DB02365,1318,46505260,C1=CC2=CC=C3C=CC=NC3=C2N=C1,"['Metallo-beta-lactamase L1', 'Methyl-accepting chemotaxis protein II']","['P52700', 'P02941']"
1956,CRA_10762,DB02366,6102594,46508259,NC(=N)C1=CC2=C(NC(=N2)C2=CC=CC(C3=CC=CC=C3)=C2O)C=C1Cl,['Trypsin-1'],['P07477']
1957,(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine,DB02367,5287415,46506803,CCCCOC1=CC=C(C=C1)S(=O)(=O)N1C[C@H](C[C@@H]1C(=O)NO)NS(C)(=O)=O,['Stromelysin-1'],['P08254']
1958,N-Acetyl-L-Citrulline,DB02368,656979,46506512,CC(=O)N[C@@H](CCCNC(N)=O)C(O)=O,['N-acetylornithine carbamoyltransferase'],['Q8P8J2']
1959,Nz-(1-Carboxyethyl)-Lysine,DB02370,17754073,46507581,C[C@@H](NCCCC[C@H](N)C(O)=O)C(O)=O,['4-hydroxy-tetrahydrodipicolinate synthase'],['Q9X1K9']
1960,"2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid",DB02371,81831,46506869,OCC(CO)(CO)NCCS(O)(=O)=O,['Complement C1s subcomponent'],['P09871']
1961,Adenosine monotungstate,DB02373,46936368,46508688,[H]N([H])C1=NC=NC2=C1N=CN2[C@]1([H])O[C@@]([H])(CO[W](O)(O)=O)[C@]([H])(O)[C@@]1([H])O,"[""Bis(5'-adenosyl)-triphosphatase""]",['P49789']
1962,Xylose-Derived Imidazole,DB02374,445615,46506871,[H][C@@]1(O)CN2C=CN=C2[C@]([H])(O)[C@@]1([H])O,['Exoglucanase/xylanase'],['P07986']
1963,Myricetin,DB02375,5281672,46508126,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C(O)=C2)=C1,"['Tyrosine-protein kinase JAK1', 'Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform']","['P23458', 'P48736']"
1964,"D-gluconhydroximo-1,5-lactam",DB02376,445248,46507942,[H][C@]1(O)C(NO)=N[C@]([H])(CO)[C@@]([H])(O)[C@]1([H])O,['Lactase-phlorizin hydrolase'],['P09848']
1965,Guanine,DB02377,764,46507057,NC1=NC(=O)C2=C(N1)N=CN2,"['Purine nucleoside phosphorylase', 'Purine nucleoside phosphorylase 2', 'Xanthine phosphoribosyltransferase', 'GTP cyclohydrolase 1', 'Purine nucleoside phosphorylase']","['P00491', 'P45563', 'P0A9M5', 'P30793', 'Q9X1T2']"
1966,MMI-175,DB02378,449218,46506044,CC(C)C[C@H](NC(=O)[C@@H]1CC(=O)NCCCCCCOC(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCC1=CC=CC=C1,['Beta-secretase 1'],['P56817']
1967,Beta-D-Glucose,DB02379,64689,46505414,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,"['DNA', 'Chondroitinase-B', 'Endoglucanase 5A', 'Lactase-like protein', 'Glycogen phosphorylase, muscle form', 'Xylose isomerase', 'Glucokinase', 'Ferrichrome-iron receptor', 'Neopullulanase 1', 'Cyclomaltodextrin glucanotransferase', 'Myoglobin', 'Prostaglandin G/H synthase 1', 'Hexokinase-1', 'Alpha-amylase', 'Exoglucanase/xylanase', 'Cyclomaltodextrin glucanotransferase', 'Endoglucanase G', 'Galectin-7', 'Cholera enterotoxin subunit B', 'Dimethyl sulfoxide/trimethylamine N-oxide reductase', 'Alpha-amylase 2B', 'Neopullulanase 2', 'Botulinum neurotoxin type B', 'Tetanus toxin', 'Xylose isomerase', 'Glucan 1,4-alpha-maltohexaosidase', 'Glucan 1,4-alpha-maltotetraohydrolase', 'Endoglucanase F', 'Glucose--fructose oxidoreductase', 'Bifunctional tail protein', 'Glycogen phosphorylase, liver form', 'Pulmonary surfactant-associated protein D', 'Interferon beta', 'Alpha-amylase', 'Glycosyltransferase 6 domain-containing protein 1', 'Glucosamine-6-phosphate isomerase 1', 'Beta-amylase', 'ADP-ribose pyrophosphatase, mitochondrial', 'SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5', 'Cyclomaltodextrin glucanotransferase', 'Enterotoxin type B', 'Alpha-amylase 1', 'Maltodextrin phosphorylase', 'Shiga-like toxin 1 subunit B', 'Neurocan core protein', 'Beta-glucanase', 'Quinoprotein glucose dehydrogenase B', 'Alpha-amylase', 'Maltose-binding periplasmic protein', 'Enoyl-[acyl-carrier-protein] reductase [NADH] FabI', 'Endoglucanase A', 'Cellulose 1,4-beta-cellobiosidase (reducing end) CelS', 'D-galactose-binding periplasmic protein', 'Cellulase B', 'Aspartate ammonia-lyase', 'Possible cellulase CelA1 (Endoglucanase) (Endo-1,4-beta-glucanase) (FI-cmcase) (Carboxymethyl cellulase)', 'Glucokinase', 'Amylase', 'Fucose-binding lectin PA-IIL', 'BH0236 protein', 'Laminarinase', 'Endo-1,4-beta-xylanase A', 'Cellulase B', 'Endoglucanase C', 'Aldose 1-epimerase', 'Amylosucrase', 'Pancreatic alpha-amylase', 'Putative monooxygenase MoxC', 'Endoglucanase E1', 'D-galactose-binding periplasmic protein', 'Ecotin', 'A/G-specific adenine glycosylase', 'Keratin-associated protein 5-2', 'Sialoadhesin', 'Neopullulanase', 'Endo-1,4-beta-xylanase A', 'Maltoporin', 'Hexokinase', 'Endo-1,4-beta-xylanase', 'Maltoporin', 'Galectin-2', 'Malto-oligosyltrehalose trehalohydrolase', 'Inorganic polyphosphate/ATP-glucomannokinase', 'Diacetyl reductase [(S)-acetoin forming]', 'Capsid protein VP1', 'Hydrolase', 'Keratin-associated protein 5-3', 'Endoglucanase C307', 'Endo-1,4-beta glucanase EngF', 'Endoglucanase E-4', 'Orf protein']","['Q46079', 'O85465', 'Q6UWM7', 'P11217', 'P15587', 'P35557', 'P06971', 'Q60053', 'P30920', 'P02144', 'P23219', 'P19367', 'P00691', 'P07986', 'P05618', 'P37700', 'P47929', 'P01556', 'Q57366', 'P19961', 'Q08751', 'P10844', 'P04958', 'P24300', 'P19571', 'P13507', 'P37698', 'Q07982', 'P12528', 'P35247', 'P01574', 'P29957', 'Q7Z4J2', 'P46926', 'P36924', 'Q9BW91', 'O60264', 'P26827', 'P01552', 'P04745', 'P00490', 'P69178', 'O14594', 'P23904', 'P13650', 'P00692', 'P0AEX9', 'P0AEK4', 'P0C2S2', 'P0C2S5', 'P0AEE5', 'Q54331', 'P0AC38', 'Q79G13', 'P0A6V8', 'O82839', 'Q9HYN5', 'Q9KG76', 'Q9WXN1', 'Q8GJ44', 'O07653', 'P14090', 'Q9ZB17', 'Q9ZEU2', 'P04746', 'O34974', 'P54583', 'P23905', 'P23827', 'P17802', 'Q701N4', 'Q9BZZ2', 'P38940', 'Q60037', 'P26466', 'Q26609', 'P40943', 'P02943', 'P05162', 'Q9RX51', 'Q7WT42', 'Q48436', 'P49302', 'Q7SI98', 'Q6L8H2', 'P23340', 'P94622', 'P26221', 'Q47644']"
1968,nor-NOHA,DB02381,446124,46505343,N[C@@H](CCNC(=N)NO)C(O)=O,['Arginase-1'],['P05089']
1969,Namn,DB02382,5288991,46509123,[H][C@]1(COP(O)([O-])=O)O[C@@]([H])([N+]2=CC=CC(=C2)C(O)=O)[C@]([H])(O)[C@]1([H])O,"['Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase', 'Nicotinate-nucleotide pyrophosphorylase [carboxylating]']","['Q05603', 'P9WJJ7']"
1970,Tolrestat,DB02383,53359,46508274,COC1=C(C2=CC=CC(C(=S)N(C)CC(O)=O)=C2C=C1)C(F)(F)F,"['Alcohol dehydrogenase [NADP(+)]', 'Aldo-keto reductase family 1 member B10', 'Aldose reductase']","['P14550', 'O60218', 'P15121']"
1971,(E)-2-Fluoro-P-Hydroxycinnamate,DB02384,54708743,46505236,[H]\C(=C(/F)C(O)=O)C1=CC=C([O-])C=C1,['Tautomerase PptA'],['P31992']
1972,Leucine Phosphonic Acid,DB02386,445715,46505851,CC(C)C[C@H](N)P(O)(O)=O,"['Bacterial leucyl aminopeptidase', 'Cytosol aminopeptidase']","['Q01693', 'P28838']"
1973,"Cyclohexyl-{4-[5-(3,4-Dichlorophenyl)-2-Piperidin-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine",DB02388,447873,46504625,CCCN1C(=NC(=C1C1=CC=NC(NC2CCCCC2)=N1)C1=CC=C(Cl)C(Cl)=C1)C1CCNCC1,['Mitogen-activated protein kinase 10'],['P53779']
1974,"2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One",DB02391,445732,46505395,NC1=NC2=C(N(CCNC(CO)CO)C=N2)C(=O)N1,['Purine nucleoside phosphorylase'],['P00491']
1975,"D-Gluco-2,5-Anhydro-1-Deoxy-1-Phosphonohexitol-6-Phosphate",DB02393,444761,46506678,[H][C@]1(O)[C@]([H])(O)[C@]([H])(CP(O)(O)=O)O[C@]1([H])COP(O)(O)=O,"['6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1']",['P16118']
1976,Oxiranpseudoglucose,DB02394,5289076,46506050,[H][C@@]12C[C@]([H])(O)[C@@]([H])(O)[C@]([H])(O)[C@]1(CO)O2,['Cyclomaltodextrin glucanotransferase'],['P30920']
1977,"3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol",DB02395,1667,46507066,CN1C(CCCO)=C(CO)C2=C1C(=O)C=C(N1CC1)C2=O,['NAD(P)H dehydrogenase [quinone] 1'],['P15559']
1978,Methylethylamine,DB02396,12219,46507472,CCNC,['Myoglobin'],['P02144']
1979,6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine,DB02398,447733,46508312,NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,['Urokinase-type plasminogen activator'],['P00749']
1980,L-Rhamnitol,DB02399,445052,46506015,C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,['L-rhamnose isomerase'],['P32170']
1981,ES-936,DB02400,4470790,46505516,COC1=CC(=O)C2=C(C(COC3=CC=C(C=C3)[N+]([O-])=O)=C(C)N2C)C1=O,['NAD(P)H dehydrogenase [quinone] 1'],['P15559']
1982,"4-Hydroxy-1,2,5-oxadiazole-3-carboxylic acid",DB02401,448650,46505730,OC(=O)C1=NON=C1O,"['L-lactate dehydrogenase', 'L-lactate dehydrogenase B chain']","['Q27743', 'P07195']"
1983,"5-(4-Methoxyphenoxy)-2,4-Quinazolinediamine",DB02402,447098,46508061,COC1=CC=C(OC2=CC=CC3=NC(N)=NC(N)=C23)C=C1,"['Dihydrofolate reductase, mitochondrial', 'Dihydrofolate reductase']","['Q86XF0', 'P22906']"
1984,2-Fluoroaniline,DB02403,9584,46507971,NC1=CC=CC=C1F,['Lysozyme'],['P00720']
1985,1-Deoxy-1-Thio-Heptaethylene Glycol,DB02404,446506,46508454,OCCOCCOCCOCCOCCOCCOCCS,['Acetylcholinesterase'],['P22303']
1986,12-Bromododecanoic Acid,DB02405,175468,46506537,OC(=O)CCCCCCCCCCCBr,['Glycodelin'],['P09466']
1987,N-Valeric Acid,DB02406,7991,46506373,CCCCC(O)=O,"['2-hydroxy-6-oxo-7-methylocta-2,4-dienoate hydrolase']",['P96965']
1988,6-O-Cyclohexylmethyl Guanine,DB02407,4564,46508467,NC1=NC(OCC2CCCCC2)=C2N=CNC2=N1,"['Cyclin-A2', 'Cyclin-dependent kinase 2']","['P20248', 'P24941']"
1989,"(3s)-3-Amino-1-(Cyclopropylamino)Heptane-2,2-Diol",DB02408,448219,46508189,[H][C@](N)(CCCC)C(O)(O)CNC1CC1,"['Methionine aminopeptidase', 'Methionine aminopeptidase']","['P0A078', 'P0A079']"
1990,"2-Acetyl-3-[(4-Amino-2-Methyl-5-Pyrimidinyl)Methyl]-4-Methyl-5-(4,6,6-Trihydroxy-3,5-Dioxa-4,6-Diphosphahex-1-Yl)Thiazolium Inner Salt P,P'-Dioxide",DB02410,4369479,46504515,CC(=O)C1=[N+](CC2=CN=C(C)N=C2N)C(C)=C(CCOP(O)(=O)OP(O)(O)=O)S1,['Pyruvate-flavodoxin oxidoreductase'],['P94692']
1991,"2-(11-{2-[Benzenesulfonyl-(3-Methyl-Butyl)-Amino]-1-Hydroxy-Ethyl}-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-8-Yl)-Acetamide, Inhibitor 2",DB02411,466959,46506982,CC(C)CCN(C[C@@H](O)[C@@H]1CC2=CC=C(OCCCC(=O)N[C@@H](CC(N)=O)C(=O)N1)C=C2)S(=O)(=O)C1=CC=CC=C1,['Gag-Pol polyprotein'],['P03369']
1992,Hydroxyethylcysteine,DB02413,119224,46508617,N[C@@H](CSCCO)C(O)=O,['Gag-Pro-Pol polyprotein'],['Q04095']
1993,Cyclo(his-pro),DB02414,449094,46506361,[H][C@@]12CCCN1C(=O)[C@H](CC1=CN=CN1)NC2=O,['Chitinase B'],['P11797']
1994,N-Octyl-2-Hydroxyethyl Sulfoxide,DB02415,9543425,46508952,CCCCCCCC[S@@](=O)CCO,"['Colicin I receptor', 'Outer membrane porin C', 'Ferrichrome-iron receptor']","['P17315', 'Q9K597', 'P06971']"
1995,"(R,R)-2,3-Butanediol",DB02418,220010,46506166,C[C@@H](O)[C@H](C)O,['Ubiquitin-conjugating enzyme E2 D2'],['P62837']
1996,Ethyl Oxo(Piperidin-1-Yl)Acetate,DB02419,104406,46506075,CCOC(=O)C(=O)N1CCCCC1,['Peptidyl-prolyl cis-trans isomerase A'],['P62937']
1997,"[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,",DB02420,449125,46506318,NCC1=CC=C(NC(=O)C(O)=O)C=C1,['Tyrosine-protein phosphatase non-receptor type 1'],['P18031']
1998,Uridine-5'-diphosphate-mannose,DB02421,448873,46508932,[H]N1C(=O)C=CN([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C1=O,['UDP-glucose 4-epimerase'],['P09147']
1999,Methyl-2-S-(Alpha-D-Mannopyranosyl)-2-Thio-Alpha-D-Mannopyranoside,DB02422,656957,46505420,[H][C@]1(CO)O[C@]([H])(OC)[C@@]([H])(S[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]2([H])O)[C@@]([H])(O)[C@]1([H])O,"['Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase']",['Q9UKM7']
2000,Geldanamycin,DB02424,5288382,46505674,CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O,"['Endoplasmin', 'Heat shock protein HSP 90-alpha', 'Heat shock protein HSP 90-beta']","['P14625', 'P07900', 'P08238']"
2001,Hexadecyl Octanoate,DB02425,589196,46506185,CCCCCCCCCCCCCCCOC(=O)CCCCCCC,['HTH-type transcriptional regulator EthR'],['P9WMC1']
2002,Carboxyatractyloside,DB02426,46936378,46505904,CC(C)CC(=O)O[C@H]1[C@@H](O[C@@H]2C[C@]3(C)[C@H]4CC[C@@H]5C[C@@]4(CC[C@H]3C(C2)(C(O)=O)C(O)=O)[C@@H](O)C5=C)O[C@@H](COO)[C@H](OS(O)(=O)=O)[C@@H]1OS(O)(=O)=O,['ADP/ATP translocase 1'],['P12235']
2003,"2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline",DB02427,447021,46507703,COC1=CC(CN(C)C2=CC=C3N=C(N)N=C(N)C3=C2)=C(OC)C=C1,"['Dihydrofolate reductase', 'Dihydrofolate reductase']","['P00374', 'P16184']"
2004,Quinaldic Acid,DB02428,7124,46506716,OC(=O)C1=NC2=C(C=CC=C2)C=C1,['Gag-Pol polyprotein'],['P04584']
2005,4-(Aminosulfonyl)-N-[(4-Fluorophenyl)Methyl]-Benzamide,DB02429,446237,46504700,NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=CC=C(F)C=C1,['Carbonic anhydrase 2'],['P00918']
2006,Trehalose-6-Phosphate,DB02430,122336,46506650,OC[C@H]1O[C@H](O[C@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,['HTH-type transcriptional regulator TreR'],['P36673']
2007,Cytidine-5'-Triphosphate,DB02431,6176,46507556,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,"['3-deoxy-manno-octulosonate cytidylyltransferase', 'Uridine-cytidine kinase 2', '2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase', 'Glycerol-3-phosphate cytidylyltransferase', '2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase', 'Coenzyme A biosynthesis bifunctional protein CoaBC', 'CCA-adding enzyme', 'Glucose-1-phosphate cytidylyltransferase']","['P42216', 'Q9BZX2', 'Q9X1B3', 'P27623', 'Q46893', 'P0ABQ0', 'Q7SIB1', 'P26396']"
2008,RU90395,DB02432,447522,46506689,COC(=O)C1=C(C=CC(C[C@H](NC(C)=O)C(=O)N[C@H]2CCCCN(CC3=CC=C(C=C3)C3=CC=CC=C3)C2=O)=C1)C(F)(C(O)=O)C(O)=O,['Proto-oncogene tyrosine-protein kinase Src'],['P12931']
2009,"{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid",DB02433,5289106,46508017,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CN(CC(O)O)CP(O)(O)=O,"['2-dehydro-3-deoxyphosphooctonate aldolase', '2-dehydro-3-deoxyphosphooctonate aldolase']","['P0A716', 'O66496']"
2010,4-(2-Thienyl)Butyric Acid,DB02434,78386,46508503,OC(=O)CCCC1=CC=CS1,['Aromatic-amino-acid aminotransferase'],['P95468']
2011,Aminomethylcyclohexane,DB02435,448748,46504677,[NH3+]CC1CCCCC1,"['UDP-N-acetylglucosamine 1-carboxyvinyltransferase', 'Trypsin-1']","['P33038', 'P07477']"
2012,{4-[(2S)-2-({[(1S)-1-Carboxy-2-phenylethyl]carbamoyl}amino)-3-oxo-3-(pentylamino)propyl]phenoxy}malonic acid,DB02436,445784,46506177,CCCCCNC(=O)[C@H](CC1=CC=C(OC(C(O)=O)C(O)=O)C=C1)NC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,['Tyrosine-protein phosphatase non-receptor type 1'],['P18031']
2013,(5r)-5-Amino-6-Hydroxyhexylcarbamic Acid,DB02437,17754062,46504643,N[C@H](CO)CCCCNC(O)=O,"['Parathion hydrolase', 'Bifunctional protein FolC', 'Isoaspartyl dipeptidase']","['P0A433', 'P08192', 'P39377']"
2014,3-O-Methylfructose in Linear Form,DB02438,449225,46507817,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(OC)C(=O)CO,['Xylose isomerase'],['P15587']
2015,"2-Butyl-5,6-Dihydro-1h-Imidazo[4,5-D]Pyridazine-4,7-Dione",DB02441,3465283,46507355,CCCCC1=NC2=C(N1)C(=O)NNC2=O,['Queuine tRNA-ribosyltransferase'],['P28720']
2016,Dioxyselenocysteine,DB02442,17754171,46506335,[H][C@](N)(C[SeH](=O)=O)C(O)=O,"[""Subtilisin BPN'""]",['P00782']
2017,Methicillin Acyl-Serine,DB02443,131704202,46506281,[H][C@](N)(COC(=O)[C@@]([H])(N=C([O-])C1=C(OC)C=CC=C1OC)[C@]1([H])N[C@@]([H])(C(O)=O)C(C)(C)S1)C([O-])=O,['Beta-lactam-inducible penicillin-binding protein'],['P07944']
2018,2-Deoxy-2-Amino Glucitol-6-Phosphate,DB02445,446113,46505743,[H][C@](N)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O,"['Glutamine--fructose-6-phosphate aminotransferase [isomerizing]', 'Glucosamine-6-phosphate isomerase 1', 'Glucosamine-6-phosphate deaminase']","['P17169', 'P46926', 'P0A759']"
2019,Glutamine hydroxamate,DB02446,449178,46506511,N[C@@H](CCC(=O)NO)C(O)=O,['Glutamine--fructose-6-phosphate aminotransferase [isomerizing]'],['P17169']
2020,"3,8,9,10-tetrahydroxy-7-hydroxymethyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione",DB02447,445718,46508685,[H]N1C(=O)N(O)C(=O)[C@]11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"['Glycogen phosphorylase, muscle form']",['P11217']
2021,N-Tridecanoic Acid,DB02448,12530,46505422,CCCCCCCCCCCCC(O)=O,"['Phospholipase A2, membrane associated', 'Phospholipase A2', 'Group IIE secretory phospholipase A2']","['P14555', 'P04054', 'Q9NZK7']"
2022,3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid,DB02449,444789,46506875,[H][C@@](CC1=CNC2=CC=CC=C12)(NS(=O)(=O)C1=CC=C(C=C1)N1CCC(CC1)C1=CC=CC=C1)C(O)=O,['Stromelysin-1'],['P08254']
2023,"2-Benzo[1,3]Dioxol-5-Ylmethyl-3-Benzyl-Succinic Acid",DB02450,5496627,46508466,[H][C@@](CC1=CC=CC=C1)(C(O)=O)[C@]([H])(CC1=CC2=C(OCO2)C=C1)C(O)=O,"['Beta-lactamase', 'Beta-lactamase IMP-1']","['Q79MP6', 'P52699']"
2024,B-nonylglucoside,DB02451,155448,46508456,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"['Cytochrome c oxidase subunit 1', 'Cytochrome c oxidase subunit 2', 'Cytochrome c oxidase polypeptide 2A', 'Rhodopsin', 'Aquaporin-1', 'Colipase', 'Pancreatic triacylglycerol lipase', 'Cytochrome c oxidase subunit 1', 'Cytochrome c oxidase subunit 2', 'Lens fiber major intrinsic protein', 'Rhomboid protease GlpG', 'G protein-activated inward rectifier potassium channel 1', 'Putative inward rectifier potassium channel', 'Arginine/agmatine antiporter']","['Q5SJ79', 'Q5SJ80', 'P82543', 'P08100', 'P29972', 'P04118', 'P16233', 'Q56408', 'P98052', 'P30301', 'P09391', 'P48549', 'Q146M9', 'P60063']"
2025,Thymidine 5'-triphosphate,DB02452,64968,46508083,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O,"['Thymidine kinase, cytosolic', 'Anaerobic ribonucleoside-triphosphate reductase', 'Thymidylate kinase', 'Glucose-1-phosphate thymidylyltransferase 2', 'DNA primase/helicase', 'Glucose-1-phosphate thymidylyltransferase', 'Thymidine kinase 2, mitochondrial', 'Thymidine kinase', 'Ribonucleoside-diphosphate reductase 2 subunit alpha', 'Glucose-1-phosphate thymidylyltransferase']","['P04183', 'P07071', 'P9WKE1', 'P61888', 'P03692', 'P26393', 'O00142', 'Q9PPP5', 'Q08698', 'Q9HU22']"
2026,Antimonous acid,DB02453,6338574,46508201,[H]O[Sb](O[H])O[H],['Arsenical pump-driving ATPase'],['P08690']
2027,Aracytidine 5'-monophosphate,DB02456,65177,46507970,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,['Cytidylate kinase'],['P0A6I0']
2028,Undecyl-Phosphinic Acid Butyl Ester,DB02457,46936391,46509140,[H][P@@](=O)(CCCCCCCCCCC)OCCCC,['Gastric triacylglycerol lipase'],['P07098']
2029,"S-(2,4-dinitrophenyl)glutathione",DB02458,97535,46504887,[H][C@](N)(CCC(=O)N[C@@]([H])(CSC1=C(C=C(C=C1)N(=O)=O)N(=O)=O)C(=O)NCC(O)=O)C(O)=O,"['Glutathione S-transferase Mu 1', 'Glutathione S-transferase Mu 2']","['P09488', 'P28161']"
2030,4-guanidinobenzoic acid,DB02459,159772,46505393,NC(=N)NC1=CC=C(C=C1)C(O)=O,['Complement factor B'],['P00751']
2031,Hydrogenobyrinic acid,DB02460,10396076,46506147,[H][C@]12N=C(\C(C)=C3/N=C(/C=C4\N=C(\C(\C)=C5/N[C@]1(C)[C@@](C)(CC(O)=O)[C@@H]5CCC(O)=O)[C@@](C)(CC(O)=O)[C@@H]4CCC(O)=O)C(C)(C)[C@@H]3CCC(O)=O)[C@](C)(CCC(O)=O)[C@H]2CC(O)=O,['Precorrin-8X methylmutase'],['P21638']
2032,S-Methyl Phosphocysteine,DB02461,192579,46508988,N[C@@H](CSCP(O)(O)=O)C(O)=O,['Chemotaxis protein CheY'],['P0AE67']
2033,Thiocoumarin,DB02462,657073,46508183,CN(C)CCCOC1=CC(=O)SC2=CC=CC=C12,"['Nitric oxide synthase, inducible']",['P35228']
2034,2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine,DB02463,1507,46504567,NC(=[NH2+])C1=CC2=C(NC(=C2)C2=CC=CC=C2O)C=C1,['Trypsin-1'],['P07477']
2035,Benzylamine,DB02464,7504,46507683,NCC1=CC=CC=C1,"['Trypsin-1', 'Trypsin-2']","['P07477', 'P07478']"
2036,Methoxy arachidonyl fluorophosphonate,DB02465,92536013,46504573,[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCC[P@](F)(=O)OC,['Fatty-acid amide hydrolase 1'],['O00519']
2037,BMS-181156,DB02466,445576,46505888,CC1(C)CCC(C)(C)C2=CC(=CC=C12)C(=O)\C=C\C1=CC=C(C=C1)C(O)=O,['Retinoic acid receptor gamma'],['P13631']
2038,L-methionine (S)-S-oxide,DB02467,10909908,46508428,[H]C([H])([H])[S@](=O)C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"['Thymidylate synthase', 'Possible cellulase CelA1 (Endoglucanase) (Endo-1,4-beta-glucanase) (FI-cmcase) (Carboxymethyl cellulase)', 'Ras-related protein Rab-5A', 'Cellulase B', 'Amicyanin', 'Aminopeptidase S']","['P0A884', 'Q79G13', 'P20339', 'Q54331', 'P22364', 'P80561']"
2039,12-Phenylheme,DB02468,131704203,46505538,CC1C(C=C)C2=CC3=C(C)C(CCC(O)=O)=C4C=C5N6C(=CC7=C(C)C(C=C)=C8N7[Fe++]6(N34)N2C1=C8C1=CC=CC=C1)C(C)=C5CCC(O)=O,['Heme oxygenase 1'],['P09601']
2040,"4,6-dideoxy-4-amino-beta-D-glucopyranoside",DB02469,447845,46507559,[H][C@]1(C)O[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N,['Cyclomaltodextrin glucanotransferase'],['P30920']
2041,D-Glycero-D-Mannopyranose-7-Phosphate,DB02470,449154,46506671,[H][C@@](O)(COP(O)(O)=O)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O,['Phosphoheptose isomerase'],['Q9HVZ0']
