Drug,Cell
Camptothecin,IST-MEL1
PD0325901,SK-MEL-5
Docetaxel_1007,HLE
Dihydrorotenone,SK-MG-1
Rapamycin,EW-18
Tanespimycin,SU-DHL-10
Dactolisib,OV-90
Schweinfurthin A,AMO-1
Sepantronium bromide,EW-22
AZD5991,MOLP-8
Dactinomycin_1911,CS1
PD0325901,U-266
SCH772984,SK-MEL-30
Dinaciclib,MOLM-16
ABT737,MOLT-4
Axitinib,JURL-MK1
Buparlisib,VAL
Cytarabine,A375
SN-38,NCI-H82
Dactinomycin_1911,PC-3_[JPC-3]
Paclitaxel,A3-KAW
Docetaxel_1819,EW-18
Trametinib,CP66-MEL
Romidepsin,OAW-42
Schweinfurthin A,L-428
Epirubicin,KS-1
MG-132,LU-65
Dactolisib,HCC-44
Topotecan,ST486
Docetaxel_1819,UACC-62
Pevonedistat,SK-MEL-28
Vinorelbine,NCI-H2196
SN-38,CS1
Wee1 Inhibitor,SU-DHL-1
Sepantronium bromide,NCI-H1781
Dactinomycin_1911,MDA-MB-231
Rapamycin,SNU-407
BMS-536924,NCI-H716
Sepantronium bromide,LAN-6
Sepantronium bromide,SW1990
Topotecan,ES-2
BI-2536,BE2-M17
I-BET-762,A3-KAW
Rapamycin,RT4
Trametinib,ONS-76
Dactinomycin_1911,COR-L279
Dinaciclib,SUP-B8
Dactolisib,KMRC-20
Dinaciclib,OCI-M1
Dactinomycin_1911,KYAE-1
ABT737,MOLT-16
SN-38,A172
Vinorelbine,KMRC-1
Paclitaxel,CPC-N
Docetaxel_1007,NCI-H2135
Docetaxel_1819,HLE
Dactinomycin_1911,CPC-N
PD0325901,NCI-H322M
Gemcitabine,ES8
ZM447439,SUP-B8
BI-2536,NB5
Docetaxel_1007,NCI-H1993
Rapamycin,OAW-42
AZD7762,JHH-1
Vinorelbine,SU-DHL-10
Romidepsin,ES-2
BI-2536,A3-KAW
Dactolisib,NALM-6
AZD8055,HDQ-P1
Romidepsin,EC-GI-10
Paclitaxel,SK-MG-1
AZD7762,HO-1-u-1
Dactinomycin_1911,UMC-11
Rapamycin,ME-180
Docetaxel_1819,KYSE-450
Camptothecin,LB996-RCC
Sepantronium bromide,Mewo
Docetaxel_1819,PSN1
Daporinad,MDA-MB-231
Vinorelbine,STS-0421
Paclitaxel,HAL-01
WEHI-539,RPMI-8402
Paclitaxel,NCI-H211
Paclitaxel,RCH-ACV
Vinorelbine,JIMT-1
Buparlisib,EW-1
Dinaciclib,MFM-223
AZD5991,RPMI-8226
Pevonedistat,NCI-H1105
AZD8055,NCI-H211
Vinorelbine,UACC-893
MG-132,ALL-PO
Tanespimycin,A375
Camptothecin,TOV-112D
Daporinad,NCI-H2066
Sepantronium bromide,KYSE-520
Pevonedistat,L-363
Vinorelbine,PCI-15A
Docetaxel_1007,ZR-75-30
ABT737,TC-YIK
Sepantronium bromide,KU812
Nilotinib,BE-13
Daporinad,PCI-30
Daporinad,KMRC-1
Rapamycin,A375
Dactinomycin_1911,DMS-79
Irinotecan,CRO-AP2
Rapamycin,HOS
BI-2536,COLO-205
Mycophenolic acid,Hs-633T
Dihydrorotenone,L-363
Epirubicin,ALL-PO
BI-2536,EW-11
BI-2536,SU-DHL-1
MG-132,TE-6
Pyridostatin,Farage
Rapamycin,KMOE-2
Gemcitabine,IGR-37
Gemcitabine,NB69
Docetaxel_1819,Detroit562
BI-2536,Jurkat
Epirubicin,CHSA8926
Pevonedistat,Farage
Camptothecin,PANC-10-05
Rapamycin,PL4
Dactinomycin_1911,ES7
Paclitaxel,AN3-CA
Mycophenolic acid,Detroit562
Sepantronium bromide,A375
BI-2536,KP-N-YN
Tanespimycin,SCC90
Topotecan,FTC-133
Dihydrorotenone,SK-CO-1
Cytarabine,HCT-116
Rapamycin,Hs-445
Dihydrorotenone,MN-60
Trametinib,SK-MEL-2
Sepantronium bromide,DB
Dactolisib,NU-DUL-1
Dinaciclib,MDA-MB-468
Dinaciclib,LS-513
Docetaxel_1819,KYSE-510
Romidepsin,SK-MEL-2
Dactinomycin_1911,C3A
Sepantronium bromide,A3-KAW
Paclitaxel,TUR
SN-38,CL-11
JQ1,TC-YIK
Pevonedistat,VA-ES-BJ
Epirubicin,A673
MG-132,PANC-10-05
Camptothecin,KNS-81-FD
WEHI-539,KMOE-2
SN-38,HGC-27
Vinorelbine,HDLM-2
Talazoparib,A673
Trametinib,JVM-3
Camptothecin,NCI-H647
AZD8055,MOLP-8
Trametinib,RCC10RGB
MG-132,COLO-824
Gemcitabine,KMOE-2
Romidepsin,HARA
Paclitaxel,TE-441-T
Topotecan,5637
Docetaxel_1007,TK10
Romidepsin,OCI-M1
AZD7762,PANC-03-27
Telomerase Inhibitor IX,Hs-633T
Docetaxel_1007,SCC90
Gemcitabine,PL-21
Cisplatin,A673
Dactolisib,RKO
Rapamycin,IST-MEL1
Rapamycin,SK-CO-1
BI-2536,NU-DUL-1
Vinorelbine,NOS-1
Docetaxel_1819,PCI-4B
PRT062607,SU-DHL-5
Camptothecin,SK-N-AS
Dactinomycin_1911,A2058
MG-132,KGN
Rapamycin,DK-MG
Rapamycin,HPAC
Dactinomycin_1911,A388
PRT062607,NALM-6
Dinaciclib,NCI-H211
Daporinad,MFE-280
Docetaxel_1819,NCI-N87
Sepantronium bromide,A101D
Dactolisib,COLO-205
MG-132,TE-10
SN-38,NCI-H69
Tanespimycin,AU565
Pevonedistat,SU-DHL-10
Daporinad,MIA-PaCa-2
Romidepsin,BFTC-905
Docetaxel_1007,RCH-ACV
Dactinomycin_1911,HCC2157
Dinaciclib,SK-MG-1
Sepantronium bromide,MOLM-16
AZD8055,HC-1
Docetaxel_1819,TGBC24TKB
Sepantronium bromide,NB69
Pevonedistat,HCT-116
Dactinomycin_1911,HCC1428
Rapamycin,SK-MES-1
SN-38,GOTO
Docetaxel_1007,NCI-H1781
MG-132,TE-12
Docetaxel_1007,SU-DHL-5
AZD7762,BV-173
AZD8055,TGBC24TKB
Sepantronium bromide,CAL-33
Dinaciclib,SKG-IIIa
SN-38,NB13
MG-132,Mewo
Camptothecin,MOLM-16
PRT062607,JVM-3
Topotecan,SU-DHL-10
Trametinib,KON
Gemcitabine,DMS-53
Dinaciclib,D-263MG
Paclitaxel,RH-41
Docetaxel_1007,EW-22
Sepantronium bromide,A172
Dactolisib,COR-L321
Dactolisib,LN-405
SN-38,ALL-PO
Sepantronium bromide,D-502MG
Rapamycin,NCI-N87
PD0325901,NB10
Rapamycin,DMS-53
Sepantronium bromide,NCI-H524
Vinorelbine,U-87-MG
Talazoparib,Jurkat
PD0325901,NCI-H1666
Gemcitabine,SW156
AZD2014,JURL-MK1
Rapamycin,SK-MEL-2
Dactolisib,CPC-N
Epirubicin,SNB75
Camptothecin,SK-LU-1
Docetaxel_1007,NCI-H322M
Rapamycin,no-11
Dactinomycin_1911,MZ7-mel
MG-132,C3A
Dactolisib,SNU-175
AZD2014,NCI-N87
Gemcitabine,Hs-683
Docetaxel_1007,MDA-MB-415
Dactinomycin_1911,NCI-H1944
Afatinib,RMG-I
Tanespimycin,NCI-H322M
Trametinib,LB2518-MEL
Docetaxel_1007,UACC-893
Sepantronium bromide,MFE-280
Mycophenolic acid,RPMI-8866
Rapamycin,HCT-116
Camptothecin,NB1
Epirubicin,MSTO-211H
Trametinib,LS-411N
Dactinomycin_1911,AM-38
Topotecan,HSC-4
Docetaxel_1819,SK-MEL-5
Gemcitabine,U251
Dactolisib,HA7-RCC
Docetaxel_1819,NALM-6
Paclitaxel,NCI-H2009
Dihydrorotenone,SNU-407
Vinorelbine,KNS-42
Docetaxel_1007,SK-MM-2
Schweinfurthin A,MN-60
Schweinfurthin A,RPMI-8226
AZD8055,IGR-37
Dinaciclib,OE21
Vinorelbine,PEO1
Epirubicin,ES1
Epirubicin,MDA-MB-468
Rapamycin,SUP-T1
BMS-536924,AMO-1
Selumetinib_1062,PL-21
AZD8055,KMOE-2
AZD5991,OCI-AML3
MG-132,NCI-H82
Sepantronium bromide,EMC-BAC-2
AZD7762,NCI-H2196
AZD8055,HGC-27
BI-2536,PCI-6A
Afatinib,HCC2157
Dabrafenib,COLO-205
Rapamycin,TGW
Vinorelbine,HAL-01
MG-132,SK-MM-2
AZD7762,HARA
Paclitaxel,KNS-81-FD
Telomerase Inhibitor IX,NB1
Paclitaxel,MKN7
MG-132,KYSE-510
Dinaciclib,RT4
BI-2536,OCI-LY-19
Rapamycin,GI-1
Romidepsin,NCI-H727
Gemcitabine,A253
Dihydrorotenone,RT4
Trametinib,A101D
Pevonedistat,TGW
Cytarabine,EW-16
PLX-4720,IGR-37
Daporinad,LB2518-MEL
BI-2536,LB2518-MEL
Dinaciclib,SAS
Dihydrorotenone,HSC-4
ABT737,SKM-1
Sepantronium bromide,SW982
MG-132,IST-MEL1
Pevonedistat,WIL2-NS
MG-132,BE-13
AZD8055,GAK
OTX015,NCI-H929
Vinorelbine,HGC-27
Vinorelbine,NCI-H2052
Romidepsin,MHH-PREB-1
Rapamycin,RPMI-8226
Cytarabine,SK-N-DZ
Gemcitabine,D-423MG
Pevonedistat,NB10
Telomerase Inhibitor IX,NCI-H211
Daporinad,IST-SL2
Camptothecin,TGW
Daporinad,SK-MEL-2
Vinorelbine,BL-41
Topotecan,SKG-IIIa
Cytarabine,KU812
Rapamycin,NU-DUL-1
Paclitaxel,NCC021
Docetaxel_1007,NB1
Daporinad,Mewo
SN-38,OAW-42
Epirubicin,NCI-H2029
SN-38,DMS-114
Dinaciclib,HAL-01
Dabrafenib,G-361
Uprosertib_1553,SU-DHL-5
BMS-536924,COLO-205
Docetaxel_1007,HCC1937
Docetaxel_1007,G-361
Docetaxel_1819,JiyoyeP-2003
Vinorelbine,HCC1395
Vinorelbine,RS4-11
Docetaxel_1007,AMO-1
Rapamycin,CS1
Schweinfurthin A,RH-1
Paclitaxel,JVM-3
Tanespimycin,OCI-AML5
Docetaxel_1007,NCI-H727
Topotecan,VAL
SN-38,EW-16
Bleomycin,MSTO-211H
Daporinad,SK-N-FI
Dactinomycin_1911,KYSE-50
Sepantronium bromide,SW1710
Epirubicin,HCC2157
MG-132,SNU-449
AZD8055,OVCA420
SN-38,PA-TU-8902
BI-2536,KNS-42
Dactinomycin_1911,no-11
Lapatinib,KYAE-1
AZD7762,OVCAR-5
Schweinfurthin A,CPC-N
Dactolisib,TC-71
Camptothecin,RPMI-8866
Buparlisib,SU-DHL-5
Pevonedistat,OCI-M1
Paclitaxel,RPMI-8226
Epirubicin,UMC-11
AZD2014,HGC-27
Cytarabine,MOLT-4
Gemcitabine,SUIT-2
Dactinomycin_1911,LS-411N
Sepantronium bromide,MZ7-mel
JQ1,RCH-ACV
Trametinib,PL4
Vinorelbine,TUR
Paclitaxel,NCI-H1993
Romidepsin,GAMG
Epirubicin,ESO51
Pevonedistat,MS-1
MG-132,KNS-42
Tanespimycin,PCI-30
BMS-536924,NB12
Dinaciclib,EFO-21
MG-132,ES7
Sepantronium bromide,RS4-11
BI-2536,MN-60
AZD8055,OE21
Docetaxel_1007,BE-13
Epirubicin,SK-MG-1
SCH772984,KY821
Docetaxel_1007,KU812
Sepantronium bromide,MKN1
Sepantronium bromide,NCI-H727
Dactinomycin_1911,5637
Daporinad,SUP-B8
AZD8055,HCC2998
Dinaciclib,KMRC-20
Dinaciclib,DoTc2-4510
Daporinad,SKG-IIIa
Romidepsin,RCC-JW
Paclitaxel,LU-65
Dactinomycin_1911,KS-1
Rapamycin,COLO-783
Camptothecin,HT-144
AZD7762,EW-11
SN-38,U-118-MG
Daporinad,OCUB-M
Romidepsin,NCI-H1944
SN-38,RCC-FG2
Trametinib,NCI-H2009
BI-2536,CPC-N
Paclitaxel,KMRC-20
Entinostat,NCI-H2110
Docetaxel_1007,RCC-FG2
SCH772984,OV-90
MG-132,ME-1
Dactolisib,A375
Topotecan,BPH-1
AZD7762,KMS-11
Dinaciclib,Jurkat
Dactinomycin_1911,KYSE-510
AZD8055,UACC-893
MG-132,HAL-01
AZD8055,LB996-RCC
Docetaxel_1007,COLO-783
Docetaxel_1007,CAL-72
JQ1,SUP-T1
Romidepsin,MDA-MB-231
Rapamycin,IGR-37
Tanespimycin,HO-1-u-1
Camptothecin,MEL-HO
MG-132,5637
Daporinad,Ramos-2G6-4C10
Dactolisib,MFH-ino
Topotecan,SF268
Epirubicin,ES4
Dactolisib,IGR-37
Cytarabine,HARA
Dactinomycin_1911,LC4-1
Docetaxel_1007,LU-65
Gemcitabine,RERF-LC-Sq1
Camptothecin,SF268
Buparlisib,NALM-6
Sepantronium bromide,NCI-H1793
ABT737,LC4-1
Pevonedistat,OCI-AML3
BI-2536,KMOE-2
Daporinad,OVKATE
AZD7762,MDA-MB-361
Gemcitabine,HCC-366
Daporinad,PCI-4B
Dactolisib,DMS-114
Dinaciclib,CAL-85-1
Cytarabine,NCI-H2228
Sepantronium bromide,SW620
Tanespimycin,TE-10
Irinotecan,OCI-LY-19
Uprosertib_1553,NCI-H929
Epirubicin,NB5
Tanespimycin,BV-173
Docetaxel_1007,SISO
Selumetinib_1062,LS-513
Uprosertib_1553,EVSA-T
Romidepsin,U-266
Tanespimycin,U251
Paclitaxel,SKG-IIIa
Dactinomycin_1911,NCI-H2066
Sepantronium bromide,GDM-1
AZD5991,SK-MM-2
Sorafenib,GDM-1
Sepantronium bromide,ML-1
Romidepsin,ST486
Vinorelbine,Detroit562
Camptothecin,MOLP-8
Dinaciclib,KNS-81-FD
Romidepsin,NCI-H2029
Dinaciclib,AMO-1
Docetaxel_1007,DND-41
Dihydrorotenone,SU8686
Paclitaxel,KGN
Vinorelbine,PC-3_[JPC-3]
Vinorelbine,NCI-N87
Epirubicin,ES8
Camptothecin,NU-DUL-1
BI-2536,NCI-H647
Dactolisib,ESO51
Docetaxel_1007,Calu-6
Dactinomycin_1911,EW-16
SCH772984,HT-144
Dactinomycin_1911,ZR-75-30
Sepantronium bromide,G-361
Dinaciclib,G-361
PD0325901,MDA-MB-231
MG-132,KMOE-2
BMS-536924,GDM-1
Camptothecin,ARH-77
BI-2536,IGR-37
Epirubicin,NCI-H1944
Tanespimycin,MFH-ino
Paclitaxel,OVISE
Rapamycin,NCI-H2023
MG-132,DU-145
Vinorelbine,U-118-MG
SN-38,DG-75
Camptothecin,COR-L311
Schweinfurthin A,HOS
AZD6482,RCC-FG2
Paclitaxel,IMR-5
Romidepsin,SW626
Trametinib,EMC-BAC-2
Sepantronium bromide,KYSE-220
Rapamycin,SW156
BMS-536924,L-363
Telomerase Inhibitor IX,SUP-B8
Vinorelbine,A388
Dinaciclib,NCI-H82
Dactolisib,LS-123
Gemcitabine,MHH-CALL-2
MG-132,LS-123
Pevonedistat,NCI-H510A
Tanespimycin,PSN1
Docetaxel_1007,FTC-133
Sepantronium bromide,SUIT-2
Rapamycin,OCUB-M
Vinorelbine,KY821
Selumetinib_1736,HT-144
Sepantronium bromide,SK-MEL-3
Dactolisib,HARA
Daporinad,CPC-N
Vinorelbine,SK-LU-1
Epirubicin,CHP-212
SCH772984,SU-DHL-1
Sepantronium bromide,SKG-IIIa
Dactinomycin_1911,SUIT-2
Selumetinib_1736,COLO-205
Camptothecin,HCT-116
Docetaxel_1819,CHP-212
Tanespimycin,KS-1
Daporinad,HCC1569
Gemcitabine,SK-LMS-1
Epirubicin,KARPAS-45
Romidepsin,PWR-1E
Paclitaxel,NU-DUL-1
Dactinomycin_1911,D-423MG
BI-2536,TC-YIK
Trametinib,PCI-4B
PD0325901,P31-FUJ
AZD2014,D-283MED
Dinaciclib,NCI-H2030
Epirubicin,769-P
Vinorelbine,NCI-H2066
MG-132,PA-TU-8902
Dactolisib,A3-KAW
Rapamycin,NCI-H510A
Topotecan,EC-GI-10
Vinorelbine,EC-GI-10
Dactolisib,OE33
Dabrafenib,MZ7-mel
Uprosertib_1553,NCI-H720
AZD7762,LU-65
Selumetinib_1736,OCI-AML3
PD0325901,IHH-4
Romidepsin,ASH-3
Dactolisib,SK-N-SH
Sepantronium bromide,LU-65
Trametinib,EC-GI-10
Vinorelbine,HuH-7
Dinaciclib,SISO
BI-2536,PWR-1E
PD0325901,PSN1
Epirubicin,COLO-783
Dactolisib,D-283MED
Camptothecin,JHU-022
Dinaciclib,HCC1569
Tanespimycin,NCI-H2052
Camptothecin,SKG-IIIa
Pevonedistat,DOHH-2
Trametinib,MOLM-16
PD0325901,HCC2998
Dinaciclib,SUIT-2
Romidepsin,TC-YIK
Gemcitabine,SNB75
NVP-ADW742,GDM-1
Schweinfurthin A,G-361
Paclitaxel,SK-MEL-2
AZD5363,SU-DHL-5
Wee1 Inhibitor,A3-KAW
Afatinib,PCI-15A
Daporinad,LAN-6
Dactinomycin_1911,KU812
Rapamycin,SAS
Tanespimycin,DG-75
Camptothecin,NCI-H2228
Romidepsin,ARH-77
Dactolisib,KON
BI-2536,L-363
Rapamycin,YH-13
Camptothecin,PL-21
Telomerase Inhibitor IX,NCI-H835
SN-38,A549
Gemcitabine,PL4
BI-2536,VA-ES-BJ
Rapamycin,HARA
ZM447439,ES8
Buparlisib,MOLM-16
Daporinad,PCI-15A
Dactolisib,EC-GI-10
Camptothecin,5637
Pevonedistat,SAS
Daporinad,CP66-MEL
AZD7762,HTC-C3
Romidepsin,NCI-H524
Telomerase Inhibitor IX,KP-N-YN
Telomerase Inhibitor IX,KYSE-450
Dactinomycin_1911,SK-N-AS
BI-2536,IMR-5
AZD8055,HCC1395
Dactinomycin_1911,RC-K8
Sepantronium bromide,TT
Vinorelbine,MHH-PREB-1
AZD7762,DAN-G
Dihydrorotenone,CAL-33
Trametinib,SK-MEL-1
Rapamycin,LC-1-sq
ABT737,D-283MED
Wee1 Inhibitor,Farage
Docetaxel_1007,A673
Sepantronium bromide,NB10
Docetaxel_1819,NCI-H1793
Docetaxel_1819,TE-4
AZD6482,SUP-B8
Docetaxel_1007,SBC-5
Vinorelbine,TGBC24TKB
Daporinad,YH-13
Docetaxel_1007,RCC-MF
MG-132,CRO-AP2
Paclitaxel,Hs-683
Paclitaxel,PEO1
Daporinad,PSN1
Trametinib,COLO-668
Paclitaxel,SK-GT-4
Tanespimycin,MDA-MB-415
OTX015,HCC2157
Docetaxel_1819,A2058
AZD8055,OVCAR-5
Romidepsin,YAPC
Epirubicin,Jurkat
Vinorelbine,MOLM-16
SN-38,NALM-6
Camptothecin,PCI-4B
Dactolisib,IHH-4
Sepantronium bromide,LS-411N
Trametinib,SK-MEL-3
MG-132,SCC90
Romidepsin,LS-123
Romidepsin,KYSE-410
Uprosertib_2106,LS-411N
Entinostat,RCH-ACV
Dactolisib,FTC-133
Sepantronium bromide,SK-MM-2
Sepantronium bromide,KY821
BI-2536,EMC-BAC-2
Pevonedistat,RPMI-8402
Buparlisib,HAL-01
Topotecan,SUP-T1
Topotecan,BFTC-905
Dinaciclib,OACp4C
Topotecan,Calu-6
AZD8055,NCI-H1781
Epirubicin,STS-0421
BI-2536,DU-145
BI-2536,LS-513
Pevonedistat,LB996-RCC
Dactinomycin_1911,VAL
Dactinomycin_1911,KGN
AZD8055,L-428
Schweinfurthin A,OE21
Trametinib,OE21
AZD8055,A673
Pevonedistat,CRO-AP2
Dactolisib,KARPAS-45
Camptothecin,SKM-1
Rapamycin,T-T
SN-38,EW-18
Docetaxel_1007,SK-CO-1
BI-2536,TOV-112D
Camptothecin,BV-173
SN-38,PANC-03-27
NVP-ADW742,NCI-H929
SN-38,COLO-824
Vinorelbine,U-698-M
Sepantronium bromide,IHH-4
Sepantronium bromide,SK-N-DZ
Dactinomycin_1911,D-283MED
BI-2536,SK-MEL-30
Vinorelbine,NKM-1
Romidepsin,RH-41
Tanespimycin,HA7-RCC
I-BET-762,CRO-AP2
Paclitaxel,D-566MG
Tanespimycin,EMC-BAC-2
Dactolisib,NCI-N87
SN-38,DU-145
Epirubicin,AMO-1
Paclitaxel,A253
Dactinomycin_1911,ALL-PO
Gemcitabine,DoTc2-4510
MG-132,AN3-CA
Romidepsin,OPM-2
Romidepsin,SKG-IIIa
Romidepsin,SBC-5
Schweinfurthin A,VAL
Camptothecin,NCI-H1944
Tanespimycin,SF295
Lapatinib,ZR-75-30
Romidepsin,SKM-1
Docetaxel_1819,Hs-445
Pevonedistat,EW-22
Sepantronium bromide,SF295
Dactinomycin_1911,SW1271
Paclitaxel,SW1710
JQ1,MIA-PaCa-2
Topotecan,SBC-5
AZD8055,LS-411N
Sepantronium bromide,T-T
Dihydrorotenone,NCI-H1666
Camptothecin,MIA-PaCa-2
Telomerase Inhibitor IX,MIA-PaCa-2
Rapamycin,CHP-134
Docetaxel_1007,HCC2998
Sepantronium bromide,CGTH-W-1
BI-2536,KARPAS-45
SN-38,A2058
Trametinib,GP5d
Camptothecin,PCI-6A
Epirubicin,SUP-B8
Gemcitabine,MOLT-4
Gemcitabine,COLO-320-HSR
Vinorelbine,HCC-44
BI-2536,TE-8
Dactinomycin_1911,L-428
Telomerase Inhibitor IX,D-283MED
JQ1,NALM-6
Docetaxel_1819,Ca-Ski
ABT737,LAN-6
Vinorelbine,ASH-3
Rapamycin,RKO
Camptothecin,DMS-114
Dactinomycin_1911,DND-41
Paclitaxel,NCI-H322M
MG-132,COR-L32
MG-132,KMRC-20
Docetaxel_1007,SW620
BI-2536,LB647-SCLC
AZD5991,LC4-1
Dihydrorotenone,COLO-668
SB590885,WM278
Docetaxel_1007,EW-1
AZD8055,SK-N-DZ
Dinaciclib,MN-60
MG-132,SiHa
Vinorelbine,SF126
BI-2536,OCI-AML3
Paclitaxel,G-361
Cytarabine,RH-1
SN-38,OCUB-M
Paclitaxel,U-266
AZD7762,HSC-39
Telomerase Inhibitor IX,KMRC-1
Docetaxel_1007,RERF-LC-Sq1
Dactinomycin_1911,OCI-AML3
Dinaciclib,23132-87
Rapamycin,JIMT-1
Vinorelbine,KP-3
AZD8055,FTC-133
Entinostat,NCI-H2196
Docetaxel_1819,TC-71
Dactolisib,SiHa
Sepantronium bromide,TK10
Dinaciclib,NCI-H929
Camptothecin,TC-71
Vinorelbine,Jurkat
Epirubicin,NCI-H82
Topotecan,HARA
WEHI-539,DND-41
Dactolisib,RCC-FG2
Romidepsin,EW-16
Gemcitabine,KU812
AZD6738,NCI-H647
Docetaxel_1007,LB647-SCLC
Dactinomycin_1911,GAK
Sepantronium bromide,ME-180
Dactolisib,Ramos-2G6-4C10
Rapamycin,PC-3_[JPC-3]
SN-38,RL95-2
Dactolisib,HT-144
Docetaxel_1007,CRO-AP2
MG-132,NCI-H211
Dactolisib,SW1990
Camptothecin,NCI-H69
Romidepsin,MOLT-16
Epirubicin,TE-10
Paclitaxel,MHH-PREB-1
Cytarabine,D-283MED
Paclitaxel,U251
Romidepsin,SW1088
SN-38,HCC-366
BI-2536,OCUB-M
Epirubicin,SU-DHL-1
Dinaciclib,MG-63
AZD8055,PWR-1E
BI-2536,SK-N-FI
Sepantronium bromide,AN3-CA
Topotecan,EMC-BAC-2
Rapamycin,KYSE-510
BI-2536,Hs-445
Epirubicin,NCI-H1993
Vinorelbine,PANC-10-05
Irinotecan,SU-DHL-1
Docetaxel_1007,KELLY
Docetaxel_1007,MOLT-16
Epirubicin,COLO-320-HSR
Camptothecin,RERF-LC-Sq1
SN-38,EW-11
Sepantronium bromide,EW-1
Trametinib,HDQ-P1
Vinorelbine,U-2-OS
Paclitaxel,NKM-1
Entinostat,NCI-H748
Camptothecin,ME-180
Epirubicin,HTC-C3
Topotecan,SU-DHL-5
Epirubicin,AM-38
Docetaxel_1007,NCI-H1944
Rapamycin,NCI-H1993
Ulixertinib_1908,HCT-116
Dinaciclib,ESO51
AZD7762,NCI-H647
Paclitaxel,OCI-LY-19
MG-132,HT-3
Paclitaxel,SUP-B8
Telomerase Inhibitor IX,SIMA
Dinaciclib,OVCA420
Gemcitabine,PSN1
Telomerase Inhibitor IX,RL95-2
AZD8055,TOV-112D
Gemcitabine,PC-3_[JPC-3]
Dactinomycin_1911,RCH-ACV
PD0325901,A3-KAW
Dactolisib,KNS-81-FD
Topotecan,NCI-H1781
Epirubicin,KP-4
Dinaciclib,KNS-42
Docetaxel_1007,NCI-H2052
PD0325901,SK-GT-4
Dactinomycin_1911,RT4
Schweinfurthin A,OCI-AML3
Dactolisib,KS-1
Topotecan,23132-87
MG-132,LB373-MEL-D
Tanespimycin,RCH-ACV
Epirubicin,MG-63
Vinorelbine,L-363
Trametinib,SAS
Camptothecin,HA7-RCC
MG-132,DBTRG-05MG
Gemcitabine,NCI-H2110
Dactinomycin_1911,SW620
Cytarabine,Jurkat
Tanespimycin,A3-KAW
Dihydrorotenone,RS4-11
Romidepsin,SAS
Romidepsin,EVSA-T
Paclitaxel,NCI-N87
Dihydrorotenone,EVSA-T
Selumetinib_1736,HCC2998
Camptothecin,RPMI-8226
Dactolisib,NCI-H322M
Docetaxel_1007,SNU-175
Sepantronium bromide,OV-90
Entinostat,OCI-AML3
Dinaciclib,U-118-MG
MG-132,CS1
Dactolisib,D-263MG
Sepantronium bromide,DAN-G
Dinaciclib,NCI-H322M
Camptothecin,DND-41
Vinorelbine,U251
AZD8055,RKO
AZD8055,ES-2
Gemcitabine,GOTO
ABT737,NB13
Gemcitabine,NALM-6
Romidepsin,U-87-MG
Dactinomycin_1911,MSTO-211H
Sepantronium bromide,CAL-72
BI-2536,MS-1
Schweinfurthin A,EW-22
Sepantronium bromide,LN-405
Epirubicin,TE-441-T
BEN,SNU-175
Trametinib,SW1271
MG-132,CPC-N
Selumetinib_1062,SK-MEL-30
Irinotecan,JM1
Afatinib,HCC2218
SN-38,Ca-Ski
Docetaxel_1819,G-361
Dactinomycin_1911,A375
Camptothecin,SCC-4
Tanespimycin,BHT-101
Trametinib,CCK-81
Dactinomycin_1911,HCC2218
Irinotecan,WIL2-NS
Vinorelbine,EW-1
Epirubicin,SK-MEL-5
Epirubicin,MOLP-8
AZD7762,LC-1-sq
Rapamycin,NB69
MG-132,NCI-H929
AZD8055,OCI-AML3
ABT737,GDM-1
AZD7762,EW-18
MG-132,SF268
MG-132,LAN-6
Entinostat,HCC2157
Sepantronium bromide,DMS-79
Trametinib,AM-38
BI-2536,SU-DHL-5
AZD8055,HLE
Romidepsin,CAL-72
BI-2536,NB69
PD0325901,COLO-783
ZM447439,P31-FUJ
Epirubicin,KYSE-220
Topotecan,NOMO-1
Sepantronium bromide,U-266
Dactinomycin_1911,MDA-MB-468
GSK269962A,D-566MG
Daporinad,T-T
Docetaxel_1007,BV-173
Irinotecan,DOHH-2
Wee1 Inhibitor,OCI-LY-19
PD0325901,OV-90
Gemcitabine,SW620
Docetaxel_1007,HCC1395
Dinaciclib,TE-12
MG-132,TC-71
Sepantronium bromide,COR-L88
Dihydrorotenone,TGW
Rapamycin,KELLY
Schweinfurthin A,OCI-M1
Afatinib,OCUB-M
Camptothecin,A101D
Dinaciclib,SBC-5
Camptothecin,HCC-366
Docetaxel_1007,PA-TU-8902
Daporinad,NCI-H211
Paclitaxel,Ramos-2G6-4C10
SN-38,KU812
AZD5363,HCC2157
Paclitaxel,NCI-H2023
Tanespimycin,OCI-AML3
Gemcitabine,HGC-27
Gemcitabine,Hs-445
Paclitaxel,SK-N-FI
SN-38,SK-MEL-30
Talazoparib,CRO-AP2
Sepantronium bromide,TOV-112D
Docetaxel_1007,NCI-H2023
Docetaxel_1819,SKM-1
Axitinib,NCI-H524
Docetaxel_1007,LN-405
BI-2536,HARA
Romidepsin,HCC1428
ABT737,NCI-H2196
Docetaxel_1819,OACp4C
JQ1,WIL2-NS
BI-2536,MG-63
Paclitaxel,FU97
Paclitaxel,RS4-11
Docetaxel_1007,TC-YIK
MG-132,MS-1
Wee1 Inhibitor,ARH-77
BI-2536,STS-0421
Epirubicin,EW-18
Dinaciclib,SW620
Romidepsin,MDA-MB-361
Gemcitabine,L-363
