Drug,Cell
KW-2449,COR-L51
daporinad,COLO 684
CD-437,TM-31
SCH-79797,VMRC-RCZ
LRRK2-IN-1,HuH-6
lapatinib,SNU-719
BMS-754807,JL-1
barasertib,NCI-H2286
ETP-46464,EFO-27
WP1130,SCC-25
DNMDP,A2058
CD-437,SK-CO-1
narciclasine,NCI-H1373
manumycin A,MDA-MB-157
OSI-027,AMO-1
KU-0063794,JHH-5
KU-60019,BICR 22
BRD-K26531177,DMS 454
dasatinib,A-375
bleomycin A2,NCI-H1435
austocystin D,LK-2
PF-3758309,A2058
cerulenin,COR-L88
SMER-3,P3HR-1
curcumin,HUP-T4
DBeQ,TE-6
gossypol,MFE-319
ABT-737,HEC-151
RITA,SUP-B15
AM-580,NCI-H1650
AZD6482,SCC-9
STF-31,RERF-LC-MS
UNC0638,OUMS-23
sorafenib,HOS
topotecan,NCI-H226
BRD-K26531177,MOTN-1
RAF265,HEC-50B
entinostat,SW 1783
cerulenin,HEC-1-B
parbendazole,NCI-H510
alisertib,GOS-3
LE-135,EFE-184
BRD-K34222889,NUGC-4
PF-4800567 hydrochloride,HCC2218
narciclasine,DBTRG-05MG
parbendazole,EOL-1
PHA-793887,NCI-H446
tivozanib,LN-18
alisertib,BICR 31
canertinib,HT115
CAL-101,SNU-466
gossypol,HEC-1-B
PHA-793887,U-2 OS
DNMDP,HEL
cabozantinib,MJ
HBX-41108,SJSA-1
cabozantinib,Capan-1
HBX-41108,NCI-H2342
austocystin D,A549
CD-437,SUP-B15
paclitaxel,A-375
niclosamide,BICR 22
BRD-K34222889,P31/FUJ
pluripotin,8505C
PI-103,VM-CUB1
PI-103,SNU-1272
NSC23766,MDA-MB-468
barasertib,JHH-5
curcumin,HEC-151
VER-155008,NCI-H2405
BMS-754807,FU97
saracatinib,COR-L105
sorafenib,CAL-62
spautin-1,HCC1419
cytarabine hydrochloride,KE-39
KW-2449,SNU-175
nutlin-3,RS4;11
dasatinib,NCI-H1650
PF-184,HT115
cediranib,DMS 273
obatoclax,LC-1/sq-SF
alisertib,NCI-H2087
SMER-3,SK-HEP-1
nilotinib,TE-6
PDMP,DMS 53
PF-184,CAL-120
importazole,BC-3C
nakiterpiosin,COV434
STF-31,LN-18
NVP-231,HCC1954
PHA-793887,SNU-C2A
MLN2238,SUP-B15
parbendazole,SW 1990
OSI-027,NCI-H1792
FQI-2,LUDLU-1
triptolide,EFO-27
SCH-79797,PF-382
canertinib,KMS-27
tanespimycin,IGR-39
YM-155,BL-70
silmitasertib,SNU-840
cabozantinib,TM-31
sunitinib,NCI-H2122
NSC632839,KYSE-180
paclitaxel,MDA-MB-361
indisulam,MHH-NB-11
TW-37,GAMG
simvastatin,LXF-289
SMER-3,23132/87
HBX-41108,A2058
AM-580,SCC-25
indisulam,HCC202
MLN2238,A172
PIK-93,Hs 611.T
JW-74,NH-6
PHA-793887,KYM-1
importazole,OCI-M1
vandetanib,"G-292, clone A141B1"
fluvastatin,HuH28
tamatinib,KYM-1
cytarabine hydrochloride,NCI-H2122
COL-3,SUP-T11
parbendazole,SNU-1196
COL-3,HCC1419
axitinib,FU97
curcumin,KP-N-SI9s
AM-580,SK-MEL-3
axitinib,DV-90
dacarbazine,SNU-46
NSC632839,U-2 OS
parbendazole,SCC-25
SCH-79797,Calu-1
rigosertib,PSN1
KU-0063794,OCI-AML2
chlorambucil,NCI-H1694
SCH-79797,DBTRG-05MG
Repligen 136,SK-MEL-3
NSC23766,NCI-H2342
importazole,NCI-H1693
gemcitabine,U-2 OS
nakiterpiosin,HT-29
narciclasine,KP-N-SI9s
triptolide,TT
simvastatin,YD-8
MLN2238,DK-MG
CD-437,DEL
pluripotin,SUP-T1
sunitinib,SW48
simvastatin,SNU-685
tanespimycin,NCI-H2444
CD-437,NCI-H1693
nutlin-3,NUGC-4
BRD-K26531177,SCC-4
gossypol,NCI-H1299
PIK-93,SJSA-1
fingolimod,DMS 53
tamoxifen,HCC-78
rigosertib,SNU-410
CD-437,Hs 611.T
triptolide,MM1-S
cytarabine hydrochloride,42-MG-BA
RAF265,MJ
LRRK2-IN-1,LC-1/sq-SF
topotecan,Set-2
daporinad,RPMI-8402
Compound 23 citrate,COLO-800
KHS101,MONO-MAC-1
Ch-55,SNU-410
niclosamide,SNU-5
simvastatin,HCC-1833
nintedanib,OPM-2
manumycin A,GDM-1
daporinad,KCL-22
STF-31,HT-1376
CD-437,JHUEM-2
PRIMA-1-Met,SNU-46
sunitinib,AsPC-1
sorafenib,SHP-77
vorinostat,SW48
HBX-41108,NCI-H1395
PF-3758309,BL-70
mitomycin,U-2 OS
pluripotin,NCI-H226
KW-2449,JURKAT
MLN2238,YD-38
TGX-221,MEL-HO
BI-2536,SNU-423
BRD-A94377914,SU-DHL-6
mitomycin,SNU-1041
cediranib,SCC-9
cediranib,RVH-421
NVP-231,NCI-H1792
pluripotin,KMS-27
isoevodiamine,NCI-H2286
sorafenib,RL
NVP-231,BICR 31
KHS101,NCI-H2122
rigosertib,HuH-6
CD-437,NCI-H2009
rigosertib,Calu-3
daporinad,MC116
NSC23766,SCC-25
canertinib,Calu-3
SMER-3,HT115
PRIMA-1,FU97
BI-2536,OCI-M1
alisertib,BICR 22
OSI-930,MDA-MB-361
BMS-754807,TOV-21G
NSC23766,NCI-H2126
niclosamide,BC-3C
silmitasertib,COLO-320
etoposide,OCI-AML5
NVP-TAE684,WM-793
SMER-3,TOV-112D
LRRK2-IN-1,GI-1
BRD-K34222889,RS4;11
RITA,LS 180
AT13387,A2058
fluvastatin,Calu-3
salermide,SCC-4
RITA,HCC202
OSI-930,SK-N-BE(2)
silmitasertib,TE-6
narciclasine,FaDu
nintedanib,TE-8
BRD-K34222889,HuH28
neratinib,TE-8
NVP-TAE684,UACC-62
methylstat,SNU-685
YM-155,TC-71
DBeQ,HOS
QS-11,JIMT-1
simvastatin,HCC1419
PI-103,NCI-H1651
MLN2238,P3HR-1
tubastatin A,SNU-C2A
lapatinib,Calu-3
YM-155,HCC4006
importazole,UACC-62
canertinib,HGC-27
COL-3,HT-144
pluripotin,EPLC-272H
MLN2238,SK-MEL-2
BMS-754807,ACC-MESO-1
TGX-221,COLO-320
marinopyrrole A,SUP-B15
WP1130,TC-71
canertinib,HEC-151
niclosamide,HT115
nintedanib,HEC-151
paclitaxel,NCI-H1693
canertinib,NCI-H2452
CAL-101,NCI-H2444
neopeltolide,CAL-120
COL-3,HMCB
entinostat,UACC-62
Ch-55,MDA-MB-157
daporinad,RL
parbendazole,MDA-MB-468
alisertib,DAN-G
tivozanib,SNU-685
alisertib,8305C
nutlin-3,BEN
nutlin-3,CAL-120
PHA-793887,MEL-HO
mitomycin,HEC-251
WP1130,HT-1376
SR1001,NCI-H1395
KHS101,NCI-H2126
FQI-2,JHH-5
PIK-93,SK-OV-3
sunitinib,IA-LM
salermide,SNU-869
UNC0638,A2058
GW-405833,FU97
Ch-55,TM-31
niclosamide,PSN1
methylstat,KNS-81
CD-437,NCI-H1703
ABT-737,RT4
paclitaxel,HT-1376
SCH-79797,ESS-1
cytarabine hydrochloride,BxPC-3
BRD-K26531177,HCC-1833
BRD-K80183349,JURKAT
AM-580,SNU-840
NVP-TAE684,NCI-H1792
nakiterpiosin,HT115
WP1130,GI-1
gossypol,OV56
marinopyrrole A,TC-71
tanespimycin,JHUEM-2
rigosertib,EOL-1
axitinib,HCC1419
linsitinib,RH-30
BI-2536,HCC-1438
YM-155,P3HR-1
KW-2449,TCCSUP
gemcitabine,MOTN-1
PRIMA-1,WM1799
RITA,SNU-719
bleomycin A2,RCM-1
triptolide,NCI-H2126
gemcitabine,BCP-1
tanespimycin,SKM-1
hyperforin,U-251 MG
nakiterpiosin,SNU-601
N9-isopropylolomoucine,NCI-H226
FQI-2,Hs 578T
MLN2238,LN-18
N9-isopropylolomoucine,SW 1783
AT13387,COLO 684
WP1130,SK-MEL-2
cabozantinib,SNU-182
etomoxir,SNU-475
DBeQ,FaDu
parbendazole,BL-70
narciclasine,SNU-489
gemcitabine,YD-8
ML239,TC-71
spautin-1,MFE-319
KW-2449,SNU-5
vandetanib,JHH-5
pluripotin,Panc 03.27
triptolide,JHH-6
RG-108,SNU-1079
NVP-TAE684,SNU-61
MG-132,RCM-1
tamoxifen,HuH-6
SCH-79797,MDA-MB-468
mitomycin,LCLC-103H
manumycin A,LU99
WP1130,NCI-H1693
narciclasine,KMS-27
NVP-TAE684,ACHN
BRD-K34222889,SU-DHL-4
PF-184,SNU-423
topotecan,PK-1
entinostat,OV-90
STF-31,DMS 273
lapatinib,Panc 10.05
entinostat,SNU-1196
YM-155,SNU-601
neratinib,KP-2
bleomycin A2,NCC-StC-K140
Ch-55,TE-5
ETP-46464,SUP-T1
daporinad,OVK18
niclosamide,MFE-319
PIK-93,NCI-H2009
topotecan,LS411N
paclitaxel,NCI-H1395
sunitinib,SK-MM-2
PD 153035,KNS-81
gemcitabine,NCI-H446
SCH-79797,8505C
ML239,OS-RC-2
niclosamide,NCI-H2342
decitabine,Calu-1
tamatinib,RCM-1
daporinad,SCC-9
rigosertib,JHH-5
pifithrin-alpha,AsPC-1
OSI-027,SNU-410
semagacestat,NCI-H1792
daporinad,BL-70
silmitasertib,HCC1419
gemcitabine,SNU-685
PHA-793887,ESS-1
AM-580,SK-BR-3
nakiterpiosin,NUGC-4
TW-37,PE/CA-PJ49
vorinostat,KMS-27
daporinad,SNU-869
sunitinib,Calu-6
NVP-TAE684,PK-1
OSI-027,LC-1/sq-SF
fingolimod,DAN-G
TPCA-1,JeKo-1
gemcitabine,B-CPAP
STF-31,DMS 53
BMS-754807,NCI-H1299
neratinib,HT-1376
KU-55933,AU565
myriocin,SNU-1272
LE-135,L-1236
BRD-K34485477,A-375
MLN2238,SU.86.86
N9-isopropylolomoucine,HCC-56
tanespimycin,U266B1
BMS-754807,Hs 683
KU-0063794,HCC-56
parbendazole,EPLC-272H
RITA,NCI-H2452
YM-155,RCM-1
BI-2536,HEC-251
gemcitabine,SNU-1079
sunitinib,NCI-H1651
decitabine,KASUMI-2
ETP-46464,SU-DHL-6
TW-37,NCI-H1563
AT13387,AU565
DBeQ,SCaBER
isoevodiamine,KMS-34
etoposide,MHH-NB-11
IC-87114,JVM-2
parbendazole,A172
fingolimod,TE-8
vandetanib,EOL-1
dasatinib,MM1-S
O-6-benzylguanine,JHH-6
necrosulfonamide,MDA-MB-361
entinostat,SU-DHL-6
austocystin D,LU99
vorinostat,NCI-H526
neratinib,TCCSUP
RITA,NCI-H2196
neratinib,TE-1
BRD-K45681478,SK-N-BE(2)
paclitaxel,NCI-H2342
KW-2449,JK-1
gossypol,IA-LM
NSC632839,VM-CUB1
austocystin D,NCI-H2444
PD 153035,NCI-H2228
Ch-55,SCC-4
NVP-TAE684,SNU-685
pluripotin,SW1417
Compound 23 citrate,SNU-182
YM-155,THP-1
tacrolimus,HMCB
semagacestat,MDST8
KU-60019,SW1417
paclitaxel,OCI-LY3
obatoclax,EFO-27
entinostat,KE-39
PRIMA-1,SK-N-BE(2)
PF-3758309,DMS 273
obatoclax,ACHN
daporinad,OCI-AML5
MLN2238,JVM-2
PF-184,MDA-MB-468
BRD-K26531177,SW620
AZD6482,SU.86.86
KW-2449,GOS-3
BI-2536,"G-292, clone A141B1"
TW-37,SHP-77
mitomycin,U-87 MG
YM-155,HGC-27
STF-31,NCI-H2141
sunitinib,SK-CO-1
axitinib,NCI-H1792
vorinostat,SU-DHL-4
BRD-K26531177,NH-6
PF-184,TC-71
CD-437,OCI-LY3
LRRK2-IN-1,SU-DHL-6
CD-437,KP-N-SI9s
MGCD-265,42-MG-BA
NVP-231,DV-90
MLN2238,RMG-I
tivozanib,LC-1/sq-SF
FQI-2,KMRC-3
cytarabine hydrochloride,JeKo-1
BRD-K26531177,SJSA-1
dasatinib,TCCSUP
RAF265,DMS 53
neratinib,NCI-H441
bleomycin A2,P31/FUJ
cediranib,BC-3C
PI-103,P3HR-1
NVP-231,HUP-T3
nilotinib,Hs 729
gemcitabine,NCI-H510
cabozantinib,HT-1376
B02,NCI-H1703
PHA-793887,TE-8
FQI-2,RH-30
alisertib,ONCO-DG-1
lomeguatrib,SNU-387
BMS-754807,PA-TU-8902
triptolide,SNU-869
HBX-41108,SK-MEL-3
triptolide,JHUEM-2
MLN2238,ESS-1
CD-437,SHP-77
PHA-793887,LN-229
curcumin,SCC-9
NSC632839,DMS 273
bleomycin A2,ONS-76
ETP-46464,NCI-H2286
TW-37,SK-MM-2
PDMP,LXF-289
tanespimycin,DMS 79
BI-2536,JeKo-1
bleomycin A2,SNU-719
TW-37,COLO 684
RITA,SNU-869
manumycin A,SF126
PHA-793887,SNU-387
cytarabine hydrochloride,P3HR-1
CHIR-99021,MDST8
BRD-K45681478,WM1799
SMER-3,MC116
rigosertib,NCI-H2444
PRIMA-1,HuT 78
neopeltolide,SK-CO-1
fingolimod,FTC-133
narciclasine,SK-MEL-3
pifithrin-alpha,NCI-H441
austocystin D,BICR 16
ZSTK474,MDST8
paclitaxel,QGP-1
gemcitabine,JURKAT
simvastatin,Hs 729
pyrazolanthrone,SNU-1041
isoevodiamine,Hs 683
etoposide,SK-BR-3
PRIMA-1-Met,HPAF-II
BRD-K34222889,SNU-1041
BRD-K34222889,SUP-T1
CD-437,Calu-6
YM-155,SW 1990
KU-0063794,A101D
fingolimod,NCI-H322
obatoclax,AMO-1
BRD-A94377914,KYSE-70
fingolimod,A172
OSI-930,SW620
ZSTK474,HCC-1833
TPCA-1,HCC827
OSI-027,TE-6
Compound 7d-cis,MM1-S
BI-2536,NCI-H2081
BI-2536,GDM-1
nakiterpiosin,NCI-H358
OSI-027,PSN1
necrosulfonamide,CHP-126
pluripotin,TOV-21G
NSC632839,Becker
entinostat,SNU-46
semagacestat,SNU-410
simvastatin,KLE
CD-1530,SNU-449
PRIMA-1,LS123
etoposide,KLE
niclosamide,KMBC-2
nilotinib,HEC-151
tivozanib,JHH-5
manumycin A,P31/FUJ
AM-580,KMS-34
CIL55A,YD-8
triptolide,LUDLU-1
linsitinib,NCI-H2009
pluripotin,A549
sunitinib,MDST8
phloretin,COR-L51
CHIR-99021,SNU-466
isoevodiamine,THP-1
WP1130,HEC-50B
alisertib,MJ
BRD-K26531177,GAMG
PIK-93,ESS-1
sunitinib,WM-793
BRD-K85133207,COR-L88
TW-37,OCI-M1
FQI-2,HCC-95
sunitinib,SCC-9
nilotinib,DMS 454
FQI-2,TE-6
tanespimycin,GDM-1
WP1130,NCI-H2228
SCH-79797,FTC-238
bleomycin A2,U-251 MG
VER-155008,NCI-H1373
tanespimycin,COV362
lapatinib,OCI-AML2
NSC632839,SCC-9
YM-155,EFO-27
AT13387,LS1034
vorinostat,23132/87
QS-11,BEN
fingolimod,NCI-H2122
CIL55A,ME-1
topotecan,NCI-H1395
PI-103,Hs 611.T
brivanib,NCI-H2122
ABT-737,GP2d
topotecan,RMG-I
SMER-3,NCI-H1373
WP1130,KYM-1
entinostat,BC-3C
topotecan,RH-30
PIK-93,RERF-LC-MS
BMS-754807,HMCB
Compound 7d-cis,HGC-27
triazolothiadiazine,OS-RC-2
sorafenib,TOV-112D
entinostat,NCI-H1650
fingolimod,RMG-I
gemcitabine,LN-18
MGCD-265,NCI-H2087
austocystin D,Ishikawa (Heraklio) 02 ER-
topotecan,Calu-1
KW-2449,QGP-1
sorafenib,NCI-H1694
STF-31,NCI-H1435
gossypol,SNU-719
mitomycin,HGC-27
salermide,NCI-H2087
isoevodiamine,NCI-H716
PF-184,TCCSUP
docetaxel,DV-90
curcumin,MHH-ES-1
necrosulfonamide,697
ETP-46464,NCI-H2228
curcumin,KASUMI-2
cytarabine hydrochloride,FTC-238
austocystin D,SW1116
BMS-754807,Becker
HBX-41108,SK-BR-3
marinopyrrole A,HCC1419
fingolimod,KG-1-C
narciclasine,MFE-296
BRD-K34222889,PEER
pluripotin,HPAF-II
WP1130,LS411N
nakiterpiosin,DMS 273
DBeQ,MC116
topotecan,COR-L88
PIK-93,KMBC-2
KU-55933,KCL-22
chlorambucil,OV56
tacrolimus,LXF-289
sorafenib,IPC-298
LRRK2-IN-1,NCI-H1373
NSC632839,LCLC-103H
etoposide,SCaBER
BRD-K34222889,ST486
narciclasine,NCI-H2122
canertinib,KE-39
MK-2206,GMS-10
DBeQ,NH-6
CD-1530,U-251 MG
parbendazole,LXF-289
CHIR-99021,MHH-NB-11
mitomycin,COR-L105
PIK-93,SNU-475
BRD-K34222889,Calu-1
CD-437,SNU-466
nutlin-3,MDA-MB-468
fluvastatin,DK-MG
curcumin,KNS-60
RAF265,DBTRG-05MG
PIK-93,COV362
ABT-737,SNU-C2A
narciclasine,DMS 454
HBX-41108,PK-1
paclitaxel,TE-5
chlorambucil,HuH28
BRD-K24690302,UACC-257
spautin-1,LC-1/sq-SF
sildenafil,NCI-H1651
pluripotin,FTC-133
NSC632839,SU.86.86
triazolothiadiazine,FTC-133
gossypol,RCM-1
RAF265,SK-MEL-3
Compound 7d-cis,PK-1
tamatinib,HuH28
CD-437,NCI-H446
vandetanib,EB1
dasatinib,NCI-H441
cediranib,PK-1
parbendazole,HuCCT1
KHS101,SW48
entinostat,A2058
alisertib,NCI-H716
BRD-K26531177,HUP-T3
neratinib,NCI-H322
narciclasine,UACC-257
pluripotin,DMS 454
tivozanib,DK-MG
isoevodiamine,NCI-H2009
entinostat,JL-1
etoposide,FTC-133
niclosamide,KCL-22
AT13387,ACHN
AZD6482,SCC-25
gemcitabine,EPLC-272H
tivozanib,SK-MEL-2
pluripotin,GI-1
N9-isopropylolomoucine,BICR 16
COL-3,BT-20
niclosamide,UACC-257
DBeQ,LS1034
NVP-TAE684,A101D
RITA,THP-1
BRD-K26531177,DAN-G
DBeQ,NCI-H1563
nakiterpiosin,MOTN-1
importazole,SJSA-1
pluripotin,BL-70
methylstat,SUP-T11
TW-37,SK-OV-3
cabozantinib,KYM-1
docetaxel,GI-1
PHA-793887,SNU-5
WP1130,MDA-MB-361
gossypol,KYM-1
LRRK2-IN-1,RH-18
PHA-793887,MOTN-1
WP1130,KYSE-180
tivozanib,ONCO-DG-1
OSI-027,SW1417
cerulenin,U266B1
vorinostat,Set-2
ZSTK474,NCI-H358
paclitaxel,MHH-CALL-3
CD-1530,EOL-1
cerulenin,NCI-H1694
STF-31,NCI-H322
pluripotin,TE-1
WP1130,TE-11
entinostat,SCC-4
pluripotin,KYSE-70
nakiterpiosin,B-CPAP
NVP-TAE684,KYSE-180
vorapaxar,NCI-H1755
bleomycin A2,PF-382
triazolothiadiazine,SK-MEL-3
SKI-II,SNU-182
BRD-K26531177,MC116
vandetanib,8305C
VER-155008,SU-DHL-1
AZD6482,HCC1954
cytarabine hydrochloride,RH-18
Ch-55,YD-8
AT13387,TE-5
mitomycin,TOV-112D
neratinib,GOS-3
chlorambucil,TE-8
vorinostat,ONCO-DG-1
KHS101,DAN-G
obatoclax,PK-1
PRIMA-1,L-1236
PI-103,SW 1783
marinopyrrole A,KE-39
TW-37,NCI-H716
BI-2536,TT
DBeQ,LU65
tivozanib,MHH-NB-11
MLN2238,SNU-C5
BI-2536,GOS-3
canertinib,MDA-MB-231
STF-31,SNU-182
MLN2238,HT115
BI-2536,ACC-MESO-1
paclitaxel,COR-L88
NVP-231,ONCO-DG-1
ABT-737,MHH-CALL-3
alisertib,EB1
RAF265,PEER
NVP-TAE684,JHH-6
entinostat,P31/FUJ
nutlin-3,RT4
salermide,VMRC-RCZ
NSC23766,VCaP
fingolimod,SNU-C2A
CHIR-99021,GAMG
B02,HGC-27
PF-3758309,HuT 78
STF-31,NCI-H1703
FQI-2,HPB-ALL
BRD-A02303741,SK-MEL-2
tanespimycin,HCC-1833
BI-2536,EFO-27
gemcitabine,IGR-39
pluripotin,U-BLC1
vorinostat,SKM-1
narciclasine,QGP-1
sunitinib,SJSA-1
brivanib,CML-T1
fluvastatin,JHH-5
TW-37,SW 1990
topotecan,KE-39
vandetanib,P3HR-1
KHS101,KMS-34
narciclasine,HL-60
SMER-3,8305C
BMS-754807,HCC-95
NVP-231,KASUMI-1
OSI-027,NCI-H2009
SCH-79797,OV-90
importazole,SCC-4
NVP-231,OVK18
TGX-221,KG-1-C
bleomycin A2,JHH-5
saracatinib,HCC2218
methylstat,PL-21
entinostat,TC-71
BI-2536,NCI-H1650
alisertib,KE-39
marinopyrrole A,EFE-184
TPCA-1,MDA-MB-157
cerulenin,TE-1
axitinib,PEER
nutlin-3,DK-MG
parbendazole,KYSE-70
manumycin A,OVK18
rigosertib,JHUEM-2
TPCA-1,HuT 78
STF-31,TE-11
PF-3758309,LK-2
sunitinib,NCI-H2342
BRD1835,RH-18
PIK-93,NCI-H2122
nutlin-3,SW1417
cerulenin,COLO 684
cerulenin,IPC-298
CD-437,NCI-H322
barasertib,KLE
isoevodiamine,TT
isoevodiamine,MHH-NB-11
decitabine,TE-11
lapatinib,QGP-1
silmitasertib,HT-144
KU-55933,NCI-H2452
BRD-A94377914,P12-ICHIKAWA
mitomycin,KYM-1
SRT-1720,SUP-T11
BI-2536,GAMG
BRD-K11533227,MHH-CALL-3
CI-976,TCCSUP
sunitinib,TUHR4TKB
MLN2238,SK-MM-2
tanespimycin,NCI-H1734
NVP-231,NCI-H2126
triptolide,SW48
axitinib,NCI-H510
fingolimod,DV-90
alisertib,SK-N-AS
canertinib,MDA-MB-468
marinopyrrole A,EN
TPCA-1,HGC-27
KU-55933,KYSE-70
isoevodiamine,BL-70
CIL55A,HPAF-II
KHS101,DMS 454
RAF265,SHP-77
KU-60019,L-1236
SCH-79797,Set-2
NVP-TAE684,NCI-H1694
PF-3758309,JHH-6
bleomycin A2,SNU-869
barasertib,KMS-27
topotecan,RERF-LC-MS
vorinostat,UACC-257
silmitasertib,BL-70
manumycin A,SK-MM-2
NVP-TAE684,HCC-78
parbendazole,ME-1
neratinib,SNU-719
etoposide,COV434
dasatinib,NCI-H1755
cabozantinib,FU97
chlorambucil,EB1
N9-isopropylolomoucine,P31/FUJ
sorafenib,NCI-H2452
NVP-231,KMS-34
gossypol,HCC1419
TW-37,MFE-319
KHS101,NCI-H2452
B02,B-CPAP
CD-437,BICR 16
KHS101,SCC-9
alisertib,SCC-25
BRD-K26531177,SNU-C2A
marinopyrrole A,PA-TU-8902
AT13387,EN
DBeQ,KASUMI-2
sunitinib,Calu-1
neratinib,VM-CUB1
sunitinib,RT4
STF-31,LS 180
vorinostat,U-87 MG
CAL-101,SNU-387
ABT-737,HL-60
YM-155,NCI-H358
CD-437,MDST8
MG-132,HCC202
paclitaxel,SNU-601
curcumin,HuH-6
BRD-K34222889,ZR-75-1
TGX-221,NCI-H2452
TW-37,TT
methylstat,SK-MM-2
AT13387,HCC1419
PRIMA-1,COLO 684
fluvastatin,TOV-21G
gemcitabine,Calu-3
YM-155,MOR/CPR
parbendazole,SNU-C2A
SCH-79797,A-204
NVP-231,LK-2
NVP-231,EFE-184
curcumin,OPM-2
BMS-754807,TUHR4TKB
RITA,MDA-MB-361
saracatinib,NCI-H2342
pluripotin,NCI-H2286
ETP-46464,NCI-H322
triptolide,HCC202
NVP-TAE684,FTC-238
CD-437,ACHN
triptolide,U266B1
CD-437,OCI-M1
mitomycin,SJSA-1
BRD-K26531177,HEC-151
ZSTK474,HuH28
tanespimycin,SNU-869
KHS101,LS 180
docetaxel,A-204
docetaxel,COR-L51
canertinib,Calu-1
triptolide,HCC-78
Repligen 136,ONCO-DG-1
cerulenin,GOS-3
MG-132,COLO-800
AZD6482,SU-DHL-6
Compound 23 citrate,NCI-H2052
chlorambucil,NH-6
nilotinib,HuCCT1
YM-155,FaDu
BI-2536,NCI-H2126
daporinad,SK-LMS-1
triazolothiadiazine,SU-DHL-1
lapatinib,NCI-H1915
PF-184,JHH-5
GW-405833,TUHR4TKB
CD-437,MOTN-1
DBeQ,HGC-27
lapatinib,U-BLC1
PI-103,NCI-H526
SCH-79797,MEL-HO
silmitasertib,HuCCT1
silmitasertib,NCI-H1915
nintedanib,NCI-H1650
obatoclax,RT4
bleomycin A2,DMS 79
silmitasertib,KG-1-C
MGCD-265,AMO-1
sunitinib,GSS
YM-155,PE/CA-PJ49
UNC0321,YD-8
pluripotin,KASUMI-1
linsitinib,SNU-410
MLN2238,HuT 78
obatoclax,COR-L105
SCH-79797,A-375
PIK-93,U-BLC1
necrosulfonamide,SJSA-1
SMER-3,PA-TU-8902
tamatinib,Set-2
necrosulfonamide,OV56
WP1130,SNU-61
parbendazole,KASUMI-2
KHS101,YD-38
austocystin D,NCI-H2405
BRD-A02303741,DAN-G
hyperforin,SF126
RAF265,NCI-H2405
triazolothiadiazine,NCI-H1373
vandetanib,A-204
methylstat,SNU-840
tamatinib,RVH-421
PI-103,SU-DHL-6
saracatinib,KYSE-70
mitomycin,A-204
austocystin D,SW1417
COL-3,RERF-LC-MS
docetaxel,Hs 578T
vandetanib,WM-793
simvastatin,HT-1376
KHS101,PSN1
nakiterpiosin,KP-N-YN
neratinib,NCI-H2405
importazole,U-2 OS
obatoclax,SNU-869
daporinad,NCI-H1693
curcumin,A172
obatoclax,SNU-C2A
triazolothiadiazine,NCI-H2196
decitabine,697
BRD-A94377914,23132/87
entinostat,JHH-5
MLN2238,ZR-75-1
fluvastatin,SF126
NVP-TAE684,SW48
triptolide,LS1034
OSI-930,8505C
RAF265,Panc 03.27
niclosamide,KP-N-YN
BRD-A94377914,SNU-719
paclitaxel,SKM-1
gemcitabine,COLO 829
SCH-79797,HuH28
CD-437,RMG-I
SRT-1720,NCI-H2405
canertinib,HT-144
alisertib,OVK18
valdecoxib,SNU-475
PIK-93,GP2d
CIL55A,RS4;11
BRD-K34222889,NCI-H2405
BRD-K26531177,SU-DHL-6
BMS-754807,GDM-1
obatoclax,U-BLC1
nakiterpiosin,SU-DHL-4
fingolimod,NCI-H1915
GW-405833,NCI-H1755
KU-0063794,JIMT-1
rigosertib,SNU-175
cabozantinib,SU-DHL-1
curcumin,23132/87
KU-0063794,Hs 895.T
axitinib,TOV-112D
mitomycin,DMS 454
parbendazole,NCI-H1373
DBeQ,NCI-H2196
manumycin A,EFO-27
canertinib,SNU-387
daporinad,A549
isoevodiamine,PSN1
cytarabine hydrochloride,A-204
tivozanib,NCI-H2196
LRRK2-IN-1,HCC1419
dacarbazine,OCI-AML2
ETP-46464,RVH-421
entinostat,SW 1990
PF-3758309,IGR-39
PHA-793887,HMCB
FQI-2,HCC-1438
salermide,A-204
fluvastatin,SNU-489
entinostat,8505C
sorafenib,Hs 822.T
Ch-55,SK-BR-3
BRD-K34222889,HPAF-II
gemcitabine,NCI-H358
PDMP,NCI-H1581
BRD-K41597374,SK-CO-1
CIL55A,SHP-77
YM-155,SCC-4
rigosertib,RVH-421
RITA,NUGC-4
QS-11,TUHR4TKB
YM-155,NCI-H2087
DNMDP,COR-L51
NVP-TAE684,TOV-112D
rigosertib,KMBC-2
gemcitabine,PEER
BRD-A94377914,SUP-T1
triptolide,SNU-1041
PHA-793887,NCI-H2196
LRRK2-IN-1,42-MG-BA
CD-1530,NCI-H226
neopeltolide,P12-ICHIKAWA
vandetanib,SK-OV-3
obatoclax,SW48
BRD-K26531177,HCC2218
OSI-027,LN-18
SJ-172550,HCT 116
PRIMA-1,Set-2
sunitinib,PSN1
BRD-K34222889,U-2 OS
AT13387,SK-N-AS
MGCD-265,RPMI-8402
sunitinib,JHH-5
ETP-46464,KMRC-3
skepinone-L,NCI-H1651
gossypol,KYSE-30
obatoclax,P12-ICHIKAWA
pluripotin,SW 1990
NVP-TAE684,U-BLC1
curcumin,HT-144
ZSTK474,EOL-1
tamatinib,COLO-320
narciclasine,NCI-H1666
austocystin D,LS1034
axitinib,A172
dacarbazine,SW48
cerulenin,HCC-1833
paclitaxel,THP-1
CD-1530,OCI-LY3
MLN2238,SNU-466
