DRUG_NAME,CELL_LINE_NAME
Refametinib,EW-12
Selumetinib,ECC12
Bortezomib,NCI-H1648
Pictilisib,GAK_cell
Methotrexate,NCI-H2085
Tanespimycin,CTB-1
Venetoclax,WM-115
Ribociclib,SNU-423
Refametinib,NCI-H1876
Selumetinib,SK-MM-2
Selumetinib,HOS
Trametinib,KM-H2
Cediranib,SW626
Ribociclib,NCI-H2141
Palbociclib,TK
Irinotecan,SU8686
Dihydrorotenone,HSC-2
Refametinib,KELLY
Osimertinib,HuO-3N1
Teniposide,LC-1-sq
Venetoclax,UACC-62
Selumetinib,JHH-6
Docetaxel,HAL-01
MK-2206,GAK_cell
Dabrafenib,SW620
Sinularin,KURAMOCHI
Pictilisib,CAL-120
Teniposide,Mo-T
Ipatasertib,A704
Docetaxel,ML-1
Osimertinib,TGBC1TKB
Dabrafenib,NCI-H211
Sapitinib,SW626
Talazoparib,KNS-81-FD
Dasatinib,H9
Docetaxel,HuCCT1
Ribociclib,A2058
Vinorelbine,KMRC-20
Dabrafenib,SW962
Docetaxel,KP-N-YN
Selumetinib,NCI-H1688
Refametinib,KARPAS-45
Savolitinib,SNU-C1
Refametinib,ES4
Tanespimycin,NCI-H660
Pictilisib,SNU-449
Ribociclib,A101D
Selumetinib,ECC10
Ribociclib,LCLC-97TM1
Vorinostat,BICR31
Palbociclib,NCI-H1623
Ibrutinib,RF-48
Dasatinib,SK-MEL-30
MK-2206,H4
Paclitaxel,JHH-4
Motesanib,NCI-H1944
Teniposide,OVCA420
Bortezomib,NCI-H1623
Savolitinib,U-266
Teniposide,CP66-MEL
Vorinostat,NCI-H747
Vorinostat,NCI-H28
Refametinib,MOLT-16
Trametinib,SU-DHL-10
Vorinostat,KYAE-1
Palbociclib,OVCAR-3
Ipatasertib,CADO-ES1
Talazoparib,SU-DHL-10
Cediranib,TE-12
Dihydrorotenone,CFPAC-1
Irinotecan,BICR78
Bortezomib,PANC-10-05
Selumetinib,JiyoyeP-2003
Selumetinib,no-11
Tanespimycin,EFM-192A
Methotrexate,SW1417
Sapitinib,JSC-1
Lapatinib,CAL-120
Motesanib,MFH-ino
Selumetinib,NCI-H1781
Afatinib,NCI-H441
Dabrafenib,NB5
Talazoparib,no-11
Vinorelbine,RCM-1
Bromosporine,NCI-H1755
Teniposide,KP-2
Ipatasertib,ML-1
Motesanib,YH-13
Bosutinib,KNS-81-FD
Vinorelbine,COR-L105
Pictilisib,NCI-H2172
Dihydrorotenone,WM278
Vinorelbine,NCI-H226
Talazoparib,KYSE-180
Selumetinib,GI-1
Docetaxel,MEL-HO
Dihydrorotenone,DBTRG-05MG
Savolitinib,NCI-H841
Bromosporine,LU-135
Afatinib,NCI-H3122
Ipatasertib,SNU-423
Lapatinib,SNU-398
Savolitinib,IHH-4
Afatinib,A375
Bromosporine,TYK-nu
Docetaxel,COR-L95
Paclitaxel,YAPC
Selumetinib,KP-1N
Pictilisib,ChaGo-K-1
Cediranib,SW156
Pictilisib,JSC-1
Talazoparib,MLMA
Talazoparib,SK-MM-2
Dihydrorotenone,NCI-H2085
Savolitinib,NCC021
Bosutinib,LXF-289
Ibrutinib,NCI-H747
Sinularin,KYSE-70
Vinorelbine,SAT
Venetoclax,SK-MG-1
Methotrexate,KYAE-1
Motesanib,SW1271
Selumetinib,TE-4
MK-2206,CAS-1
Ipatasertib,NCC010
Dihydrorotenone,SN12C
MK-2206,PA-TU-8988T
Bromosporine,HCC-827
Bosutinib,VA-ES-BJ
Dasatinib,PEO1
Tanespimycin,HCC1428
Docetaxel,Hey
Savolitinib,NCI-H345
Refametinib,NCI-H1963
Pictilisib,NCI-H2141
Bortezomib,DOV13
Docetaxel,SK-MEL-3
Refametinib,ESO26
Tanespimycin,NCI-H2085
Talazoparib,SAT
Methotrexate,MFH-ino
Sapitinib,HTC-C3
Afatinib,BB49-HNC
Methotrexate,C3A
Palbociclib,TOV-21G
Docetaxel,JHH-4
Vinorelbine,BT-20
Sinularin,NCI-H345
Trametinib,KYSE-450
MK-2206,MS751
Motesanib,SW620
Selumetinib,OVCAR-4
Sapitinib,CADO-ES1
Irinotecan,KURAMOCHI
Teniposide,NCI-H441
Sapitinib,CAL-120
Selumetinib,LB996-RCC
Palbociclib,BICR78
Ribociclib,OSC-20
Dasatinib,NB10
Venetoclax,CaR-1
Cediranib,SNU-398
Selumetinib,DMS-79
Sinularin,HT-144
Trametinib,LU-135
Docetaxel,SNU-C1
Lapatinib,EW-24
Refametinib,EW-3
Ipatasertib,Becker
Vorinostat,HuH-7
Ribociclib,SNU-C1
Savolitinib,BICR31
Ibrutinib,SIMA
Tanespimycin,EW-3
Venetoclax,Ca9-22
Selumetinib,RPMI-8866
Motesanib,OVCA420
Selumetinib,D-392MG
Lapatinib,TT
Tretinoin,UWB1.289
Pictilisib,NCI-H810
Bosutinib,NCI-H810
Venetoclax,SAT
Palbociclib,NCI-H1876
Venetoclax,KYSE-450
Selumetinib,OVK-18
Refametinib,EB-3
Methotrexate,LB996-RCC
Palbociclib,RF-48
Sinularin,NCI-H810
Dabrafenib,D-392MG
Pictilisib,JHH-4
Dasatinib,ES4
MK-2206,NCI-H1963
Docetaxel,WM278
Ribociclib,EFM-192A
Ribociclib,CHP-134
Pictilisib,HuH-7
Refametinib,COR-L95
Selumetinib,JHH-4
Ibrutinib,WM-115
Buparlisib,UACC-62
Teniposide,TK10
Afatinib,NCI-H226
Bromosporine,TE-4
Bortezomib,FADU
Trametinib,FLO-1
Teniposide,HeLa
Docetaxel,SW1417
Vorinostat,SNU-C1
Talazoparib,LOUCY
Trametinib,HOS
Osimertinib,8-MG-BA
Selumetinib,KYSE-450
Savolitinib,SCC90
Teniposide,DK-MG
Motesanib,JIMT-1
Vorinostat,CAL-78
Methotrexate,DOV13
Talazoparib,NCI-H841
Venetoclax,H3255
Ribociclib,SK-MEL-5
Trametinib,L-540
Talazoparib,DBTRG-05MG
Refametinib,MFE-319
Buparlisib,SNG-M
Ipatasertib,IGR-37
Savolitinib,CP50-MEL-B
Ribociclib,BxPC-3
Methotrexate,IST-SL1
Trametinib,OVK-18
Ibrutinib,OSC-20
Dabrafenib,KYSE-450
Osimertinib,SK-LU-1
Vinorelbine,NCI-H660
Talazoparib,KYSE-50
Afatinib,BB65-RCC
Pictilisib,KP-3
Refametinib,23132-87
Dabrafenib,CAL-27
Docetaxel,BT-20
Dihydrorotenone,RPMI-7951
Bosutinib,ECC12
Osimertinib,OVCAR-5
Paclitaxel,NCC010
Teniposide,CAL-78
Cediranib,no-10
Vorinostat,C3A
Irinotecan,DK-MG
Bromosporine,A253
Docetaxel,SW156
Talazoparib,PC-14
Bromosporine,KMRC-20
Ipatasertib,KY821
Dihydrorotenone,MKN1
Vorinostat,A253
Teniposide,NUGC-4
Motesanib,NCI-H2228
Vorinostat,OV-7
Cediranib,MHH-CALL-2
Vorinostat,786-0
Taselisib,LB373-MEL-D
Trametinib,TE-10
Dihydrorotenone,A101D
Methotrexate,NB5
Venetoclax,CP50-MEL-B
Taselisib,L-428
Ribociclib,COR-L32
Vorinostat,SK-OV-3
Venetoclax,BB65-RCC
Bosutinib,HCC70
Paclitaxel,CFPAC-1
Refametinib,639-V
Afatinib,CAL-62
Talazoparib,NCI-H660
Savolitinib,SNG-M
Bosutinib,KP-1N
Tretinoin,SK-MEL-30
Selumetinib,OVCAR-4
Afatinib,CP50-MEL-B
Pictilisib,KMRC-1
Cediranib,CP66-MEL
Cediranib,SK-MEL-5
Venetoclax,CAS-1
Osimertinib,NCI-H1703
Venetoclax,BxPC-3
Irinotecan,NCI-H28
Paclitaxel,L-428
Palbociclib,BT-20
Refametinib,LNZTA3WT4
Refametinib,NCI-H1703
Osimertinib,LOXIMVI
Motesanib,FADU
Osimertinib,SK-MEL-1
Paclitaxel,PANC-04-03
Venetoclax,DMS-114
Trametinib,CAL-51
Palbociclib,SIMA
Selumetinib,U-698-M
Selumetinib,Jurkat
Methotrexate,NCC021
Palbociclib,GI-1
Tanespimycin,CAMA-1
Savolitinib,no-10
Bromosporine,CW-2
Ipatasertib,NCI-H345
Irinotecan,MDA-MB-157
Vinorelbine,HuH-7
Methotrexate,YKG-1
Bromosporine,NCI-H250
Sapitinib,HT-144
Docetaxel,TK
Palbociclib,NCI-H1563
Tanespimycin,MLMA
Ribociclib,HTC-C3
Trametinib,RS4-11
Selumetinib,NCI-H2141
Osimertinib,NCI-H1792
Savolitinib,KP-2
Ipatasertib,SCC90
Dabrafenib,NCI-H2172
Tanespimycin,NB6
Osimertinib,OACM5-1
Lapatinib,SJSA-1
Teniposide,MG-63
Teniposide,CAMA-1
Ibrutinib,HCC2998
MK-2206,NCI-H2141
Vorinostat,TGBC1TKB
Docetaxel,PCI-30
Docetaxel,ASH-3
Selumetinib,RF-48
Dabrafenib,MS-1
Docetaxel,ES4
Ibrutinib,HCC-15
Docetaxel,GAK_cell
Osimertinib,Hey
Taselisib,SIG-M5
Sapitinib,KNS-81-FD
Tanespimycin,NAMALWA
Taselisib,LNZTA3WT4
MK-2206,SK-CO-1
Osimertinib,NCI-H1688
Selumetinib,LXF-289
Taselisib,RCC-AB
Irinotecan,CP50-MEL-B
Savolitinib,T98G
MK-2206,DMS-114
Docetaxel,JHH-1
Sapitinib,KYSE-70
Selumetinib,WSU-DLCL2
Afatinib,RH-1
Venetoclax,NCI-H23
Dasatinib,C32
Savolitinib,NB5
Talazoparib,HT-144
Venetoclax,SU8686
Teniposide,PC-14
Bortezomib,SW1271
Vinorelbine,SK-MEL-1
Pictilisib,NB5
Venetoclax,CAL-62
Selumetinib,HOS
Irinotecan,SW626
MK-2206,SNU-398
Dihydrorotenone,VA-ES-BJ
Lapatinib,LB373-MEL-D
Vinorelbine,NCI-H250
Bromosporine,T84
Methotrexate,EW-12
Methotrexate,CP66-MEL
Sapitinib,OV-56
Taselisib,SW620
Sapitinib,NCI-H2405
Ipatasertib,MS-1
Vorinostat,SJSA-1
Methotrexate,TE-5
Motesanib,WM793B
Tanespimycin,SCC-15
Dasatinib,NCI-H1436
Bosutinib,SK-MEL-5
Paclitaxel,SK-MEL-5
Methotrexate,OAW-28
MK-2206,RERF-LC-KJ
Sapitinib,HCC-15
Palbociclib,NCI-H250
Paclitaxel,SW1417
Osimertinib,WM278
Afatinib,SK-MEL-1
Bortezomib,NCI-H345
Bosutinib,LU-135
Palbociclib,KNS-81-FD
Selumetinib,NCI-H28
Ribociclib,NCI-H1781
Lapatinib,OAW-28
Tretinoin,U031
Afatinib,SNU-387
Methotrexate,CP50-MEL-B
Savolitinib,NCI-H660
Palbociclib,NCI-H441
Ribociclib,ECC12
Selumetinib,ML-1
Paclitaxel,HCC2218
Taselisib,PEO1
Docetaxel,C3A
Motesanib,A431
Bromosporine,KYSE-70
Cediranib,RCC-AB
Venetoclax,HTC-C3
Refametinib,KE-37
Docetaxel,ESO26
Savolitinib,KYSE-410
Osimertinib,OVCAR-4
Ipatasertib,SW620
Dihydrorotenone,CP66-MEL
Methotrexate,WM-115
Talazoparib,NCI-H2228
Bromosporine,ESO26
Selumetinib,SUP-M2
Methotrexate,A101D
Irinotecan,RERF-LC-KJ
Vinorelbine,NCI-H358
Teniposide,ESO26
Bosutinib,HCC1428
Bortezomib,KP-2
Pictilisib,COR-L95
Sapitinib,SBC-3
Docetaxel,MDA-MB-231
Ibrutinib,CAPAN-1
Paclitaxel,UACC-62
Ipatasertib,HLE
Talazoparib,NCI-H358
Methotrexate,SNG-M
Dihydrorotenone,KYAE-1
Paclitaxel,NCI-H1876
Buparlisib,CAPAN-1
Buparlisib,KYSE-140
Talazoparib,SU8686
Dihydrorotenone,DK-MG
Docetaxel,MFH-ino
Bortezomib,NCI-H1944
Motesanib,ML-1
Dasatinib,T84
Methotrexate,NCI-H292
Sapitinib,UACC-62
Taselisib,C32
Buparlisib,Mo-T
Sinularin,NCI-H747
Docetaxel,SNU-423
Bosutinib,TK10
Ipatasertib,EB-3
Bromosporine,NCI-H2141
Vorinostat,BxPC-3
Osimertinib,KU-19-19
Vorinostat,NCI-H1869
Talazoparib,SNU-C1
Selumetinib,RF-48
Venetoclax,SNU-61
Pictilisib,LC-1-sq
Ipatasertib,SNU-398
Vinorelbine,GB-1
Selumetinib,BICR31
Selumetinib,TK10
Venetoclax,EPLC-272H
Pictilisib,KMOE-2
Lapatinib,MSTO-211H
Sapitinib,A375
Osimertinib,SNU-423
Refametinib,CCRF-CEM
Refametinib,SNG-M
Venetoclax,CHP-134
Savolitinib,HCC1395
Trametinib,NCI-H660
Trametinib,YAPC
Irinotecan,KP-1N
Cediranib,SNU-449
Motesanib,NCI-H2172
Tanespimycin,OVCA420
Ipatasertib,HTC-C3
Palbociclib,COR-L105
Docetaxel,CAS-1
Tanespimycin,OVCAR-3
Methotrexate,FU-OV-1
Motesanib,C32
Motesanib,PA-TU-8902
Lapatinib,NCI-H250
Ipatasertib,PANC-10-05
Bortezomib,NCI-H1563
Dihydrorotenone,L-428
Sinularin,OSC-20
Irinotecan,L-363
Buparlisib,BT-483
Tanespimycin,no-11
Venetoclax,MDA-MB-157
Teniposide,BxPC-3
Savolitinib,KP-N-YN
Vinorelbine,NCC010
Teniposide,OVCAR-4
Refametinib,L-428
Teniposide,TE-5
Savolitinib,NCI-H1869
Paclitaxel,C32
Bromosporine,OV-56
Savolitinib,NCI-H1781
Selumetinib,CAL-78
Trametinib,EW-11
Methotrexate,SKN
Dasatinib,IGR-37
Venetoclax,NCI-H2342
Pictilisib,TYK-nu
Sapitinib,KELLY
Lapatinib,NCI-H1435
Venetoclax,RERF-LC-KJ
Talazoparib,UACC-62
Venetoclax,SW780
Dabrafenib,NCI-H1436
Paclitaxel,NCI-H358
Selumetinib,NCI-H23
Trametinib,YH-13
MK-2206,J82
Methotrexate,SCC90
Ibrutinib,PEO1
Bortezomib,SW156
Sapitinib,NCI-H1963
Bromosporine,CAS-1
Afatinib,PA-TU-8902
Taselisib,U-698-M
Talazoparib,SW1271
Dabrafenib,CHP-212
Bosutinib,HCC2998
Lapatinib,HCC-44
Sapitinib,NKM-1
Ribociclib,SW1271
Pictilisib,MS751
Talazoparib,Ca-Ski
Dabrafenib,C3A
Dihydrorotenone,PANC-08-13
Pictilisib,NCI-H226
Bromosporine,HuH-7
Sinularin,SW1463
Buparlisib,NCI-H810
Docetaxel,SW1417
Ribociclib,SK-MG-1
Palbociclib,NCI-H2347
Paclitaxel,TGBC1TKB
Dihydrorotenone,WM35
Dasatinib,EW-22
Venetoclax,PANC-08-13
Paclitaxel,WM35
Taselisib,MDA-MB-231
Vorinostat,NCI-H1703
Palbociclib,ML-1
Dasatinib,J82
Sinularin,OVCA420
Osimertinib,HCC-44
Dihydrorotenone,LXF-289
Teniposide,DBTRG-05MG
Motesanib,MDA-MB-231
Sapitinib,CAS-1
Sapitinib,KP-2
Paclitaxel,SNU-61
Sapitinib,NCI-H2196
Buparlisib,PANC-03-27
Refametinib,NCI-H209
Vinorelbine,BICR78
Sapitinib,SK-MEL-30
Ipatasertib,L-540
Ribociclib,NCI-H1944
Talazoparib,EN
Ibrutinib,SNU-423
Motesanib,JHH-1
Pictilisib,OAW-28
Palbociclib,D-392MG
Savolitinib,CAL-78
Bosutinib,SK-OV-3
Selumetinib,LOUCY
Palbociclib,EW-24
Irinotecan,TE-4
Dabrafenib,NCI-H2196
Selumetinib,EW-16
Methotrexate,PL-21
Tanespimycin,EW-24
Docetaxel,SW1463
Irinotecan,KP-2
Talazoparib,PA-TU-8988T
Bortezomib,NCI-N87
Ibrutinib,639-V
Ipatasertib,NCI-H1792
Dasatinib,SNU-C1
Vinorelbine,SK-MG-1
Palbociclib,Ca9-22
Vorinostat,LC-1-sq
Selumetinib,SK-MM-2
Dabrafenib,COR-L32
MK-2206,NCI-H23
Bosutinib,NCI-H835
Selumetinib,NCI-H1963
Taselisib,NCI-H211
Selumetinib,SNU-423
Selumetinib,SNG-M
Selumetinib,CAL-78
Venetoclax,JHU-029
Talazoparib,U-266
Dihydrorotenone,IGROV-1
Sapitinib,NCI-H526
Tanespimycin,SJSA-1
Afatinib,SW1417
Lapatinib,KNS-81-FD
Docetaxel,SNU-1040
Ipatasertib,VA-ES-BJ
Buparlisib,HT55
Savolitinib,ASH-3
Ribociclib,RCC-AB
Sinularin,HCC1806
Sapitinib,EW-11
Buparlisib,JHH-4
Selumetinib,CAMA-1
Talazoparib,NCI-H1581
Dasatinib,NCI-H2342
Osimertinib,KURAMOCHI
Sapitinib,MS751
Osimertinib,NCI-H810
Osimertinib,CAMA-1
Vinorelbine,MEL-HO
Ribociclib,NCI-H841
Docetaxel,VA-ES-BJ
Bromosporine,SU8686
Savolitinib,SIMA
Dabrafenib,NCI-H250
Lapatinib,TC-71
Teniposide,CaR-1
Ribociclib,CAMA-1
Savolitinib,MSTO-211H
Palbociclib,LOU-NH91
MK-2206,769-P
Selumetinib,NALM-6
Talazoparib,SK-MEL-5
Taselisib,D-392MG
Dasatinib,NCI-H23
Ibrutinib,A704
Ibrutinib,EN
Afatinib,LNZTA3WT4
MK-2206,HuCCT1
Dihydrorotenone,OE19
Savolitinib,BT-483
Dasatinib,CAL-51
Ipatasertib,PA-TU-8902
Vorinostat,NCI-H441
Venetoclax,HCT-15
Irinotecan,NCI-H2291
Bosutinib,PA-TU-8902
Taselisib,DK-MG
Talazoparib,JHH-2
Dasatinib,DMS-114
Bromosporine,KYSE-450
Selumetinib,LXF-289
Talazoparib,NCI-H810
Venetoclax,PCI-30
Dasatinib,DEL
Motesanib,KMRC-20
Bortezomib,SW780
Docetaxel,KNS-62
Selumetinib,PANC-08-13
Talazoparib,NCI-H2342
Tanespimycin,RF-48
Taselisib,NCI-H661
Afatinib,HuO-3N1
Venetoclax,CAL-51
Savolitinib,CHSA0011
Dabrafenib,HSC-4
Bortezomib,JHH-4
Talazoparib,MFM-223
Vorinostat,HSC-2
Bosutinib,NCI-H1944
Dasatinib,MDST8
MK-2206,PA-TU-8902
Sinularin,MEG-01
Lapatinib,IHH-4
Tanespimycin,SW626
Taselisib,NB14
Osimertinib,MKN45
Cediranib,SW962
Dasatinib,CADO-ES1
Savolitinib,SK-CO-1
Tanespimycin,MSTO-211H
Talazoparib,NCI-H2141
Cediranib,FLO-1
Selumetinib,Ca9-22
Dihydrorotenone,EFM-192A
Teniposide,HuO-3N1
Ipatasertib,SUP-M2
Methotrexate,NCI-H1648
Refametinib,NCI-H661
Refametinib,SK-MM-2
Buparlisib,BEN
Talazoparib,BEN
Bortezomib,TE-5
Dabrafenib,CADO-ES1
Paclitaxel,MEL-HO
Osimertinib,A704
Venetoclax,Detroit562
Dabrafenib,NCI-H2342
Methotrexate,ASH-3
Pictilisib,EW-13
Ribociclib,KYSE-450
Ibrutinib,PANC-10-05
Dasatinib,FU97
Talazoparib,LXF-289
Bosutinib,FU-OV-1
Vorinostat,KYSE-450
Selumetinib,ES1
Dasatinib,YAPC
Refametinib,HuO-3N1
Teniposide,BB49-HNC
Palbociclib,PA-TU-8902
Paclitaxel,WM-115
Dasatinib,KY821
Savolitinib,YH-13
Docetaxel,SK-MM-2
Refametinib,CAL-62
Savolitinib,NCI-H64
Bromosporine,SW1417
Sinularin,EW-16
Buparlisib,769-P
Motesanib,RCC-AB
Trametinib,NCI-H1435
Paclitaxel,SK-MEL-1
Ipatasertib,KYSE-450
Savolitinib,OV-56
MK-2206,A253
Venetoclax,NB10
Ipatasertib,SW780
Taselisib,JHH-6
Lapatinib,TYK-nu
Selumetinib,KYSE-50
Bortezomib,TC-71
Docetaxel,D-392MG
Selumetinib,8-MG-BA
Irinotecan,NCI-H2141
Dabrafenib,CFPAC-1
Motesanib,SU8686
Refametinib,BT-483
Selumetinib,EJM
Docetaxel,WM35
Vorinostat,ES4
Bosutinib,C32
Taselisib,LS-1034
Venetoclax,KP-3
Ribociclib,LC-1-sq
Dabrafenib,A253
Sapitinib,BICR31
Refametinib,HCC1806
Bortezomib,EN
Tretinoin,NCI-H2172
Irinotecan,BEN
Buparlisib,NCI-H345
MK-2206,NCI-H2023
Osimertinib,BT-20
Dabrafenib,NCI-H1876
Pictilisib,HCC2218
Selumetinib,MS751
Vinorelbine,TE-12
Venetoclax,LOXIMVI
Pictilisib,BB65-RCC
Venetoclax,MKN1
Savolitinib,SW962
Dabrafenib,LB373-MEL-D
Afatinib,WM-115
Taselisib,SN12C
Trametinib,NCI-H2023
Talazoparib,A253
Methotrexate,OCI-LY-19
Ipatasertib,769-P
Afatinib,NCI-H2141
Selumetinib,EW-22
Dasatinib,CAPAN-1
Osimertinib,HTC-C3
Bortezomib,NCI-H211
Ibrutinib,NOMO-1
Selumetinib,NCI-H2196
Tanespimycin,IST-SL1
Irinotecan,PCI-30
Selumetinib,OVCAR-3
Bromosporine,NCI-H841
Talazoparib,ECC12
Buparlisib,J82
MK-2206,SJSA-1
Dabrafenib,DK-MG
MK-2206,ST486
Tanespimycin,KMRC-1
Palbociclib,NCI-H2405
Dasatinib,WM278
Vinorelbine,PANC-04-03
Palbociclib,JHH-4
Palbociclib,EW-22
Sinularin,PA-TU-8902
Afatinib,LB373-MEL-D
Bortezomib,LC-1-sq
Methotrexate,TOV-21G
Refametinib,NCI-H226
Trametinib,REH
Irinotecan,COR-L105
Ibrutinib,SNU-1040
Tanespimycin,SNU-449
Tretinoin,H3255
Paclitaxel,NCI-H28
Lapatinib,HCC-15
Dabrafenib,BT-20
Sinularin,SW626
Ibrutinib,A673
Venetoclax,HCC1395
Motesanib,PC-14
Taselisib,A673
Buparlisib,NCI-H660
Dihydrorotenone,SW948
Afatinib,MEL-HO
Dabrafenib,23132-87
Motesanib,NB5
Ibrutinib,OACM5-1
Bosutinib,SNU-61
Dasatinib,P12-ICHIKAWA
Irinotecan,EPLC-272H
Selumetinib,KMRC-20
Ibrutinib,L-428
Cediranib,MG-63
Bosutinib,RCM-1
Paclitaxel,ASH-3
Selumetinib,MS-1
MK-2206,CP66-MEL
MK-2206,NCI-H1436
Irinotecan,FU-OV-1
Vorinostat,PANC-10-05
MK-2206,MKN1
Afatinib,SW1271
Ribociclib,KURAMOCHI
Vorinostat,CP50-MEL-B
Trametinib,BEN
MK-2206,IHH-4
Bromosporine,OAW-28
Trametinib,SNU-449
Lapatinib,EW-22
Bromosporine,SBC-5
Dihydrorotenone,PEO1
Methotrexate,Becker
Bromosporine,CAL-120
Pictilisib,OSC-20
Taselisib,KNS-81-FD
Lapatinib,SK-MEL-5
Sinularin,GR-ST
Ribociclib,JHH-4
Osimertinib,KP-1N
Palbociclib,MHH-NB-11
Docetaxel,OSC-20
Vinorelbine,YAPC
Ibrutinib,C32
Talazoparib,TE-4
Cediranib,TK
Palbociclib,PANC-10-05
Trametinib,OAW-28
Dasatinib,HCC1428
Buparlisib,NUGC-4
Pictilisib,SISO
Tanespimycin,NOMO-1
Buparlisib,WM-115
Refametinib,NCC010
Dabrafenib,T84
Lapatinib,BT-483
Selumetinib,DK-MG
Teniposide,OVCAR-3
MK-2206,LOXIMVI
Sapitinib,NCI-H64
Docetaxel,OSC-20
Afatinib,NCC010
Dihydrorotenone,EW-11
Ribociclib,ASH-3
Osimertinib,PANC-10-05
Tanespimycin,SNU-398
Venetoclax,KNS-81-FD
Bosutinib,GAMG
Irinotecan,T84
Selumetinib,NCI-H1755
Selumetinib,MFE-319
Dabrafenib,DOV13
Selumetinib,OACM5-1
Refametinib,KYAE-1
Tanespimycin,RCM-1
Talazoparib,SKG-IIIa
Selumetinib,786-0
Selumetinib,EB-3
Bortezomib,RCM-1
Teniposide,HuCCT1
Selumetinib,PC-14
Ribociclib,NCI-H747
Irinotecan,KP-3
Motesanib,CAPAN-1
Bosutinib,CHSA0011
Afatinib,SK-N-FI
Trametinib,HCC-827
Bromosporine,OSC-20
MK-2206,MSTO-211H
Ibrutinib,L-363
Venetoclax,TE-4
Trametinib,TK
Methotrexate,NCI-H1876
Docetaxel,PANC-10-05
Ipatasertib,A3-KAW
Lapatinib,SNU-C1
Ibrutinib,D-392MG
Docetaxel,EFM-192A
Afatinib,CAPAN-1
Ribociclib,SAT
Ribociclib,KP-1N
Bortezomib,NCI-H835
Motesanib,YKG-1
Taselisib,CADO-ES1
Buparlisib,FU-OV-1
Tanespimycin,J82
Ipatasertib,OV-7
Paclitaxel,NCC021
Ipatasertib,NCI-H250
Docetaxel,CAL-120
Venetoclax,KYSE-410
Sapitinib,WM35
Ibrutinib,T98G
Irinotecan,OACp4C
Docetaxel,NCI-H1435
Taselisib,BICR31
Afatinib,HCC-15
Afatinib,IHH-4
Afatinib,J82
Trametinib,CFPAC-1
Bromosporine,NCI-H23
Bortezomib,CAL-62
Afatinib,NCI-H2291
Taselisib,HCC2218
Irinotecan,SNU-61
Lapatinib,NCI-H2141
Bromosporine,NCI-H1876
Palbociclib,ESO51
Vinorelbine,J82
Bromosporine,BT-20
Taselisib,ES4
Vinorelbine,NCI-H28
Savolitinib,MFM-223
Savolitinib,HLE
Paclitaxel,OAW-28
Vorinostat,KYSE-140
Lapatinib,NCI-H28
Savolitinib,MZ2-MEL
Irinotecan,KYSE-180
Ribociclib,MS751
Afatinib,IGR-37
Ribociclib,COR-L105
Paclitaxel,MPP-89
Sinularin,KYAE-1
Vinorelbine,TE-6
Afatinib,JHH-4
Taselisib,MDA-MB-157
Bosutinib,HCC-15
Motesanib,DMS-114
Irinotecan,ECC12
Osimertinib,OACp4C
Selumetinib,ECC10
Ibrutinib,T84
Taselisib,786-0
Bromosporine,WM793B
Venetoclax,769-P
Pictilisib,H3255
Dabrafenib,EW-16
Afatinib,M14
Vorinostat,NCI-H23
Selumetinib,NCI-H1436
Ibrutinib,CHP-134
Talazoparib,HCC-827
Savolitinib,FLO-1
Lapatinib,SBC-3
Taselisib,NCI-H660
Selumetinib,EW-12
Cediranib,VA-ES-BJ
Dihydrorotenone,A375
Osimertinib,SK-N-AS
Afatinib,KURAMOCHI
Osimertinib,OAW-28
Tanespimycin,PANC-08-13
Teniposide,769-P
Venetoclax,TOV-21G
Pictilisib,NCI-H209
Motesanib,NCI-H358
Palbociclib,JHH-2
Buparlisib,LCLC-97TM1
Methotrexate,8-MG-BA
Sapitinib,HPAC
Trametinib,NB6
Talazoparib,FU-OV-1
Lapatinib,KP-3
Motesanib,FU-OV-1
Taselisib,CAS-1
Vorinostat,NCI-H2085
Taselisib,NB6
Talazoparib,HeLa
Bosutinib,GAK_cell
Refametinib,NCI-H1341
Talazoparib,GAMG
Trametinib,SNU-423
Ipatasertib,TE-12
Paclitaxel,SK-OV-3
Dihydrorotenone,42-MG-BA
Taselisib,IHH-4
Bromosporine,BICR78
Methotrexate,MPP-89
Lapatinib,SK-LU-1
Vinorelbine,SK-OV-3
Bortezomib,TE-12
Pictilisib,ALL-SIL
Refametinib,HCT-15
MK-2206,KM-H2
Selumetinib,MOLT-16
Dabrafenib,TYK-nu
Osimertinib,IGR-37
Venetoclax,CAL-120
Ipatasertib,LCLC-97TM1
Docetaxel,J82
Dihydrorotenone,OACp4C
Tanespimycin,HuCCT1
Lapatinib,OVCAR-4
Dasatinib,COR-L321
Dihydrorotenone,KURAMOCHI
Talazoparib,BC-1
Trametinib,DEL
Docetaxel,PANC-03-27
Paclitaxel,IGR-37
Selumetinib,KYSE-410
Talazoparib,SKN
Lapatinib,U-87-MG
Savolitinib,NCI-H2291
Ribociclib,COR-L95
Dabrafenib,GAMG
Docetaxel,DoTc2-4510
Motesanib,no-10
Refametinib,no-11
Docetaxel,CAPAN-1
Selumetinib,PEO1
Dabrafenib,Ca9-22
Ibrutinib,KYSE-50
Motesanib,T98G
Palbociclib,OAW-28
Methotrexate,SW962
Ipatasertib,NCI-H28
Bromosporine,IHH-4
MK-2206,JHH-1
Sinularin,DMS-114
Osimertinib,EN
Refametinib,KYSE-180
