+------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+-------------+
| Rank |                                                                                                                                                     Drug Name                                                                                                                                                      | Target Name | Interaction | Probability |
| 612  |                                                                                                                         3-(3-aminophenyl)-4-(1-methyl-1H-indol-3-yl)-1H-pyrrole-2,5-dione                                                                                                                          |    AHNAK    |     YES     |     0.98    |
| 613  |                                                                                             10-(4-(1-methyl-1H-indol-3-yl)-2,5-dioxo-2,5-dihydro-1H-pyrrol-3-yl)-3,4-dihydropyrazino[1,2-a]indole-2(1H)-carbothioamide                                                                                             |   APBB1IP   |     YES     |     0.98    |
| 614  |                                                                                                                                                     Dabrafenib                                                                                                                                                     |     SIK1    |     YES     |     0.98    |
| 615  |                                                                                                                                               Bisindolylmaleimide 6a                                                                                                                                               |   ARHGAP29  |     YES     |     0.98    |
| 616  |                                                                                                                                                    Osimertinib                                                                                                                                                     |     MIF     |     YES     |     0.98    |
| 617  |                                                                                                                                       9-Nitro-10-methoxy-20(S)-camptothecin                                                                                                                                        |    HMGCR    |     YES     |     0.98    |
| 618  |                                                                                        (S)-3-(8-(Dimethylaminomethyl)-6,7,8,9-tetrahydropyrido(1,2-a)indol-10-yl)-4-(1-methyl-3-indolyl)-1H-pyrrole-2,5-dione hydrochloride                                                                                        |   SLC43A3   |     YES     |     0.98    |
| 619  |                                                                                                                                                 Antitumor agent-3                                                                                                                                                  |    HMGCR    |     YES     |     0.98    |
| 620  |                                                                                            8-(3-(4-acryloylpiperazin-1-yl)propyl)-6-(2,6-dichloro-3,5-dimethoxyphenyl)-2-(methylamino)pyrido[2,3-d]pyrimidin-7(8H)-one                                                                                             |     BAX     |     YES     |     0.98    |
| 621  |                                                                                                                                Sodium;2-[(2-phosphonoacetyl)amino]butanedioic acid                                                                                                                                 |     FN1     |     YES     |     0.98    |
| 622  |                                                                                                                             Benzofurazan, 4-(4-methyl-1-piperazinyl)-7-nitro-, 3-oxide                                                                                                                             |    HMGCR    |     YES     |     0.98    |
| 623  |                                                                                                 6-(2,4-Difluorophenoxy)-8-(2-methanesulfonyl-ethyl)-2-(tetrahydro-pyran-4-ylamino)-8H-pyrido[2,3-d]pyrimidin-7-one                                                                                                 |     PTK2    |     YES     |     0.98    |
| 624  |                                                                                                      1H-Pyrazole-1-ethanol, 4-((1E)-2-(5-((1R)-1-(3,5-dichloro-4-pyridinyl)ethoxy)-1H-indazol-3-yl)ethenyl)-                                                                                                       |     BAX     |     YES     |     0.98    |
| 625  |                                                                                                                           N'-(1-(Pyridin-2-yl)ethylidene)azetidine-1-carbothiohydrazide                                                                                                                            |    LITAF    |     YES     |     0.98    |
| 626  |                                                                                                                                               Bisindolylmaleimide 6c                                                                                                                                               |    ABLIM1   |     YES     |     0.98    |
| 627  |                                                                                                                                                     Amsacrine                                                                                                                                                      |    RPS4Y1   |     YES     |     0.98    |
| 628  |                                                                                                                                                       Asaley                                                                                                                                                       |    ELOVL5   |     YES     |     0.98    |
| 629  |                               4,12,18-Tetraoxatetracyclo[15.3.1.03,5.011,13] heneicos-14-ene-6,19-dione, 10-hydroxy-8-[2-methoxy-1,3,7-trimethyl-8-(2-methyl-4-oxazolyl)-3,5,7-octatrienyl]-11,16-dimethyl-, [1S-[1R*,3R*,5S*, 8R*(1R*,2S*,3E,5E,7E),10R*,11S*,13S*,14E,16S*,17S*]]-                               |  TNFRSF12A  |     YES     |     0.98    |
| 630  |                                                                                                                                                    Berzosertib                                                                                                                                                     |    HMGCR    |     YES     |     0.98    |
| 631  |                                                                                                                                                    Rociletinib                                                                                                                                                     |     DDR2    |     YES     |     0.98    |
| 632  |                                                                                                                                               Chelerythrine chloride                                                                                                                                               |    LITAF    |     YES     |     0.98    |
| 633  |                                                                                                                                                      Afatinib                                                                                                                                                      |     EGFR    |     YES     |     0.98    |
| 634  |                                                                                            (r)-2-(1-(6-Amino-5-chloropyrimidine-4-carboxamido)ethyl)-n-(5-chloro-4-(trifluoromethyl)pyridin-2-yl)thiazole-5-carboxamide                                                                                            |     MIF     |     YES     |     0.98    |
| 635  |                                                                                                                                                     Amsacrine                                                                                                                                                      |     BST2    |     YES     |     0.98    |
| 636  |                                                                                          (R)-1-(2-oxo-2-(4-(4-(pyrimidin-2-yl)phenyl)piperazin-1-yl)ethyl)-N-(3-(pyridin-4-yl)-1H-indazol-5-yl)pyrrolidine-3-carboxamide                                                                                           |    COL4A1   |     YES     |     0.98    |
| 637  |                                                                                      (3Z)-5-fluoro-4-[2-(4-hydroxypiperidin-4-yl)ethynyl]-3-[(3-methoxy-1H-pyrrol-2-yl)methylidene]-2,3-dihydro-1H-indol-2-one hydrochloride                                                                                       |    TMEM47   |     YES     |     0.98    |
| 638  |                                                                                                                                                    Vistusertib                                                                                                                                                     |  TNFRSF12A  |     YES     |     0.98    |
| 639  |                                                                                                                                                     Asciminib                                                                                                                                                      |     BAX     |     YES     |     0.98    |
| 640  |                                                                                                                                                    Simvastatin                                                                                                                                                     |    AJUBA    |     YES     |     0.98    |
| 641  |                                                                                                                                                  Colchicine deriv                                                                                                                                                  |    ELOVL5   |     YES     |     0.98    |
| 642  |                                                                                                                                                      Lyn-IN-1                                                                                                                                                      |     NRN1    |     YES     |     0.98    |
| 643  |                                                                                                                                                     Bafetinib                                                                                                                                                      |     NRN1    |     YES     |     0.98    |
| 644  |                                                                                                                                                7-Chlorocamptothecin                                                                                                                                                |     SPP1    |     YES     |     0.98    |
| 645  |                                                                                                                                             Nandrolone phenpropionate                                                                                                                                              |     MAL2    |     YES     |     0.98    |
| 646  |                                                                 7-(5-((4-(4-(N,N-Dimethylsulfamoyl)piperazin-1-yl)phenoxy)methyl)-1,3-dimethyl-1H-pyrazol-4-yl)-1-(2-morpholinoethyl)-3-(3-(naphthalen-1-yloxy)propyl)-1H-indole-2-carboxylic acid                                                                 |    ZBTB38   |     YES     |     0.98    |
| 647  |                                                                                         (R)-5-(6-((4-methylpiperazin-1-yl)methyl)-1H-benzo[d]imidazol-1-yl)-3-(1-(2-(trifluoromethyl)phenyl)ethoxy)thiophene-2-carboxamide                                                                                         |     BAX     |     YES     |     0.98    |
| 648  |                                                                                                                                     9-Methoxy-2-methyl-1,2-dihydroellipticine                                                                                                                                      |    SH3D19   |     YES     |     0.98    |
| 649  |                                                                                                                                                       Tyverb                                                                                                                                                       |     TJP1    |     YES     |     0.98    |
| 650  |                                                                                                                                                     Glesatinib                                                                                                                                                     |    SGMS2    |     YES     |     0.98    |
| 651  |                                                                                                (3S,6R)-1-[6-(3-Amino-1H-indazol-6-yl)-2-(methylamino)-4-pyrimidinyl]-N-cyclohexyl-6-methyl-3-piperidinecarboxamide                                                                                                 |   APBB1IP   |     YES     |     0.98    |
| 652  |                                                                                                                                                     Olmutinib                                                                                                                                                      |    LITAF    |     YES     |     0.98    |
| 653  |                                                                                                                                                 Tamoxifen citrate                                                                                                                                                  |   ADAMTS1   |     YES     |     0.98    |
| 654  |                                                                                                           3-[(1R)-1-(2,6-dichloro-4-fluorophenyl)ethoxy]-5-(1-piperidin-4-ylpyrazol-4-yl)pyridin-2-amine                                                                                                           |    HMGCR    |     YES     |     0.98    |
| 655  |                                                                                                                               1H-Pyrrole-2,5-dione, 3,4-bis(1-methyl-1H-indol-3-yl)-                                                                                                                               |   ANXA2P2   |     YES     |     0.98    |
| 656  |                                                                                                                                           Bisindolylmaleimide deriv. 28                                                                                                                                            |   APBB1IP   |     YES     |     0.98    |
| 657  |                                                                                                                                                    Talazoparib                                                                                                                                                     |    SGMS2    |     YES     |     0.98    |
| 658  |                                           2-((S)-4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)-N-(4-(2-(2-(2-(2-((2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)amino)ethoxy)ethoxy)ethoxy)ethoxy)phenyl)acetamide                                           |   C19orf33  |     YES     |     0.98    |
| 659  |                                                                                           (2S)-2-[(4R)-4-[4-[(2R)-2,3-dihydroxypropoxy]phenyl]-2,5-dioxoimidazolidin-1-yl]-N-(2-fluoro-4-iodophenyl)-3-phenylbutanamide                                                                                            |    RBM24    |     YES     |     0.98    |
| 660  |                                                                                                                                                     Celecoxib                                                                                                                                                      |   SLC43A3   |     YES     |     0.98    |
| 661  |                                                                                                                                                7-Chlorocamptothecin                                                                                                                                                |    RPS4Y1   |     YES     |     0.98    |
| 662  |                                                                                                                                                     Duvelisib                                                                                                                                                      |  TNFRSF12A  |     YES     |     0.98    |
| 663  |                                                                                                                                                    Capivasertib                                                                                                                                                    |    ELOVL5   |     YES     |     0.98    |
| 664  |                                                                                                                            N-[4-(9-acridinylmethyl)-3-methoxyphenyl]methanesulfonamide                                                                                                                             |   ARHGAP29  |     YES     |     0.98    |
| 665  |                                                                                                            5-(2-Chlorophenyl)-7-fluoro-1,2-dihydro-8-methoxy-3-methylpyrazolo(3,4-b)(1,4)benzodiazepine                                                                                                            |    RPS4Y1   |     YES     |     0.98    |
| 666  |                                                                                                                                                     Tamatinib                                                                                                                                                      |    RBM24    |     YES     |     0.98    |
| 667  |                                                                                                                                                    CID 6711321                                                                                                                                                     |     CYBA    |     YES     |     0.98    |
| 668  |                                                                                                                        1H-Pyrrole-2,5-dione, 3-(1H-indol-3-yl)-4-(1-methyl-1H-indol-3-yl)-                                                                                                                         |     SDC4    |     YES     |     0.98    |
| 669  |                                                                                                          5-(7-(methylsulfonyl)-2-morpholino-6,7-dihydro-5H-pyrrolo[2,3-d]pyrimidin-4-yl)pyrimidin-2-amine                                                                                                          |    HMGCR    |     YES     |     0.98    |
| 670  |                                                                                                                                                    Nirogacestat                                                                                                                                                    |     NRN1    |     YES     |     0.98    |
| 671  |                                                                               1-{4-[4-Amino-6-(methoxymethyl)-7-(4-morpholinylmethyl)pyrrolo[2,1-f][1,2,4]triazin-5-yl]-2-fluorophenyl}-3-[2-fluoro-5-(trifluorome thyl)phenyl]urea                                                                                |     NRN1    |     YES     |     0.98    |
| 672  |                                                                                                                                                     Canertinib                                                                                                                                                     |     EGFR    |     YES     |     0.98    |
| 673  |                                                                                                                                                     Canertinib                                                                                                                                                     |     EGFR    |     YES     |     0.98    |
| 674  |                                                                                                                                           Bisindolylmaleimide deriv. 9f                                                                                                                                            |     NRP1    |     YES     |     0.98    |
| 675  |                                                                                                                                                     Brigatinib                                                                                                                                                     |    MCTP1    |     YES     |     0.98    |
| 676  |                                                                                                                                  2-Debenzoyl-2-(3',5'-difluorobenzoyl)-A-nortaxol                                                                                                                                  |    ZBTB38   |     YES     |     0.98    |
| 677  |                                                                                                                                       Camptothecin hemisuccinate sodium salt                                                                                                                                       |    TGFBI    |     YES     |     0.98    |
| 678  |                                                                                                                                                     Ebvaciclib                                                                                                                                                     |     SPP1    |     YES     |     0.98    |
| 679  |                                                                                                                                                    Afuresertib                                                                                                                                                     |   APBB1IP   |     YES     |     0.98    |
| 680  |                                                                                                                                       2-Methylellipticinium methanesulfonate                                                                                                                                       |     PTK2    |     YES     |     0.98    |
| 681  |                                                                                                                                                     Alectinib                                                                                                                                                      |    FXYD5    |     YES     |     0.98    |
| 682  |                                                                                         4-[3-[(6aR)-6,11-dioxo-6a,7,8,9-tetrahydropyrrolo[2,1-c][1,4]benzodiazepin-5-yl]but-1-en-2-yl]-N-(2-aminophenyl)-N-methylbenzamide                                                                                         |    TMEM47   |     YES     |     0.98    |
| 683  |                                                                                           (2S)-2-[(4R)-4-[4-[(2R)-2,3-dihydroxypropoxy]phenyl]-2,5-dioxoimidazolidin-1-yl]-N-(2-fluoro-4-iodophenyl)-3-phenylbutanamide                                                                                            |     NRP1    |     YES     |     0.98    |
| 684  |                                                                                                                                           Bisindolylmaleimide deriv. 17                                                                                                                                            |     PPIC    |     YES     |     0.97    |
| 685  |                                                                                                                                           Bisindolylmaleimide deriv. 57                                                                                                                                            |    AHNAK    |     YES     |     0.97    |
| 686  |                                                                                                                                                   Uracil mustard                                                                                                                                                   |     SPP1    |     YES     |     0.97    |
| 687  |                                                                                                                                                     Canertinib                                                                                                                                                     |    SGMS2    |     YES     |     0.97    |
| 688  |                                                                                               4-[[(2S)-2-(3-Chlorophenyl)-2-hydroxyethyl]amino]-3-[7-methyl-5-(4-morpholinyl)-1H-benzimidazol-2-yl]-2(1H)-pyridinone                                                                                               |     BAX     |     YES     |     0.97    |
| 689  |                                                                                                                                                     Pelitinib                                                                                                                                                      |   SLC43A3   |     YES     |     0.97    |
| 690  |                                                                             5-[[(1S,1aR,6bS)-1-[6-(trifluoromethyl)-1H-benzimidazol-2-yl]-1a,6b-dihydro-1H-cyclopropa[b][1]benzofuran-5-yl]oxy]-3,4-dihydro-1H-1,8-naphthyridin-2-one                                                                              |    PCBD1    |     YES     |     0.97    |
| 691  |                                                                                                                        2,4(1H,3H)-Pyrimidinedione, 5-fluoro-1-(tetrahydro-2-furanyl)-, (R)-                                                                                                                        |     BAX     |     YES     |     0.97    |
| 692  |                                                                                4-Methyl-1-(1h-Pyrazol-4-Ylmethyl)-5-[(4-{[6-(2,2,2-Trifluoroethyl)thieno[2,3-D]pyrimidin-4-Yl]amino}piperidin-1-Yl)methyl]-1h-Indole-2-Carbonitrile                                                                                |    PCBD1    |     YES     |     0.97    |
| 693  |                                                                                                                              1H-Pyrano[3',7]indolizino[1,2-b]quinoline,glycine deriv.                                                                                                                              |     RPL3    |     YES     |     0.97    |
| 694  |                                                                                    3-(1-Methyl-1H-indol-3-yl)-4-[[6,7,8,9-tetrahydro-12-methyl-7beta,8alpha-(methaniminomethano)pyrido[1,2-a]indol]-10-yl]-1H-pyrrole-2,5-dione                                                                                    |   SLC43A3   |     YES     |     0.97    |
| 695  |                                                                                                                                                   CID 122412735                                                                                                                                                    |    HMGCR    |     YES     |     0.97    |
| 696  |                                                                                                                                               7-Hydroxystaurosporine                                                                                                                                               |    ELOVL5   |     YES     |     0.97    |
| 697  |                                                                                             (S)-(+)-tert-Butyl 2-(4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepin-6-yl)acetate                                                                                              |    MCTP1    |     YES     |     0.97    |
| 698  |                                                                                                                                                    Abexinostat                                                                                                                                                     |    LITAF    |     YES     |     0.97    |
| 699  |                                                                                                                                                    Pracinostat                                                                                                                                                     |   APBB1IP   |     YES     |     0.97    |
| 700  |                                                  Octanoic acid,3aR,4S,6S,6aR,7S,8S,9bS)-6-(acetyloxy)-2,3,3a,4,5,6,6a,7,8,9b-decahydro-3,3a-dihydroxy-3,6,9-trimethyl-8-[[(2Z)-2-methyl-1-oxo-2-butenyl]oxy]-2-oxo-4-(1-oxobutoxy)azuleno[4,5-b]furan-7-yl ester                                                   |    COL4A1   |     YES     |     0.97    |
| 701  |                                                                                                                                                     Dasatinib                                                                                                                                                      |     ABL1    |     YES     |     0.97    |
| 702  |                                                                                                                                                     Ensartinib                                                                                                                                                     |    ITGB3    |     YES     |     0.97    |
| 703  |                                                                                                                                                     Delanzomib                                                                                                                                                     |    TMEM47   |     YES     |     0.97    |
| 704  |                                                                              [(4E,6Z,10Z)-20,22-dihydroxy-13,14,17-trimethoxy-4,8,10,12,16-pentamethyl-3-oxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18(22),19-hexaen-9-yl] carbamate                                                                              |     HEG1    |     YES     |     0.97    |
| 705  |                                                                                                                          2-(6-Amino-2-fluoropurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol                                                                                                                          |   ARHGAP29  |     YES     |     0.97    |
| 706  |                                                                                                                   5-Amino-1-(4-fluorophenyl)-4-[3-(3-morpholin-4-ylprop-1-ynyl)benzoyl]pyrazole                                                                                                                    |    LITAF    |     YES     |     0.97    |
| 707  |                                                                                             4-((4-(Cyclopentyloxy)-5-(2-methylbenzo[d]oxazol-6-yl)-7H-pyrrolo-[2,3-d]pyrimidin-2-yl)amino)-3-methoxy-N-methylbenzamide                                                                                             |    MCTP1    |     YES     |     0.97    |
| 708  |                                                                                                                                         (Phenylindolyl)maleimide deriv. 66                                                                                                                                         |   ARHGAP29  |     YES     |     0.97    |
| 709  |                                                                                                              (5Z)-2-[2-(4-chlorophenyl)ethylimino]-5-(quinolin-6-ylmethylidene)-1,3-thiazolidin-4-one                                                                                                              |     BAX     |     YES     |     0.97    |
| 710  |                                                                                                                                  9-Glycinamido-20(RS)-camptothecin hydrochloride                                                                                                                                   |     CDK1    |     YES     |     0.97    |
| 711  |                                                                                                     1-(5-(4-amino-7-methyl-7H-pyrrolo[2,3-d]pyrimidin-5-yl)indolin-1-yl)-2-(3-(trifluoromethyl)phenyl)ethanone                                                                                                     |    HMGCR    |     YES     |     0.97    |
| 712  |                                                                                                                        N-(2-amino-phenyl)-4-(1-{[benzyl(methyl)amino]methyl}vinyl)benzamide                                                                                                                        |    TMEM47   |     YES     |     0.97    |
| 713  |                                                                                                                                         (Phenylindolyl)maleimide deriv. 66                                                                                                                                         |     RPL3    |     YES     |     0.97    |
| 714  |                                                                                                                                                    Altiratinib                                                                                                                                                     |    ABLIM1   |     YES     |     0.97    |
| 715  |                                                                                                                       (5Z)-2-benzylimino-5-(quinolin-6-ylmethylidene)-1,3-thiazolidin-4-one                                                                                                                        |   ADAMTS1   |     YES     |     0.97    |
| 716  |                                                                                                                                                     Alectinib                                                                                                                                                      |    HMGCR    |     YES     |     0.97    |
| 717  |                                                                                                                    5-(2-Chlorophenyl)-7-nitro-2,10-dihydrobenzo[e]pyrazolo[4,3-b][1,4]diazepine                                                                                                                    |     SPP1    |     YES     |     0.97    |
| 718  |                                                                                                      6-(2,4-Difluorophenoxy)-8-cyclopropyl-2-(tetrahydro-2h-pyran-4-ylamino)pyrido[2,3-d]pyrimidin-7(8h)-one                                                                                                       |    PCBD1    |     YES     |     0.97    |
| 719  |                                                                                                              4-(1-isopropyl-2-methyl-1H-imidazol-5-yl)-N-(4-(methylsulfonyl)phenyl)pyrimidin-2-amine                                                                                                               |    HMGCR    |     YES     |     0.97    |
| 720  |                                                                                                                        3-Amino-6-(4-(methylsulfonyl)phenyl)-N-phenylpyrazine-2-carboxamide                                                                                                                         |    AHNAK    |     YES     |     0.97    |
| 721  |                                                                                                                                                    Talazoparib                                                                                                                                                     |     SDC4    |     YES     |     0.97    |
| 722  |                                                                                                                                                     Lapatinib                                                                                                                                                      |     EGFR    |     YES     |     0.97    |
| 723  |                                                                                                                                                    Encorafenib                                                                                                                                                     |     CD24    |     YES     |     0.97    |
| 724  |                                                                                                     N-{[(3s)-3-Amino-1-(5-Ethyl-7h-Pyrrolo[2,3-D]pyrimidin-4-Yl)pyrrolidin-3-Yl]methyl}-2,4-Difluorobenzamide                                                                                                      |    RPS4Y1   |     YES     |     0.97    |
| 725  |                                                                                                                                                    Leflunomide                                                                                                                                                     |    DHODH    |     YES     |     0.97    |
| 726  |                                                                                                                                         (Phenylindolyl)maleimide deriv. 66                                                                                                                                         |     APP     |     YES     |     0.97    |
| 727  |                                                                                                                        1H-Pyrrole-2,5-dione, 3-(1H-indol-3-yl)-4-(1-methyl-1H-indol-3-yl)-                                                                                                                         |    SGMS2    |     YES     |     0.97    |
| 728  |                                                                                                                                                    Niclosamide                                                                                                                                                     |     BAX     |     YES     |     0.97    |
| 729  |                                                                                                                                                    Niclosamide                                                                                                                                                     |     BAX     |     YES     |     0.97    |
| 730  |                                                                                                                                    Pyrazolo[4,3-h]quinazoline-3-carboxamide, 29                                                                                                                                    |     MIF     |     YES     |     0.97    |
| 731  |                                                                                                                                                   CO-Vidarabine                                                                                                                                                    |     APP     |     YES     |     0.97    |
| 732  |                                                                                                                                                    Cyclodisone                                                                                                                                                     |     PLS3    |     YES     |     0.97    |
| 733  |                                                                                         4-[3-[(6aR)-6,11-dioxo-6a,7,8,9-tetrahydropyrrolo[2,1-c][1,4]benzodiazepin-5-yl]but-1-en-2-yl]-N-(2-aminophenyl)-N-methylbenzamide                                                                                         |    IFI16    |     YES     |     0.97    |
| 734  |                                                                                                                                                     Copanlisib                                                                                                                                                     |    PIK3CA   |     YES     |     0.97    |
| 735  |                                                                                                                                                     Copanlisib                                                                                                                                                     |    PIK3CA   |     YES     |     0.97    |
| 736  |                                                                                                                                                     Gefitinib                                                                                                                                                      |     EGFR    |     YES     |     0.97    |
