,Term,Adjusted P-value,Genes,drug
5,Allograft Rejection,0.0004489867476933652,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,141549
6,Xenobiotic Metabolism,0.0029697461326888,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,141549
7,Spermatogenesis,0.003004149899123,CDK1;NEK2;TTK;HSPA2;AURKA,141549
8,UV Response Dn,0.0035762314149313,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,141549
9,Apical Junction,0.0123887890362058,KCNH2;SYK;CDH11;MAPK14;EGFR,141549
10,KRAS Signaling Up,0.0123887890362058,MAP4K1;CA2;PTGS2;EPHB2;CTSS,141549
11,Mitotic Spindle,0.0463128879593117,CDK1;NEK2;TTK;AURKA,141549
12,TNF-alpha Signaling via NF-kB,0.0463128879593117,MAP2K3;PLK2;SIK1;PTGS2,141549
13,Estrogen Response Late,0.0463128879593117,RET;CA2;PGR;HPRT1,141549
14,Myc Targets V1,0.0463128879593117,HDAC2;CDK4;RUVBL2;HPRT1,141549
15,Glycolysis,0.0463128879593117,CDK1;MERTK;EGFR;AURKA,141549
0,Allograft Rejection,0.0001841503347903085,CD8B;SIT1;IL1B;CD7;IL2RG;CD3E;CD3D;ELANE,143020
1,Epithelial Mesenchymal Transition,0.0063378728441531,COL3A1;COL1A2;MMP1;MGP;MMP3;BGN,143020
0,E2F Targets,2.5939261824343477e-06,POLE4;PLK4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK;AURKA,143095
1,G2-M Checkpoint,0.00010066884968536863,PLK4;CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,143095
2,Complement,0.00010066884968536863,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,143095
3,UV Response Up,0.00014905477018829628,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;HSPA2,143095
4,Allograft Rejection,0.0005387840972320382,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,143095
5,PI3K/AKT/mTOR  Signaling,0.0012552539342791,MAP2K3;CDK4;LCK;CDK1;EGFR,143095
6,Xenobiotic Metabolism,0.0029697461326888,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,143095
7,Spermatogenesis,0.003004149899123,CDK1;NEK2;TTK;HSPA2;AURKA,143095
8,UV Response Dn,0.0035762314149313,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,143095
9,Estrogen Response Late,0.0113563899498553,PLK4;RET;CA2;PGR;HPRT1,143095
10,Apical Junction,0.0113563899498553,KCNH2;SYK;CDH11;MAPK14;EGFR,143095
11,KRAS Signaling Up,0.0113563899498553,MAP4K1;CA2;PTGS2;EPHB2;CTSS,143095
12,DNA Repair,0.0215463881923554,POLE4;LIG1;HPRT1;ADA,143095
13,Mitotic Spindle,0.0411670115193881,CDK1;NEK2;TTK;AURKA,143095
14,IL-2/STAT5 Signaling,0.0411670115193881,CA2;PIM1;AHR;HIPK2,143095
15,TNF-alpha Signaling via NF-kB,0.0411670115193881,MAP2K3;PLK2;SIK1;PTGS2,143095
16,Myc Targets V1,0.0411670115193881,HDAC2;CDK4;RUVBL2;HPRT1,143095
17,Glycolysis,0.0411670115193881,CDK1;MERTK;EGFR;AURKA,143095
0,Complement,2.898452351012945e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,145668
1,E2F Targets,0.0001473202678322468,POLE4;PLK4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK,145668
2,UV Response Up,0.00019389238398477565,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,145668
3,Xenobiotic Metabolism,0.0040562386202579,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,145668
4,Allograft Rejection,0.0040562386202579,MAP4K1;ITK;ZAP70;LCK;ITGAL;CTSS,145668
5,UV Response Dn,0.0052335093877044,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,145668
6,DNA Repair,0.0053889022509157,POLE4;POLB;LIG1;HPRT1;ADA,145668
7,PI3K/AKT/mTOR  Signaling,0.009556765261425,MAP2K3;LCK;CDK1;RAF1,145668
8,G2-M Checkpoint,0.0120866234499569,PLK4;CHEK1;CDK1;TTK;MAPK14,145668
9,Estrogen Response Late,0.0120866234499569,PLK4;RET;CA2;PGR;HPRT1,145668
10,KRAS Signaling Up,0.0120866234499569,MAP4K1;CA2;PTGS2;EPHB2;CTSS,145668
11,IL-2/STAT5 Signaling,0.0481955256812349,CA2;PIM1;AHR;HIPK2,145668
12,TNF-alpha Signaling via NF-kB,0.0481955256812349,MAP2K3;PLK2;SIK1;PTGS2,145668
13,Apical Junction,0.0481955256812349,KCNH2;SYK;CDH11;MAPK14,145668
14,Inflammatory Response,0.0481955256812349,AXL;LCK;AHR;RAF1,145668
0,Allograft Rejection,0.0136898053433707,SIT1;CD7;IL2RG;CD3E;CD3D;ELANE,148958
1,Epithelial Mesenchymal Transition,0.0299143930386433,COL3A1;MMP1;MGP;MMP3;BGN,148958
2,KRAS Signaling Up,0.0299143930386433,SERPINA3;ABCB1;ALDH1A2;TSPAN7;IL2RG,148958
0,Complement,2.8259910422376216e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,153353
1,UV Response Up,0.0002835676115777344,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;HSPA2,153353
2,E2F Targets,0.0049435408184394,POLE4;WEE1;MELK;CHEK1;CDK1;DCK,153353
3,Allograft Rejection,0.0049435408184394,MAP4K1;ITK;ZAP70;LCK;ITGAL;CTSS,153353
4,UV Response Dn,0.0061232059836142,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,153353
5,PI3K/AKT/mTOR  Signaling,0.0124237948398525,MAP2K3;LCK;CDK1;RAF1,153353
6,G2-M Checkpoint,0.0144032262778653,CHEK1;CDK1;NEK2;TTK;MAPK14,153353
7,Xenobiotic Metabolism,0.0144032262778653,ALDH2;CA2;AKR1C3;HPRT1;ESR1,153353
8,KRAS Signaling Up,0.0144032262778653,MAP4K1;CA2;PTGS2;EPHB2;CTSS,153353
9,Spermatogenesis,0.0184171016013334,CDK1;NEK2;TTK;HSPA2,153353
0,Epithelial Mesenchymal Transition,0.0076054474129837,SFRP4;POSTN;COL1A2;MMP1;MGP;MMP3,154948
1,Allograft Rejection,0.0076054474129837,SIT1;CD7;IL2RG;CD3E;CD3D;ELANE,154948
0,Allograft Rejection,0.0152108948259674,SIT1;CD7;IL2RG;CD3E;CD3D;ELANE,156303
1,Epithelial Mesenchymal Transition,0.0498573217310722,COL3A1;MMP1;MGP;MMP3;BGN,156303
0,Complement,2.554295198850529e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,163501
1,UV Response Up,2.554295198850529e-05,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;TYRO3;HSPA2,163501
2,E2F Targets,0.0006570537771122417,POLE4;WEE1;MELK;CHEK1;CDK1;DCK;AURKA,163501
3,Allograft Rejection,0.0006570537771122417,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,163501
4,PI3K/AKT/mTOR  Signaling,0.001469565581595,MAP2K3;LCK;CDK1;RAF1;EGFR,163501
5,G2-M Checkpoint,0.0033495748004159,CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,163501
6,Spermatogenesis,0.0033495748004159,CDK1;NEK2;TTK;HSPA2;AURKA,163501
7,UV Response Dn,0.0039251320407783,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,163501
10,KRAS Signaling Up,0.0120866234499569,MAP4K1;CA2;PTGS2;EPHB2;CTSS,163501
8,Apical Junction,0.0120866234499569,KCNH2;SYK;CDH11;MAPK14;EGFR,163501
9,Xenobiotic Metabolism,0.0120866234499569,ALDH2;CA2;AKR1C3;HPRT1;ESR1,163501
15,Inflammatory Response,0.0425254638363837,AXL;LCK;AHR;RAF1,163501
11,Mitotic Spindle,0.0425254638363837,CDK1;NEK2;TTK;AURKA,163501
12,IL-2/STAT5 Signaling,0.0425254638363837,CA2;PIM1;AHR;HIPK2,163501
13,TNF-alpha Signaling via NF-kB,0.0425254638363837,MAP2K3;PLK2;SIK1;PTGS2,163501
14,Estrogen Response Late,0.0425254638363837,RET;CA2;PGR;HPRT1,163501
16,Glycolysis,0.0425254638363837,CDK1;MERTK;EGFR;AURKA,163501
0,Complement,2.4265804389080026e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,164011
1,UV Response Up,2.4265804389080026e-05,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;TYRO3;HSPA2,164011
2,E2F Targets,9.33028362937563e-05,POLE4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK;AURKA,164011
3,G2-M Checkpoint,0.0031820960603951,CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,164011
4,Xenobiotic Metabolism,0.0031820960603951,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,164011
5,Allograft Rejection,0.0031820960603951,MAP4K1;ITK;ZAP70;LCK;ITGAL;CTSS,164011
6,Spermatogenesis,0.0031820960603951,CDK1;NEK2;TTK;HSPA2;AURKA,164011
7,UV Response Dn,0.0037288754387394,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,164011
8,PI3K/AKT/mTOR  Signaling,0.00807015733187,MAP2K3;LCK;CDK1;RAF1,164011
9,KRAS Signaling Up,0.0126305215052049,MAP4K1;CA2;PTGS2;EPHB2;CTSS,164011
10,DNA Repair,0.023600700148611,POLE4;LIG1;HPRT1;ADA,164011
11,Mitotic Spindle,0.0429241400598498,CDK1;NEK2;TTK;AURKA,164011
12,TNF-alpha Signaling via NF-kB,0.0429241400598498,MAP2K3;PLK2;SIK1;PTGS2,164011
13,Estrogen Response Late,0.0429241400598498,RET;CA2;PGR;HPRT1,164011
14,Apical Junction,0.0429241400598498,KCNH2;SYK;CDH11;MAPK14,164011
15,Inflammatory Response,0.0429241400598498,AXL;LCK;AHR;RAF1,164011
0,Complement,1.4854568298941343e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,167780
1,E2F Targets,1.4854568298941343e-05,POLE4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK;AURKA,167780
2,PI3K/AKT/mTOR  Signaling,0.00014905477018829628,MAP2K3;CDK4;LCK;CDK1;RAF1;EGFR,167780
3,UV Response Up,0.00014905477018829628,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;HSPA2,167780
4,G2-M Checkpoint,0.0004489867476933652,CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,167780
5,Allograft Rejection,0.0004489867476933652,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,167780
6,Xenobiotic Metabolism,0.0029697461326888,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,167780
7,Spermatogenesis,0.003004149899123,CDK1;NEK2;TTK;HSPA2;AURKA,167780
8,UV Response Dn,0.0035762314149313,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,167780
10,KRAS Signaling Up,0.0123887890362058,MAP4K1;CA2;PTGS2;EPHB2;CTSS,167780
9,Apical Junction,0.0123887890362058,KCNH2;SYK;CDH11;MAPK14;EGFR,167780
11,DNA Repair,0.0233419205417183,POLE4;LIG1;HPRT1;ADA,167780
12,Mitotic Spindle,0.0390003267025782,CDK1;NEK2;TTK;AURKA,167780
13,IL-2/STAT5 Signaling,0.0390003267025782,CA2;PIM1;AHR;HIPK2,167780
14,TNF-alpha Signaling via NF-kB,0.0390003267025782,MAP2K3;PLK2;SIK1;PTGS2,167780
15,Estrogen Response Late,0.0390003267025782,RET;CA2;PGR;HPRT1,167780
16,Myc Targets V1,0.0390003267025782,HDAC2;CDK4;RUVBL2;HPRT1,167780
17,Inflammatory Response,0.0390003267025782,AXL;LCK;AHR;RAF1,167780
18,Glycolysis,0.0390003267025782,CDK1;MERTK;EGFR;AURKA,167780
0,Epithelial Mesenchymal Transition,0.0070984175854514,POSTN;COL3A1;MMP1;MGP;MMP3;BGN,169780
1,Allograft Rejection,0.0070984175854514,CD8B;SIT1;CD7;CD3E;CD3D;ELANE,169780
2,Angiogenesis,0.0071696523135994,POSTN;COL3A1;PRG2,169780
0,Complement,2.4673931979253548e-06,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS;PIK3CG,172112
1,UV Response Up,0.0002835676115777344,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,172112
2,E2F Targets,0.0006406274326844358,POLE4;WEE1;MELK;CHEK1;CDK1;DCK;AURKA,172112
3,Allograft Rejection,0.0006406274326844358,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,172112
4,UV Response Dn,0.0061232059836142,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,172112
5,PI3K/AKT/mTOR  Signaling,0.0124237948398525,LCK;CDK1;RAF1;EGFR,172112
6,G2-M Checkpoint,0.0129629036500787,CHEK1;CDK1;TTK;MAPK14;AURKA,172112
7,Apical Junction,0.0129629036500787,KCNH2;SYK;CDH11;MAPK14;EGFR,172112
8,Xenobiotic Metabolism,0.0129629036500787,ALDH2;CA2;AKR1C3;HPRT1;ESR1,172112
9,KRAS Signaling Up,0.0129629036500787,MAP4K1;CA2;PTGS2;EPHB2;CTSS,172112
10,Spermatogenesis,0.0167428196375758,CDK1;TTK;HSPA2;AURKA,172112
11,Androgen Response,0.0449207129555073,STK39;PTK2B;MERTK,172112
12,Mitotic Spindle,0.046990637539204,CDK1;TTK;MARK4;AURKA,172112
13,Estrogen Response Late,0.046990637539204,RET;CA2;PGR;HPRT1,172112
14,Glycolysis,0.046990637539204,CDK1;MERTK;EGFR;AURKA,172112
0,UV Response Up,4.9808756377585315e-05,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;TYRO3;HSPA2,174121
1,Complement,0.00014363726113644063,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,174121
2,E2F Targets,0.0006406274326844358,POLE4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK,174121
3,Allograft Rejection,0.0006406274326844358,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,174121
4,Xenobiotic Metabolism,0.0039548326547515,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,174121
5,UV Response Dn,0.0051026716530118,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,174121
6,PI3K/AKT/mTOR  Signaling,0.0106489670055879,MAP2K3;LCK;CDK1;EGFR,174121
7,Apical Junction,0.0144032262778653,KCNH2;SYK;CDH11;MAPK14;EGFR,174121
8,KRAS Signaling Up,0.0144032262778653,MAP4K1;CA2;PTGS2;EPHB2;CTSS,174121
9,DNA Repair,0.0266439483256687,POLE4;LIG1;HPRT1;ADA,174121
0,E2F Targets,2.5939261824343477e-06,POLE4;PLK4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK;AURKA,176323
1,Complement,0.00015100327452805296,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,176323
2,UV Response Up,0.00019873969358439505,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,176323
3,G2-M Checkpoint,0.0005387840972320382,PLK4;CDK4;CHEK1;CDK1;TTK;MAPK14;AURKA,176323
4,Allograft Rejection,0.0005387840972320382,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,176323
5,PI3K/AKT/mTOR  Signaling,0.0012552539342791,MAP2K3;CDK4;LCK;CDK1;EGFR,176323
6,Xenobiotic Metabolism,0.0029697461326888,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,176323
7,UV Response Dn,0.0040232603417978,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,176323
10,KRAS Signaling Up,0.0123887890362058,MAP4K1;CA2;PTGS2;EPHB2;CTSS,176323
8,Estrogen Response Late,0.0123887890362058,PLK4;RET;CA2;PGR;HPRT1,176323
9,Apical Junction,0.0123887890362058,KCNH2;SYK;CDH11;MAPK14;EGFR,176323
11,Spermatogenesis,0.0161346402917664,CDK1;TTK;HSPA2;AURKA,176323
12,DNA Repair,0.0215463881923554,POLE4;LIG1;HPRT1;ADA,176323
13,Androgen Response,0.0404780050807868,STK39;PTK2B;MERTK,176323
16,Myc Targets V1,0.0411670115193881,HDAC2;CDK4;RUVBL2;HPRT1,176323
14,IL-2/STAT5 Signaling,0.0411670115193881,CA2;PIM1;AHR;HIPK2,176323
15,TNF-alpha Signaling via NF-kB,0.0411670115193881,MAP2K3;PLK2;SIK1;PTGS2,176323
17,Glycolysis,0.0411670115193881,CDK1;MERTK;EGFR;AURKA,176323
0,Complement,1.2843693246543035e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,178248
1,E2F Targets,1.2843693246543035e-05,POLE4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK;AURKA,178248
2,PI3K/AKT/mTOR  Signaling,1.2843693246543035e-05,MAP2K3;TBK1;CDK4;LCK;CDK1;RAF1;EGFR,178248
3,UV Response Up,0.00014541928798858175,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;HSPA2,178248
4,G2-M Checkpoint,0.0004380358514081612,CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,178248
5,Allograft Rejection,0.0004380358514081612,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,178248
6,Xenobiotic Metabolism,0.0028973133001842,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,178248
7,Spermatogenesis,0.0029308779503639,CDK1;NEK2;TTK;HSPA2;AURKA,178248
8,UV Response Dn,0.0034890062584696,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,178248
11,KRAS Signaling Up,0.0110794048291271,MAP4K1;CA2;PTGS2;EPHB2;CTSS,178248
9,Mitotic Spindle,0.0110794048291271,CDK1;NEK2;TTK;MARK4;AURKA,178248
10,Apical Junction,0.0110794048291271,KCNH2;SYK;CDH11;MAPK14;EGFR,178248
12,DNA Repair,0.0210208665291272,POLE4;LIG1;HPRT1;ADA,178248
18,Inflammatory Response,0.0361466442609262,AXL;LCK;AHR;RAF1,178248
13,Androgen Response,0.0361466442609262,STK39;PTK2B;MERTK,178248
14,TNF-alpha Signaling via NF-kB,0.0361466442609262,MAP2K3;PLK2;SIK1;PTGS2,178248
15,Estrogen Response Late,0.0361466442609262,RET;CA2;PGR;HPRT1,178248
16,mTORC1 Signaling,0.0361466442609262,MAP2K3;TBK1;HPRT1;AURKA,178248
17,Myc Targets V1,0.0361466442609262,HDAC2;CDK4;RUVBL2;HPRT1,178248
19,Glycolysis,0.0361466442609262,CDK1;MERTK;EGFR;AURKA,178248
0,E2F Targets,2.530659690179851e-06,POLE4;PLK4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK;AURKA,182986
1,Complement,1.4492261755064726e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,182986
2,UV Response Up,1.7028634659003527e-05,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;TYRO3;HSPA2,182986
3,G2-M Checkpoint,7.36601339161234e-05,PLK4;CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,182986
4,PI3K/AKT/mTOR  Signaling,0.00011594243090774844,MAP2K3;CDK4;LCK;CDK1;RAF1;EGFR,182986
5,Xenobiotic Metabolism,0.0028973133001842,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,182986
6,Allograft Rejection,0.0028973133001842,MAP4K1;ZAP70;LCK;ITGAL;EGFR;CTSS,182986
7,Spermatogenesis,0.0029308779503639,CDK1;NEK2;TTK;HSPA2;AURKA,182986
8,UV Response Dn,0.0034890062584696,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,182986
12,KRAS Signaling Up,0.0102271429191943,MAP4K1;CA2;PTGS2;EPHB2;CTSS,182986
11,Apical Junction,0.0102271429191943,KCNH2;SYK;CDH11;MAPK14;EGFR,182986
9,Myc Targets V2,0.0102271429191943,PLK4;CDK4;MAP3K6,182986
10,Estrogen Response Late,0.0102271429191943,PLK4;RET;CA2;PGR;HPRT1,182986
13,DNA Repair,0.019519376062761,POLE4;LIG1;HPRT1;ADA,182986
17,Inflammatory Response,0.0380490992220275,AXL;LCK;AHR;RAF1,182986
14,Mitotic Spindle,0.0380490992220275,CDK1;NEK2;TTK;AURKA,182986
15,TNF-alpha Signaling via NF-kB,0.0380490992220275,MAP2K3;PLK2;SIK1;PTGS2,182986
16,Myc Targets V1,0.0380490992220275,HDAC2;CDK4;RUVBL2;HPRT1,182986
18,Glycolysis,0.0380490992220275,CDK1;MERTK;EGFR;AURKA,182986
0,Complement,2.8259910422376216e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,184692
1,PI3K/AKT/mTOR  Signaling,0.0002826096753376368,MAP2K3;LCK;CSNK2B;CDK1;RAF1;EGFR,184692
2,Allograft Rejection,0.0008541699102459143,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,184692
3,UV Response Up,0.0013931542829222,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,184692
4,E2F Targets,0.0032956938789596,POLE4;WEE1;MELK;CHEK1;CDK1;DCK,184692
5,Xenobiotic Metabolism,0.0032956938789596,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,184692
6,UV Response Dn,0.0043737185597244,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,184692
7,G2-M Checkpoint,0.0129629036500787,CHEK1;CDK1;NEK2;TTK;MAPK14,184692
8,Apical Junction,0.0129629036500787,KCNH2;SYK;CDH11;MAPK14;EGFR,184692
9,KRAS Signaling Up,0.0129629036500787,MAP4K1;CA2;PTGS2;EPHB2;CTSS,184692
10,Spermatogenesis,0.0167428196375758,CDK1;NEK2;TTK;HSPA2,184692
11,Androgen Response,0.0449207129555073,STK39;PTK2B;MERTK,184692
0,Epithelial Mesenchymal Transition,0.0065913877579192,SFRP4;POSTN;COL3A1;MMP1;MGP;MMP3,218321
1,Allograft Rejection,0.0065913877579192,SIT1;CD7;IL2RG;CD3E;CD3D;ELANE,218321
2,Angiogenesis,0.0066575342911994,POSTN;COL3A1;PRG2,218321
0,Complement,2.9709136597882687e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS;PIK3CG,224131
1,E2F Targets,0.00015100327452805296,POLE4;WEE1;MELK;CDK4;CHEK1;CDK1;DCK;AURKA,224131
2,UV Response Up,0.00019873969358439505,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,224131
3,G2-M Checkpoint,0.0005387840972320382,CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,224131
4,Allograft Rejection,0.0005387840972320382,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,224131
5,PI3K/AKT/mTOR  Signaling,0.0012552539342791,TBK1;CDK4;LCK;CDK1;EGFR,224131
6,Xenobiotic Metabolism,0.0029697461326888,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,224131
7,Spermatogenesis,0.003004149899123,CDK1;NEK2;TTK;HSPA2;AURKA,224131
8,UV Response Dn,0.0035762314149313,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,224131
9,Apical Junction,0.0123887890362058,KCNH2;SYK;CDH11;MAPK14;EGFR,224131
10,KRAS Signaling Up,0.0123887890362058,MAP4K1;CA2;PTGS2;EPHB2;CTSS,224131
11,Androgen Response,0.0463128879593117,STK39;PTK2B;MERTK,224131
12,Mitotic Spindle,0.0463128879593117,CDK1;NEK2;TTK;AURKA,224131
13,Estrogen Response Late,0.0463128879593117,RET;CA2;PGR;HPRT1,224131
14,Myc Targets V1,0.0463128879593117,HDAC2;CDK4;RUVBL2;HPRT1,224131
15,Glycolysis,0.0463128879593117,CDK1;MERTK;EGFR;AURKA,224131
0,E2F Targets,2.898452351012945e-05,POLE4;PLK4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK;AURKA,241240
1,Complement,0.0001473202678322468,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,241240
2,UV Response Up,0.00019389238398477565,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,241240
3,Allograft Rejection,0.0006570537771122417,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,241240
4,G2-M Checkpoint,0.0028973133001842,PLK4;CHEK1;CDK1;TTK;MAPK14;AURKA,241240
5,Apical Junction,0.0028973133001842,KCNH2;MAP4K2;SYK;CDH11;MAPK14;EGFR,241240
6,Xenobiotic Metabolism,0.0028973133001842,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,241240
7,UV Response Dn,0.0039251320407783,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,241240
8,Estrogen Response Late,0.0132952857949526,PLK4;RET;CA2;PGR;HPRT1,241240
9,KRAS Signaling Up,0.0132952857949526,MAP4K1;CA2;PTGS2;EPHB2;CTSS,241240
10,Spermatogenesis,0.017172122705206,CDK1;TTK;HSPA2;AURKA,241240
11,DNA Repair,0.0227726054065545,POLE4;LIG1;HPRT1;ADA,241240
12,PI3K/AKT/mTOR  Signaling,0.0484321261154182,LCK;CDK1;EGFR,241240
0,Epithelial Mesenchymal Transition,0.0070984175854514,POSTN;COL3A1;MMP1;MGP;MMP3;BGN,246131
1,Allograft Rejection,0.0070984175854514,SIT1;CD7;IL2RG;CD3E;CD3D;ELANE,246131
2,Angiogenesis,0.0071696523135994,POSTN;COL3A1;PRG2,246131
0,Complement,0.0002971024792011053,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,249910
1,PI3K/AKT/mTOR  Signaling,0.0002971024792011053,MAP2K3;TBK1;CDK4;LCK;CDK1;EGFR,249910
2,E2F Targets,0.0006734801215400478,POLE4;WEE1;MELK;CDK4;CHEK1;CDK1;DCK,249910
3,Allograft Rejection,0.0006734801215400478,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,249910
4,UV Response Up,0.0011716784738422,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,249910
5,Xenobiotic Metabolism,0.0034647038214703,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,249910
6,UV Response Dn,0.0045980118191974,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,249910
7,G2-M Checkpoint,0.0136276679398264,CDK4;CHEK1;CDK1;TTK;MAPK14,249910
8,Apical Junction,0.0136276679398264,KCNH2;SYK;CDH11;MAPK14;EGFR,249910
9,KRAS Signaling Up,0.0136276679398264,MAP4K1;CA2;PTGS2;EPHB2;CTSS,249910
10,Androgen Response,0.0494004138232658,STK39;PTK2B;MERTK,249910
11,IL-2/STAT5 Signaling,0.0494004138232658,CA2;PIM1;AHR;HIPK2,249910
12,TNF-alpha Signaling via NF-kB,0.0494004138232658,MAP2K3;PLK2;SIK1;PTGS2,249910
13,Estrogen Response Late,0.0494004138232658,RET;CA2;PGR;HPRT1,249910
14,Myc Targets V1,0.0494004138232658,HDAC2;CDK4;RUVBL2;HPRT1,249910
0,Allograft Rejection,0.0103703899535991,CD8B;SIT1;CD7;CD3E;CD3D;ELANE,249992
1,Angiogenesis,0.0103703899535991,POSTN;COL3A1;PRG2,249992
2,Epithelial Mesenchymal Transition,0.0299143930386433,POSTN;COL3A1;MMP1;MGP;MMP3,249992
0,Allograft Rejection,0.0019711613313367,SIT1;IL1B;CD7;IL2RG;CD3E;CD3D;ELANE,256439
1,Epithelial Mesenchymal Transition,0.0498573217310722,COL3A1;MMP1;MGP;MMP3;BGN,256439
