Drug,Cell
Doxorubicin_1386,HCC1599
Obatoclax Mesylate,BB65-RCC
ZSTK474,Hs-445
Refametinib_1014,KP-2
AR-42,COR-L321
Ispinesib Mesylate,NCI-H1869
Cytarabine,A549
AT-7519,RH-18
Sepantronium bromide,ME-180
Obatoclax Mesylate,OVISE
Omipalisib,NCI-H1770
A-770041,LB1047-RCC
Vinblastine,KM-H2
Obatoclax Mesylate,CGTH-W-1
Obatoclax Mesylate,SW982
Shikonin,EVSA-T
Pevonedistat,K2
ZSTK474,WIL2-NS
Tivozanib,SU-DHL-16
TW 37,U-87-MG
Omipalisib,MZ7-mel
Vinblastine,NCI-H1944
NSC319726,TE-4
AR-42,A101D
NSC319726,OSC-19
Tanespimycin,NCI-H720
CGP-60474,RPMI-8226
Docetaxel,SLVL
Sepantronium bromide,ESS-1
VX-11e,HCT-116
BAY-MPS-combo 2 (paclitaxel 1 uM),NCI-H82
Omipalisib,CCK-81
Rapamycin,OCUB-M
WYE-125132,VCaP
Omipalisib,HCT-116
JW-7-24-1,MOLT-13
AR-42,Hep3B2-1-7
Ispinesib Mesylate,NCI-H82
Dasatinib,MZ2-MEL
NSC319726,OPM-2
AT-7519,PCI-38
Rapamycin,BC-1
AR-42,RS4-11
CD532,MHH-PREB-1
TW 37,Ramos-2G6-4C10
NSC319726,U-118-MG
Omipalisib,COR-L321
IOX2,A172
Sepantronium bromide,NCI-H1770
Torin 2,DND-41
Belinostat,RL
Docetaxel,KYSE-70
PI-103,RL
Sunitinib,GA-10
Obatoclax Mesylate,RPMI-6666
Vinblastine,NCI-H2009
GSK1059615,SK-MEL-30
GSK1059615,COLO-800
Docetaxel,NCI-H1975
Tanespimycin,UMC-11
Belinostat,NCI-H1975
IOX2,ES-2
JW-7-24-1,WIL2-NS
AR-42,L-1236
(5Z)-7-Oxozeaenol,RCC-JW
Apitolisib,CAL-33
Docetaxel,CP66-MEL
TW 37,NCI-H2342
CGP-60474,HOP-62
Omipalisib,U031
Vinblastine,COR-L321
AR-42,RT-112
CD532,HCC1599
IMD-0354,D-247MG
Sepantronium bromide,IGR-37
AR-42,A3-KAW
Docetaxel,NB7
Docetaxel,SK-LU-1
Ispinesib Mesylate,NCI-H209
BAY-61-3606,NCI-H1975
NSC319726,RT-112
AZD8931,OE19
Torin 2,LU-139
Doxorubicin_1386,ST486
IC-87114,HAL-01
LDN-193189,SK-ES-1
GW441756,OCI-LY-19
WYE-125132,EPLC-272H
Omipalisib,NCI-H661
AZD6482_1066,OCUB-M
JW-7-24-1,ZR-75-30
Ispinesib Mesylate,COR-L311
Obatoclax Mesylate,HT-144
AR-42,RF-48
Doxorubicin_1386,NUGC-3
NSC319726,PANC-10-05
TW 37,NKM-1
CUDC-101,Hs-940-T
Methotrexate,NCI-H82
Apitolisib,SNU-475
TW 37,VAL
Obatoclax Mesylate,SK-MEL-2
Apitolisib,OCI-M1
CD532,CHP-212
Docetaxel,KURAMOCHI
Obatoclax Mesylate,NCI-H1975
VX-11e,MZ7-mel
Vinblastine,A375
NSC319726,ES6
CD532,NCI-H522
CUDC-101,MLMA
(5Z)-7-Oxozeaenol,SK-MEL-2
Vinblastine,CHSA8926
WYE-125132,NCI-H1048
Tivozanib,NCI-H647
CAY10603,QIMR-WIL
IOX2,OC-314
Obatoclax Mesylate,LB1047-RCC
IOX2,OCUB-M
WYE-125132,TK10
Vinblastine,MZ2-MEL
Torin 2,MHH-NB-11
IMD-0354,NCI-H2135
AZD8055,ME-180
CGP-60474,Ramos-2G6-4C10
WYE-125132,NB(TU)1-10
Omipalisib,SNG-M
NSC319726,JHU-022
GSK1059615,THP-1
BAY-MPS-combo-1 (paclitaxel 5 uM),KP-2
CAY10603,Daudi
BAY-MPS-combo 2 (paclitaxel 1 uM),BHT-101
Tivozanib,GI-ME-N
CAY10603,MZ1-PC
Methotrexate,NCI-H835
Methotrexate,HAL-01
IMD-0354,MS-1
Lapatinib,NCI-H1648
AZD8055,HSC-3
AR-42,HuP-T3
BAY-MPS-combo 2 (paclitaxel 1 uM),CRO-AP2
Etoposide,DND-41
Ispinesib Mesylate,NUGC-3
AT-7519,NKM-1
Doxorubicin_1386,HuP-T3
Sepantronium bromide,D-566MG
Pevonedistat,EBC-1
Doxorubicin_1386,NCI-H2342
Vinblastine,PL-21
GSK650394,KM12
Obatoclax Mesylate,THP-1
5-Fluorouracil,SLVL
WYE-125132,NCI-H1781
Rapamycin,NB(TU)1-10
CD532,PA-1
NSC319726,EHEB
BMS-754807,LS-180
CUDC-101,GCIY
ZSTK474,MDA-MB-453
JW-7-24-1,OCI-AML5
Belinostat,NCI-H446
BMS-754807,A2058
Methotrexate,SNU-C2B
Docetaxel,MZ7-mel
PI-103,P30-OHK
AR-42,IST-MES1
Etoposide,COLO-205
IMD-0354,Daudi
IOX2,ARH-77
Docetaxel,MKN45
I-BET-151,BV-173
Refametinib_1526,IGR-37
AZD8835,CAL-33
Sepantronium bromide,BFTC-905
LDN-193189,HCC1599
AZD8055,YH-13
Sepantronium bromide,BV-173
Docetaxel,U-118-MG
Docetaxel,NOMO-1
TW 37,WM278
NSC319726,DAN-G
IOX2,HCC1187
LDN-193189,SNU-423
Shikonin,NCI-H522
IOX2,A549
Doxorubicin_1386,EBC-1
AT-7519,A673
WH-4-023,SW962
Sepantronium bromide,KYSE-450
IOX2,HSC-3
Doxorubicin_1386,SW1990
Tivozanib,OCI-AML2
Obatoclax Mesylate,KP-4
Vinblastine,SCH
Sepantronium bromide,MZ2-MEL
Dabrafenib,ES-2
Docetaxel,A673
Doxorubicin_1386,HCC1395
Docetaxel,RCC-ER
torin2,A375
CUDC-101,HH
Obatoclax Mesylate,NB1
WYE-125132,NCI-H1648
Ispinesib Mesylate,JHU-022
AZD6094,MOG-G-UVW
Doxorubicin_1386,JURL-MK1
PI-103,HCC1599
Ponatinib,SU-DHL-5
AZD8055,SISO
BAY-MPS-combo 2 (paclitaxel 1 uM),A549
BAY-MPS-combo-1 (paclitaxel 5 uM),KP-1N
Talazoparib,A673
T0901317,BL-41
Vinblastine,TGW
PIK-93,LP-1
Obatoclax Mesylate,SCC-9
Rapamycin,KARPAS-299
Vinblastine,NCI-H661
Refametinib_1014,SK-MEL-28
ZSTK474,ES6
JW-7-24-1,769-P
Omipalisib,MZ2-MEL
Tanespimycin,OE33
BAY-MPS-combo 2 (paclitaxel 1 uM),U-698-M
AR-42,SAS
Obatoclax Mesylate,DMS-53
Sepantronium bromide,NCI-H2135
Docetaxel,NCI-H929
Doxorubicin_1386,SW756
Pevonedistat,D-392MG
Shikonin,MLMA
Ispinesib Mesylate,NB(TU)1-10
Ispinesib Mesylate,DND-41
IOX2,HCC70
JW-7-24-1,DEL
NSC319726,HT-3
A-770041,LB831-BLC
WYE-125132,DK-MG
NSC319726,PE-CA-PJ15
Ponatinib,EM-2
AR-42,SU-DHL-10
AZD6482_156,SKN
AT-7519,BV-173
Shikonin,NCI-H1963
VX-11e,NCI-H2135
Torin 2,NCI-H1694
Vinblastine,HCC2157
AZD8055,A3-KAW
Omipalisib,KM-H2
MK-2206,EFM-192A
PI-103,UM-UC-3
JQ12,Saos-2
Docetaxel,NCI-H661
CAY10603,COR-L303
Tanespimycin,NCI-H1944
NSC319726,KP-1N
NSC319726,AMO-1
WYE-125132,BT-483
Afatinib_1032,NCI-H1048
WYE-125132,MOLT-13
JW-7-24-1,GCIY
Obatoclax Mesylate,HSC-2
Cytarabine,SK-N-SH
CAY10603,OCI-AML5
Apitolisib,NKM-1
Refametinib_1526,CP50-MEL-B
Pevonedistat,MFM-223
CUDC-101,JHOS-2
CD532,SK-MEL-5
JW-7-24-1,PA-1
Omipalisib,NCI-H2085
IMD-0354,BHY
IOX2,U251
Sepantronium bromide,ETK-1
QL-X-138,ST486
Methotrexate,TGW
Dabrafenib,MZ7-mel
CGP-60474,OPM-2
Omipalisib,SK-MEL-30
Tipifarnib,HT-144
CD532,OCI-AML5
GSK1059615,HT-3
Belinostat,OPM-2
LDN-193189,CP50-MEL-B
Pevonedistat,MCF7
Ponatinib,SCC-25
BAY-61-3606,WIL2-NS
Afatinib_1032,OVISE
VX-11e,OCI-AML3
WYE-125132,KYSE-150
Torin 2,KYSE-220
Omipalisib,SNU-423
Methotrexate,KP-4
Omipalisib,EM-2
Etoposide,SK-MG-1
IOX2,TC-YIK
Docetaxel,TGW
Doxorubicin_1386,JVM-2
Torin 2,PC-14
NSC319726,SK-ES-1
GSK690693,RL
TW 37,SBC-3
PI-103,CHP-134
ZSTK474,BC-1
QL-X-138,MZ2-MEL
BMS-754807,KYSE-270
Entinostat,MOLP-8
Sepantronium bromide,CHSA8926
Cabozantinib,BV-173
Docetaxel,C3A
Belinostat,A3-KAW
NSC319726,A101D
Pevonedistat,LN-18
GSK1059615,EPLC-272H
Torin 2,PC-3
WH-4-023,LB1047-RCC
Docetaxel,SK-N-AS
JQ12,ES6
Belinostat,PANC-10-05
CUDC-101,OCI-LY-19
Omipalisib,RF-48
WYE-125132,MDA-MB-453
CUDC-101,HCC1428
Etoposide,SCC-9
Methotrexate,Farage
AR-42,BHY
BAY-MPS-combo-1 (paclitaxel 5 uM),HA7-RCC
Talazoparib,SJRH30
Vinblastine,CL-11
Refametinib_1526,NCI-H716
Vinblastine,OPM-2
Tanespimycin,TE-4
Refametinib_1014,HSC-3
CD532,NB17
TW 37,KM12
QL-X-138,BV-173
GSK1059615,HAL-01
Sepantronium bromide,SKN
PI-103,SBC-1
Belinostat,RPMI-6666
(5Z)-7-Oxozeaenol,OCI-AML3
JW-7-24-1,RCC-JW
CD532,Ramos-2G6-4C10
Docetaxel,OE33
I-BET-151,U031
Docetaxel,EW-13
Sepantronium bromide,NCI-H2085
Belinostat,COR-L321
I-BET-151,TC-YIK
CD532,CCK-81
GSK1059615,NCI-H1648
PIK-93,MHH-PREB-1
Doxorubicin_1386,CAL-72
IMD-0354,ME-180
GSK1059615,GA-10
AR-42,UACC-257
Docetaxel,LB771-HNC
CD532,Hep3B2-1-7
CGP-60474,KNS-42
Torin 2,TE-6
Shikonin,NUGC-3
Sepantronium bromide,NCI-H1793
AR-42,HCC1599
NSC319726,CAL-72
Vinblastine,SU-DHL-16
Apitolisib,EM-2
Bleomycin,SNG-M
Afatinib_1032,KYSE-220
Tanespimycin,SU-DHL-10
IOX2,Hs-445
CGP-60474,HC-1
Bleomycin (50 uM),PC-14
Cytarabine,OCI-AML5
AR-42,CPC-N
TW 37,OCUM-1
Entinostat,WIL2-NS
JW-7-24-1,NCI-H446
CGP-60474,OCI-AML5
NSC319726,SNU-C1
CGP-60474,SW962
Docetaxel,JHU-022
AZD8055,JM1
BMS-754807,MEL-JUSO
BAY-MPS-combo 2 (paclitaxel 1 uM),GI-1
CD532,SK-ES-1
Cytarabine,NUGC-3
Tanespimycin,PANC-10-05
Entinostat,QIMR-WIL
Apitolisib,WIL2-NS
IOX2,VMRC-LCD
CD532,SNU-475
MK-2206,EM-2
Docetaxel,SK-MM-2
AZD4547_1135,MOLM-13
WYE-125132,HCC70
BAY-MPS-combo-1 (paclitaxel 5 uM),BB65-RCC
Vinblastine,D-392MG
NSC319726,NCI-H1944
Ponatinib,NCI-H2342
Torin 2,NCI-H647
NSC319726,VAL
Omipalisib,NKM-1
Etoposide,Hep3B2-1-7
Sepantronium bromide,UACC-257
Vinblastine,KP-4
Sepantronium bromide,LB2518-MEL
QL-X-138,RCC-AB
Torin 2,JM1
I-BET-762,P32-ISH
QL-X-138,HCC1954
WYE-125132,OCI-AML2
PHA-793887,MLMA
Torin 2,CPC-N
Rapamycin,Hs-445
Tanespimycin,NCI-H661
Entinostat,BE-13
Torin 2,HCC70
Tivozanib,EW-16
Ponatinib,U-2-OS
IMD-0354,JM1
Docetaxel,HCC1143
Cytarabine,MZ2-MEL
NSC319726,LP-1
CGP-60474,DJM-1
Torin 2,SNU-423
AZD8055,H9
Omipalisib,MS-1
Cytarabine,HT-3
NSC319726,NCI-H2009
CUDC-101,RCC-JW
UNC0642,NCI-H647
ZSTK474,COR-L311
Etoposide,SBC-3
BIBF-1120,CGTH-W-1
AZD6738,JM1
Refametinib_1526,A101D
Cytarabine,CAL-33
WYE-125132,GI-1
Methotrexate,TE-4
BAY-MPS-combo-1 (paclitaxel 5 uM),A253
Pevonedistat,NKM-1
NSC319726,MDA-MB-231
Torin 2,CAL-72
BAY-MPS-combo-1 (paclitaxel 5 uM),MDA-MB-231
BAY-MPS-combo-1 (paclitaxel 5 uM),OE19
Docetaxel,KM-H2
Tanespimycin,GI-1
Torin 2,HCC202
NSC319726,OAW-28
Doxorubicin_1386,WIL2-NS
WYE-125132,SK-MEL-3
Docetaxel,LN-18
Tivozanib,LN-18
IOX2,OCI-AML5
Talazoparib,GI-1
CUDC-101,COLO-205
Doxorubicin_1386,YH-13
TW 37,A388
AT-7519,DND-41
GSK1059615,IGR-37
AT-7519,HCC1187
Methotrexate,RH-41
IOX2,MLMA
Pevonedistat,UM-UC-3
AZD8055,NCI-H1648
Sepantronium bromide,LB1047-RCC
Vinblastine,SBC-3
Doxorubicin_1386,SK-N-SH
Apitolisib,LU-139
NSC319726,MOLT-13
Obatoclax Mesylate,RKN
Bleomycin (50 uM),ESS-1
A-770041,NCI-H1648
Methotrexate,SK-ES-1
AZD8055,VAL
Tanespimycin,EFM-192A
Shikonin,RMG-I
IMD-0354,SK-HEP-1
AR-42,SAT
CGP-60474,BC-1
Dabrafenib,OV-90
Refametinib_1526,CL-11
Vinblastine,MPP-89
GSK690693,SU-DHL-16
ZM447439,SU-DHL-5
Tivozanib,LP-1
Tanespimycin,A2058
I-BET-762,A3-KAW
CD532,ST486
BAY-MPS-combo-1 (paclitaxel 5 uM),NCI-H1781
Vinblastine,MHH-PREB-1
Tanespimycin,HCT-116
Doxorubicin_1386,SK-ES-1
Etoposide,GCIY
AR-42,COR-L303
GSK1059615,SNG-M
Ispinesib Mesylate,SBC-3
Methotrexate,U-698-M
Pevonedistat,NB5
Omipalisib,RCC-ER
Pevonedistat,OCI-M1
CAY10603,L-1236
IMD-0354,Hs-940-T
I-BET-762,KU812
AT-7519,Ramos-2G6-4C10
TW 37,L-540
torin2,LB1047-RCC
Sepantronium bromide,NCI-H1838
TW 37,KMS-11
Belinostat,MS-1
CD532,MEL-JUSO
CGP-60474,MHH-NB-11
CAY10603,BV-173
NSC319726,PCI-38
Cytarabine,SK-MEL-28
BAY-MPS-combo 2 (paclitaxel 1 uM),H4
Sepantronium bromide,KM12
AZD8055,HAL-01
PI-103,NAMALWA
WYE-125132,LP-1
BAY-MPS-combo 2 (paclitaxel 1 uM),G-MEL
AZD8055,SCC-4
Omipalisib,HCC1428
Torin 2,NB1
GSK1059615,SK-N-AS
AT-7519,SNU-C2B
IOX2,BC-1
Apitolisib,SK-MEL-5
Pevonedistat,H4
AR-42,769-P
CAY10603,IGR-37
Methotrexate,OPM-2
QL-X-138,DND-41
Doxorubicin_1386,SW156
Doxorubicin_1386,MZ1-PC
CAY10603,D-566MG
AR-42,ZR-75-30
Apitolisib,NB1
CUDC-101,BL-41
BMS-754807,MKN45
TW 37,SK-N-FI
NSC319726,OVCA420
AZD8055,CGTH-W-1
Vinblastine,TGBC24TKB
Doxorubicin_1386,PE-CA-PJ15
Vinblastine,NOMO-1
Cytarabine,JM1
Refametinib_1014,MZ1-PC
Docetaxel,SK-MEL-3
Rapamycin,A3-KAW
Torin 2,TGBC24TKB
Ispinesib Mesylate,CP50-MEL-B
CD532,HT-144
QL-X-138,MDA-MB-468
Bleomycin,HA7-RCC
TW 37,JVM-3
Methotrexate,5637
Obatoclax Mesylate,NKM-1
IOX2,KM12
Refametinib_1526,JURL-MK1
Shikonin,ZR-75-30
PI-103,D-566MG
AR-42,Mewo
torin2,VAL
AZD8055,JHOS-2
WYE-125132,EM-2
Afatinib_1032,TE-12
Refametinib_1014,EPLC-272H
PI-103,MFE-319
Methotrexate,NCI-H446
Shikonin,D-566MG
Vinblastine,BE-13
Tozasertib,SU-DHL-16
BAY-MPS-combo-1 (paclitaxel 5 uM),OSC-19
WYE-125132,BV-173
Docetaxel,NCI-H2135
PI-103,HAL-01
Bleomycin (50 uM),HT-3
GSK1059615,HCC70
WYE-125132,RPMI-8226
Dasatinib,HA7-RCC
BMS-754807,NCI-H1975
Torin 2,SCC-9
Apitolisib,23132-87
Shikonin,G-MEL
Tanespimycin,RO82-W-1
TW 37,Daudi
TW 37,SK-MG-1
Rapamycin,NCI-H1975
Sepantronium bromide,ASH-3
Shikonin,SKN
NSC319726,SLVL
Afatinib_1032,NUGC-3
Cytarabine,Saos-2
Bleomycin (50 uM),HSC-3
Tanespimycin,SW1088
Apitolisib,BHT-101
Tivozanib,IMR-5
ZSTK474,Farage
PHA-793887,NCI-H1944
CD532,PCI-6A
Bleomycin (50 uM),H4
Vinblastine,RCC-MF
NSC319726,RH-41
I-BET-151,OCI-AML2
IMD-0354,OE19
BAY-MPS-combo-1 (paclitaxel 5 uM),NAMALWA
Belinostat,NCI-H196
Obatoclax Mesylate,SU8686
PI-103,COR-L311
CUDC-101,ESS-1
Docetaxel,SCC-25
Vinblastine,OC-314
Omipalisib,NCI-H23
Docetaxel,TK10
Obatoclax Mesylate,MLMA
IOX2,SU8686
Omipalisib,TCCSUP
CUDC-101,MOLM-13
Doxorubicin_1386,SK-HEP-1
IOX2,LC-1-sq
Tanespimycin,JHU-022
NSC319726,TGW
Apitolisib,KMOE-2
IOX2,SK-N-AS
TWS119,SU-DHL-16
Bleomycin (50 uM),RKN
Vinblastine,NCI-H1793
Omipalisib,DK-MG
AST-1306,TE-6
GSK1059615,NCI-H64
Omipalisib,NCI-H2342
TW 37,SU-DHL-16
AGI-6780,CML-T1
NSC319726,NCI-H650
AR-42,TGW
IOX2,GCT
Docetaxel,OVISE
Tanespimycin,Detroit562
Doxorubicin_1386,A375
WYE-125132,PC-3
BMS-536924_1091,SJRH30
Sepantronium bromide,NCI-H2170
Bleomycin,A3-KAW
PIK-93,BL-41
AR-42,U-266
Cytarabine,PL-21
AZD8055,QIMR-WIL
CUDC-101,SK-HEP-1
Rapamycin,OPM-2
Methotrexate,KYSE-410
AZD6094,MKN45
Belinostat,HC-1
CGP-60474,LB771-HNC
IOX2,NCI-H1694
Ispinesib Mesylate,NCI-H716
Ponatinib,MHH-PREB-1
Bleomycin,SK-N-SH
TW 37,H9
Sepantronium bromide,SNU-C2B
BMS-536924_1091,A375
AR-42,KU812
BAY-MPS-combo-1 (paclitaxel 5 uM),TC-71
AZD6482_156,HH
BAY-MPS-combo-1 (paclitaxel 5 uM),NB5
Vinblastine,NKM-1
Obatoclax Mesylate,CAL-72
Etoposide,SU-DHL-10
Bleomycin (50 uM),RCC-JW
AT-7519,MOLP-8
Pevonedistat,RH-41
AR-42,NCI-H1573
Bosutinib,JURL-MK1
CUDC-101,ZR-75-30
TW 37,IGR-37
torin2,U-2-OS
IOX2,GAK
Sepantronium bromide,LS-123
PI-103,SK-MEL-5
Amuvatinib,KS-1
Etoposide,A2058
CAY10603,OAW-28
Omipalisib,FU-OV-1
Sepantronium bromide,EW-16
Sepantronium bromide,JVM-3
TW 37,DSH1
Rapamycin,NCI-H1694
Cytarabine,RCC-ER
Sepantronium bromide,A101D
AT-7519,SU-DHL-16
Sepantronium bromide,SK-N-AS
TW 37,TGBC24TKB
Ispinesib Mesylate,ARH-77
Torin 2,SK-MEL-24
Refametinib_1014,BFTC-905
GSK690693,P30-OHK
MK-2206,SU-DHL-10
CUDC-101,P32-ISH
Afatinib_1032,HSC-2
GSK1059615,P32-ISH
Omipalisib,PA-TU-8988T
Cytarabine,SW982
ZSTK474,BB65-RCC
Sepantronium bromide,SW1710
AZD6482_156,NCI-H2085
Refametinib_1526,MOLT-13
Obatoclax Mesylate,DMS-273
Talazoparib,NCI-H209
ZSTK474,OCI-M1
JW-7-24-1,HC-1
Sepantronium bromide,PCI-38
PHA-793887,DND-41
MK-2206,SU-DHL-5
CD532,P32-ISH
Vinblastine,PCI-6A
Docetaxel,HCT-15
Belinostat,PA-1
Vinblastine,769-P
Bosutinib,Farage
WYE-125132,HAL-01
JQ12,SBC-3
Obatoclax Mesylate,VAL
Entinostat,H9
Shikonin,NCI-H1770
CD532,CHP-134
Ponatinib,A172
Tivozanib,OCI-AML5
Belinostat,NCI-H211
AGI-6780,HCC2157
Belinostat,LB831-BLC
TW 37,COLO-800
Docetaxel,ME-180
JW-7-24-1,THP-1
Refametinib_1526,OCI-AML2
AR-42,BB65-RCC
Ispinesib Mesylate,SW982
Docetaxel,KP-2
Tipifarnib,NCI-H2009
GSK269962A_127,QIMR-WIL
AR-42,SK-N-AS
Vinblastine,NMC-G1
Rapamycin,NKM-1
AR-42,SU-DHL-5
Ispinesib Mesylate,SF539
QL-X-138,Farage
Doxorubicin_1386,JM1
Tanespimycin,EVSA-T
CGP-60474,A3-KAW
Rapamycin,SK-MEL-2
Docetaxel,NB10
Cytarabine,MOLM-13
CGP-60474,BL-41
Tanespimycin,SK-MG-1
I-BET-151,RMG-I
Docetaxel,ES8
Tanespimycin,UM-UC-3
Erlotinib,TK10
CD532,BE-13
Ponatinib,TE-15
Belinostat,MOLP-8
BAY-MPS-combo 2 (paclitaxel 1 uM),SK-MEL-2
torin2,A101D
Belinostat,HH
Ispinesib Mesylate,MOLM-13
Vinblastine,HOP-62
CAY10603,SU-DHL-5
IOX2,Hs-578-T
CGP-082996,ETK-1
TW 37,NCI-H647
Vinblastine,MKN45
Methotrexate,OVISE
Omipalisib,A172
AR-42,ROS-50
Ispinesib Mesylate,Mewo
Shikonin,U-266
Vinblastine,WIL2-NS
AZD6482_1066,H4
Bleomycin,769-P
ZM447439,CRO-AP2
Dasatinib,NCI-H1648
Pevonedistat,GCT
BMS-754807,BE2-M17
Docetaxel,OCI-AML5
Docetaxel,BHT-101
Refametinib_1526,MZ7-mel
Ispinesib Mesylate,SK-MEL-24
Entinostat,K5
Entinostat,SF539
Rapamycin,Ramos-2G6-4C10
Omipalisib,Hs-445
Apitolisib,MDA-MB-468
Ispinesib Mesylate,EM-2
NSC319726,TC-71
IMD-0354,H9
Afatinib_1032,DSH1
CAY10603,HCT-116
Docetaxel,HCC202
CGP-60474,KU812
Belinostat,SLVL
PI-103,RS4-11
(5Z)-7-Oxozeaenol,SAS
Bleomycin,ARH-77
Dasatinib,ARH-77
NSC319726,BE2-M17
CD532,KMOE-2
BAY-MPS-combo-1 (paclitaxel 5 uM),BC-1
Apitolisib,EN
Omipalisib,SJRH30
Shikonin,WIL2-NS
Apitolisib,ES5
AT-7519,NCI-H1048
Omipalisib,KELLY
Ponatinib,G-MEL
WYE-125132,MZ2-MEL
Dasatinib,LB2518-MEL
AR-42,OCI-M1
Bleomycin,U031
Docetaxel,CW-2
TW 37,NCI-H209
Vinblastine,DAN-G
Tivozanib,SW626
Belinostat,RCC-JW
PHA-793887,P30-OHK
TW 37,DB
Cytarabine,RCC-JW
IOX2,U031
TW 37,CPC-N
Pevonedistat,KNS-62
Tretinoin,HH
5-Fluorouracil,MOLM-13
CAY10603,SU-DHL-16
PI-103,EW-16
Ponatinib,NKM-1
Vinblastine,MOG-G-UVW
Apitolisib,G-MEL
Pevonedistat,TC-71
TW 37,HCC1428
JQ12,MOLP-8
BAY-MPS-combo-1 (paclitaxel 5 uM),PWR-1E
Ispinesib Mesylate,OC-314
Ispinesib Mesylate,A2058
Ispinesib Mesylate,HCC1599
IOX2,OCI-AML2
Sepantronium bromide,ES8
Doxorubicin_1386,KELLY
Torin 2,EW-16
AZD8055,KU812
AZD8055,NCI-H209
GSK1059615,SU-DHL-16
AST-1306,GCIY
Obatoclax Mesylate,RS4-11
TW 37,KMRC-1
CGP-60474,BV-173
Talazoparib,SK-N-SH
IOX2,QIMR-WIL
CUDC-101,RT4
Omipalisib,PANC-08-13
Omipalisib,SW1710
Vinblastine,ME-180
Obatoclax Mesylate,SK-N-SH
Vinblastine,LN-18
TW 37,CW-2
Docetaxel,Detroit562
Vinblastine,NCI-H1694
Docetaxel,MFE-296
(5Z)-7-Oxozeaenol,SK-HEP-1
Apitolisib,EFM-192A
WYE-125132,RH-18
Docetaxel,MKN28
PHA-793887,HC-1
(5Z)-7-Oxozeaenol,MZ7-mel
Omipalisib,A253
Torin 2,PE-CA-PJ15
Tozasertib,ES8
NSC319726,SK-MG-1
Doxorubicin_1386,JIMT-1
Omipalisib,EN
TW 37,769-P
Obatoclax Mesylate,BL-41
Tanespimycin,TCCSUP
BAY-MPS-combo-1 (paclitaxel 5 uM),PC-14
NSC319726,LB771-HNC
Vinblastine,SK-MEL-31
Cytarabine,A388
NSC319726,KYSE-220
Tanespimycin,PE-CA-PJ15
Docetaxel,BC-1
Docetaxel,HCT-116
Vinblastine,EBC-1
Sepantronium bromide,COR-L321
Dasatinib,NCI-H1838
Obatoclax Mesylate,U-118-MG
MK-2206,HH
IOX2,TGBC24TKB
Belinostat,OCI-AML2
QL-X-138,RF-48
Apitolisib,HAL-01
Bleomycin,NMC-G1
Shikonin,LS-123
BAY-61-3606,Farage
BAY-MPS-combo 2 (paclitaxel 1 uM),NKM-1
Pevonedistat,THP-1
Ispinesib Mesylate,KYSE-450
Obatoclax Mesylate,MFH-ino
TW 37,MDA-MB-453
WYE-125132,Ramos-2G6-4C10
Obatoclax Mesylate,KYSE-410
CUDC-101,KMRC-1
Pevonedistat,VCaP
Doxorubicin_1386,SNU-C2B
AT-7519,MZ2-MEL
AZD8931,RMG-I
Omipalisib,GAK
CUDC-101,JURL-MK1
Docetaxel,MDST8
CUDC-101,LS-123
Apitolisib,EW-13
AZD6738,MOLM-13
Methotrexate,H9
Ispinesib Mesylate,DAN-G
Omipalisib,MEL-JUSO
Dasatinib,LB1047-RCC
Docetaxel,IM-9
Doxorubicin_1386,NCI-H2023
BMS-754807,NOMO-1
Vinblastine,HA7-RCC
BAY-MPS-combo-1 (paclitaxel 5 uM),SBC-1
NSC319726,ST486
Erlotinib,GCIY
Obatoclax Mesylate,SF539
PHA-793887,OCI-AML3
BAY-MPS-combo 2 (paclitaxel 1 uM),NUGC-3
Obatoclax Mesylate,LS-180
AT-7519,JURL-MK1
Obatoclax Mesylate,NCI-H1944
AZD8055,SW13
WYE-125132,ST486
Doxorubicin_1386,NB17
BAY-61-3606,ASH-3
ZSTK474,NCI-H2085
Obatoclax Mesylate,OCI-LY-19
Apitolisib,D-263MG
BAY-MPS-combo 2 (paclitaxel 1 uM),MDA-MB-468
Ponatinib,LN-18
Bleomycin,HCC1395
Apitolisib,MFM-223
IMD-0354,A172
Cytarabine,JHU-022
ZSTK474,RPMI-6666
CGP-60474,LB1047-RCC
Ispinesib Mesylate,GCIY
Torin 2,KELLY
Belinostat,RT4
Cytarabine,NCI-H1781
PHA-793887,WIL2-NS
AR-42,NCI-H23
TW 37,UM-UC-3
torin2,D-423MG
A-770041,MFH-ino
Shikonin,OCI-M1
IOX2,JURL-MK1
AZD6094,KP-4
TW 37,5637
TW 37,NB10
Sepantronium bromide,WIL2-NS
Shikonin,BV-173
BAY-MPS-combo 2 (paclitaxel 1 uM),HA7-RCC
AT-7519,ASH-3
Doxorubicin_1386,HT-144
Sepantronium bromide,HCT-15
GSK269962A_127,D-263MG
TW 37,A172
Vinblastine,EN
AZD8055,GA-10
Docetaxel,HT-3
Rapamycin,MOLP-8
Refametinib_1014,A101D
Ispinesib Mesylate,LU-139
Bleomycin,MDA-MB-231
Refametinib_1526,SK-MEL-28
CD532,Hs-445
Dabrafenib,MDST8
Methotrexate,RL
PI-103,RPMI-8226
AR-42,LU-139
PI-103,OCI-AML5
IMD-0354,Hs-578-T
Omipalisib,RPMI-6666
NSC319726,NOMO-1
Dasatinib,KURAMOCHI
BAY-61-3606,LB831-BLC
Doxorubicin_1386,NCI-H211
